run_id,family_id,config_id,signal_time,side,gross_r,sl_pips,net_r,month
RBPR4W1GOOD,F06,CFG_001,2020-03-01T10:00:00,BUY,0.40,7.5,0.31,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-02T10:01:00,SELL,0.41,7.5,0.32,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-03T10:02:00,BUY,0.42,7.5,0.33,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-04T10:03:00,SELL,0.43,7.5,0.34,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-05T10:04:00,BUY,0.44,7.5,0.35,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-06T10:05:00,SELL,0.45,7.5,0.36,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-07T10:06:00,BUY,0.46,7.5,0.37,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-08T10:07:00,SELL,0.40,7.5,0.31,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-09T10:08:00,BUY,0.41,7.5,0.32,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-10T10:09:00,SELL,0.42,7.5,0.33,2024-04
RBPR4W1GOOD,F06,CFG_001,2020-03-11T10:10:00,BUY,0.43,7.5,0.34,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-12T10:11:00,SELL,0.44,7.5,0.35,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-13T10:12:00,BUY,0.45,7.5,0.36,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-14T10:13:00,SELL,0.46,7.5,0.37,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-15T10:14:00,BUY,0.40,7.5,0.31,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-16T10:15:00,SELL,0.41,7.5,0.32,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-17T10:16:00,BUY,0.42,7.5,0.33,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-18T10:17:00,SELL,0.43,7.5,0.34,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-19T10:18:00,BUY,0.44,7.5,0.35,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-20T10:19:00,SELL,0.45,7.5,0.36,2024-04
RBPR4W1GOOD,F06,CFG_001,2020-03-01T10:20:00,BUY,0.46,7.5,0.37,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-02T10:21:00,SELL,0.40,7.5,0.31,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-03T10:22:00,BUY,0.41,7.5,0.32,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-04T10:23:00,SELL,0.42,7.5,0.33,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-05T10:24:00,BUY,0.43,7.5,0.34,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-06T10:25:00,SELL,0.44,7.5,0.35,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-07T10:26:00,BUY,0.45,7.5,0.36,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-08T10:27:00,SELL,0.46,7.5,0.37,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-09T10:28:00,BUY,0.40,7.5,0.31,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-10T10:29:00,SELL,0.41,7.5,0.32,2024-04
RBPR4W1GOOD,F06,CFG_001,2020-03-11T10:30:00,BUY,0.42,7.5,0.33,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-12T10:31:00,SELL,0.43,7.5,0.34,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-13T10:32:00,BUY,0.44,7.5,0.35,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-14T10:33:00,SELL,0.45,7.5,0.36,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-15T10:34:00,BUY,0.46,7.5,0.37,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-16T10:35:00,SELL,0.40,7.5,0.31,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-17T10:36:00,BUY,0.41,7.5,0.32,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-18T10:37:00,SELL,0.42,7.5,0.33,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-19T10:38:00,BUY,0.43,7.5,0.34,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-20T10:39:00,SELL,0.44,7.5,0.35,2024-04
RBPR4W1GOOD,F06,CFG_001,2020-03-01T10:40:00,BUY,0.45,7.5,0.36,2020-03
RBPR4W1GOOD,F06,CFG_002,2021-08-02T10:41:00,SELL,0.46,7.5,0.37,2021-08
RBPR4W1GOOD,F06,CFG_003,2022-05-03T10:42:00,BUY,0.40,7.5,0.31,2022-05
RBPR4W1GOOD,F06,CFG_004,2023-01-04T10:43:00,SELL,0.41,7.5,0.32,2023-01
RBPR4W1GOOD,F06,CFG_005,2024-04-05T10:44:00,BUY,0.42,7.5,0.33,2024-04
RBPR4W1GOOD,F06,CFG_006,2020-03-06T10:45:00,SELL,0.43,7.5,0.34,2020-03
RBPR4W1GOOD,F06,CFG_007,2021-08-07T10:46:00,BUY,0.44,7.5,0.35,2021-08
RBPR4W1GOOD,F06,CFG_008,2022-05-08T10:47:00,SELL,0.45,7.5,0.36,2022-05
RBPR4W1GOOD,F06,CFG_009,2023-01-09T10:48:00,BUY,0.46,7.5,0.37,2023-01
RBPR4W1GOOD,F06,CFG_010,2024-04-10T10:49:00,SELL,0.40,7.5,0.31,2024-04
RBPR4W1OTHER,F06,CFG_001,2020-03-11T10:50:00,BUY,0.41,7.5,0.32,2020-03
RBPR4W1OTHER,F06,CFG_002,2021-08-12T10:51:00,SELL,0.42,7.5,0.33,2021-08
RBPR4W1OTHER,F06,CFG_003,2022-05-13T10:52:00,BUY,0.43,7.5,0.34,2022-05
RBPR4W1OTHER,F06,CFG_004,2023-01-14T10:53:00,SELL,0.44,7.5,0.35,2023-01
RBPR4W1OTHER,F06,CFG_005,2024-04-15T10:54:00,BUY,0.45,7.5,0.36,2024-04
RBPR4W1OTHER,F06,CFG_006,2020-03-16T10:55:00,SELL,0.46,7.5,0.37,2020-03
RBPR4W1OTHER,F06,CFG_007,2021-08-17T10:56:00,BUY,0.40,7.5,0.31,2021-08
RBPR4W1OTHER,F06,CFG_008,2022-05-18T10:57:00,SELL,0.41,7.5,0.32,2022-05
RBPR4W1OTHER,F06,CFG_009,2023-01-19T10:58:00,BUY,0.42,7.5,0.33,2023-01
RBPR4W1OTHER,F06,CFG_010,2024-04-20T10:59:00,SELL,0.43,7.5,0.34,2024-04
RBPR4W1OTHER,F06,CFG_001,2020-03-01T10:00:00,BUY,0.44,7.5,0.35,2020-03
RBPR4W1OTHER,F06,CFG_002,2021-08-02T10:01:00,SELL,0.45,7.5,0.36,2021-08
RBPR4W1OTHER,F06,CFG_003,2022-05-03T10:02:00,BUY,0.46,7.5,0.37,2022-05
RBPR4W1OTHER,F06,CFG_004,2023-01-04T10:03:00,SELL,0.40,7.5,0.31,2023-01
RBPR4W1OTHER,F06,CFG_005,2024-04-05T10:04:00,BUY,0.41,7.5,0.32,2024-04
RBPR4W1OTHER,F06,CFG_006,2020-03-06T10:05:00,SELL,0.42,7.5,0.33,2020-03
RBPR4W1OTHER,F06,CFG_007,2021-08-07T10:06:00,BUY,0.43,7.5,0.34,2021-08
RBPR4W1OTHER,F06,CFG_008,2022-05-08T10:07:00,SELL,0.44,7.5,0.35,2022-05
RBPR4W1OTHER,F06,CFG_009,2023-01-09T10:08:00,BUY,0.45,7.5,0.36,2023-01
RBPR4W1OTHER,F06,CFG_010,2024-04-10T10:09:00,SELL,0.46,7.5,0.37,2024-04
RBPR4W1OTHER,F06,CFG_001,2020-03-11T10:10:00,BUY,0.40,7.5,0.31,2020-03
RBPR4W1OTHER,F06,CFG_002,2021-08-12T10:11:00,SELL,0.41,7.5,0.32,2021-08
RBPR4W1OTHER,F06,CFG_003,2022-05-13T10:12:00,BUY,0.42,7.5,0.33,2022-05
RBPR4W1OTHER,F06,CFG_004,2023-01-14T10:13:00,SELL,0.43,7.5,0.34,2023-01
RBPR4W1OTHER,F06,CFG_005,2024-04-15T10:14:00,BUY,0.44,7.5,0.35,2024-04
RBPR4W1OTHER,F06,CFG_006,2020-03-16T10:15:00,SELL,0.45,7.5,0.36,2020-03
RBPR4W1OTHER,F06,CFG_007,2021-08-17T10:16:00,BUY,0.46,7.5,0.37,2021-08
RBPR4W1OTHER,F06,CFG_008,2022-05-18T10:17:00,SELL,0.40,7.5,0.31,2022-05
RBPR4W1OTHER,F06,CFG_009,2023-01-19T10:18:00,BUY,0.41,7.5,0.32,2023-01
RBPR4W1OTHER,F06,CFG_010,2024-04-20T10:19:00,SELL,0.42,7.5,0.33,2024-04
RBPR4W1OTHER,F06,CFG_001,2020-03-01T10:20:00,BUY,0.43,7.5,0.34,2020-03
RBPR4W1OTHER,F06,CFG_002,2021-08-02T10:21:00,SELL,0.44,7.5,0.35,2021-08
RBPR4W1OTHER,F06,CFG_003,2022-05-03T10:22:00,BUY,0.45,7.5,0.36,2022-05
RBPR4W1OTHER,F06,CFG_004,2023-01-04T10:23:00,SELL,0.46,7.5,0.37,2023-01
RBPR4W1OTHER,F06,CFG_005,2024-04-05T10:24:00,BUY,0.40,7.5,0.31,2024-04
RBPR4W1OTHER,F06,CFG_006,2020-03-06T10:25:00,SELL,0.41,7.5,0.32,2020-03
RBPR4W1OTHER,F06,CFG_007,2021-08-07T10:26:00,BUY,0.42,7.5,0.33,2021-08
RBPR4W1OTHER,F06,CFG_008,2022-05-08T10:27:00,SELL,0.43,7.5,0.34,2022-05
RBPR4W1OTHER,F06,CFG_009,2023-01-09T10:28:00,BUY,0.44,7.5,0.35,2023-01
RBPR4W1OTHER,F06,CFG_010,2024-04-10T10:29:00,SELL,0.45,7.5,0.36,2024-04
RBPR4W1OTHER,F06,CFG_001,2020-03-11T10:30:00,BUY,0.46,7.5,0.37,2020-03
RBPR4W1OTHER,F06,CFG_002,2021-08-12T10:31:00,SELL,0.40,7.5,0.31,2021-08
RBPR4W1OTHER,F06,CFG_003,2022-05-13T10:32:00,BUY,0.41,7.5,0.32,2022-05
RBPR4W1OTHER,F06,CFG_004,2023-01-14T10:33:00,SELL,0.42,7.5,0.33,2023-01
RBPR4W1OTHER,F06,CFG_005,2024-04-15T10:34:00,BUY,0.43,7.5,0.34,2024-04
RBPR4W1OTHER,F06,CFG_006,2020-03-16T10:35:00,SELL,0.44,7.5,0.35,2020-03
RBPR4W1OTHER,F06,CFG_007,2021-08-17T10:36:00,BUY,0.45,7.5,0.36,2021-08
RBPR4W1OTHER,F06,CFG_008,2022-05-18T10:37:00,SELL,0.46,7.5,0.37,2022-05
RBPR4W1OTHER,F06,CFG_009,2023-01-19T10:38:00,BUY,0.40,7.5,0.31,2023-01
RBPR4W1OTHER,F06,CFG_010,2024-04-20T10:39:00,SELL,0.41,7.5,0.32,2024-04
