pair,entry_time_ny,exit_time_ny,direction,entry_side,signal_time_ny,fill_time_ny,signal_price,fill_price,entry_price,exit_price,exit_signal_price,exit_fill_price,sl,tp,spread_applied,slippage_applied,commission_applied,entry_spread_pips,exit_spread_pips,entry_slippage_pips,exit_slippage_pips,entry_commission_usd,exit_commission_usd,price_source_used,data_source_used,pnl_r,pnl_usd,result,exit_reason,forced_close_flag,intrabar_ambiguity_flag,execution_mode_used,intrabar_policy_used,cost_profile_used,entry_cost_regime,exit_cost_regime,blocked_by_news,blocking_event_name,blocking_event_time_ny,blocking_rule_used,gap_exit_flag,gap_exit_type,date
EURUSD,2017-01-19 11:00:00,2017-01-19 14:30:00,long,,2017-01-19 11:00:00,2017-01-19 11:00:00,1.06103,1.0611650000000001,1.0611650000000001,1.0647350000000007,1.0647650000000006,1.0647350000000007,1.05883,1.0647650000000006,0.0,0.30000000000000004,0.0,1.5,0.0,0.30000000000000004,0.30000000000000004,7.352941176469752,7.352941176469752,bid,prepared_m5_bid,1.4852941176471075,742.6470588235537,win,take_profit,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2017-01-19
EURUSD,2017-02-14 11:15:00,2017-02-14 18:45:00,long,,2017-02-14 11:15:00,2017-02-14 11:15:00,1.0576,1.057785,1.057785,1.057795,1.057835,1.057795,1.05599,1.060575,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,9.628356777493273,9.628356777493273,bid,prepared_m5_bid,-0.013586956521703053,-6.877397698191459,loss,forced_session_close,False,False,normal_mode,standard,base,base|opening|high_vol|entry,base,False,,,,False,no_gap,2017-02-14
EURUSD,2017-02-22 16:00:00,2017-02-22 18:45:00,short,,2017-02-22 16:00:00,2017-02-22 16:00:00,1.056625,1.0565950000000002,1.0565950000000002,1.055025000000001,1.054865000000001,1.055025000000001,1.057505,1.054865000000001,0.0,0.4,0.0,1.2,0.0,0.2,0.4,16.794215892372048,16.794215892372048,bid,prepared_m5_bid,-1.514150943396003,-770.1347573498119,loss,take_profit,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2017-02-22
EURUSD,2018-01-19 16:30:00,2018-01-21 17:00:00,long,,2018-01-19 16:30:00,2018-01-19 16:30:00,1.222455,1.222645,1.222645,1.22699,1.22705,1.22699,1.22139,1.224625,0.0,0.6000000000000001,0.0,1.5,0.0,0.30000000000000004,0.6000000000000001,13.461538461537645,13.461538461537645,bid,prepared_m5_bid,3.3153846153844473,1657.6923076922237,win,take_profit,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,True,gap_target,2018-01-19
EURUSD,2018-01-24 13:45:00,2018-01-24 13:45:00,short,,2018-01-24 13:45:00,2018-01-24 13:45:00,1.240275,1.24025,1.24025,1.241435,1.24127,1.241435,1.24127,1.2383550000000005,0.0,0.45000000000000007,0.0,1.2,0.0,0.2,0.45000000000000007,15.277983234715386,15.277983234715386,bid,prepared_m5_bid,0.9829059829060652,501.99087771207326,win,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2018-01-24
EURUSD,2018-01-26 16:00:00,2018-01-28 18:45:00,long,,2018-01-26 16:00:00,2018-01-26 16:00:00,1.242,1.242165,1.242165,1.2430999999999999,1.24314,1.2430999999999999,1.24054,1.2447000000000001,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,10.808258289264273,10.808258289264273,bid,prepared_m5_bid,0.5389221556885483,277.92664172391005,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2018-01-26
EURUSD,2018-01-31 15:00:00,2018-01-31 18:45:00,long,,2018-01-31 15:00:00,2018-01-31 15:00:00,1.24114,1.24133,1.24133,1.24166,1.2417,1.24166,1.23861,1.2455075000000002,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,6.57749946361214,6.57749946361214,bid,prepared_m5_bid,0.10669077757682739,55.438924050434174,win,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2018-01-31
EURUSD,2018-07-13 16:45:00,2018-07-13 16:45:00,short,,2018-07-13 16:45:00,2018-07-13 16:45:00,1.168325,1.168295,1.168295,1.16885,1.1687,1.16885,1.1687,1.1673225000000005,0.0,0.30000000000000004,0.0,1.2,0.0,0.2,0.30000000000000004,31.53153153153942,31.53153153153942,bid,prepared_m5_bid,0.9369369369369213,468.4684684684606,win,stop_loss,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2018-07-13
EURUSD,2018-07-17 13:45:00,2018-07-17 18:45:00,long,,2018-07-17 13:45:00,2018-07-17 13:45:00,1.16649,1.16667,1.16667,1.165765,1.165805,1.165765,1.16487,1.1694675000000003,0.0,0.4,0.0,1.5,0.0,0.30000000000000004,0.4,9.573964208110048,9.573964208110048,bid,prepared_m5_bid,-0.5094850948510062,-257.1293244464267,loss,forced_session_close,False,False,normal_mode,standard,base,base|core|high_vol|entry,base,False,,,,False,no_gap,2018-07-17
EURUSD,2018-07-27 16:00:00,2018-07-29 18:45:00,short,,2018-07-27 16:00:00,2018-07-27 16:00:00,1.16591,1.16589,1.16589,1.166185,1.166025,1.166185,1.166535,1.1645575000000006,0.0,0.4,0.0,1.2,0.0,0.2,0.4,22.2712084380779,22.2712084380779,bid,prepared_m5_bid,0.32704402515719966,165.4432626828225,win,forced_session_close,False,False,normal_mode,standard,base,base|core|normal_vol|entry,base,False,,,,False,no_gap,2018-07-27
