trade_id,config_id,symbol,entry_time,exit_time,direction,entry_price,exit_price,pnl_r_gross,pnl_r_net_0.2,commission_r,slippage_r,close_reason,mae_r,mfe_r
tr_r1_001,cfg_r1_absorption_v4_p3,EURUSD,2020-01-02 08:15:00,2020-01-02 10:30:00,SHORT,1.12050,1.11800,2.50,2.10,0.20,0.20,TP,-0.12,2.50
tr_r1_002,cfg_r1_absorption_v4_p3,EURUSD,2020-01-03 08:45:00,2020-01-03 09:12:00,LONG,1.11500,1.11400,-1.00,-1.40,0.20,0.20,SL,-1.00,0.05
tr_r1_003,cfg_r1_absorption_v4_p3,EURUSD,2020-01-06 09:10:00,2020-01-06 14:05:00,SHORT,1.11850,1.11600,2.50,2.10,0.20,0.20,TP,-0.05,2.50
tr_r1_004,cfg_r1_absorption_v4_p3,EURUSD,2020-01-07 08:30:00,2020-01-07 11:20:00,LONG,1.11320,1.11570,2.50,2.10,0.20,0.20,TP,-0.25,2.50
tr_r1_005,cfg_r1_absorption_v4_p3,EURUSD,2020-01-08 10:05:00,2020-01-08 16:55:00,SHORT,1.11600,1.11550,0.50,0.10,0.20,0.20,TIME,-0.40,0.80
tr_r1_006,cfg_r1_absorption_v4_p3,EURUSD,2020-01-09 08:20:00,2020-01-09 08:55:00,LONG,1.11100,1.11000,-1.00,-1.40,0.20,0.20,SL,-1.00,0.10
tr_r1_007,cfg_r1_absorption_v4_p3,EURUSD,2020-01-10 09:35:00,2020-01-10 13:10:00,SHORT,1.11250,1.11000,2.50,2.10,0.20,0.20,TP,-0.02,2.50
tr_r1_008,cfg_r1_absorption_v4_p3,EURUSD,2020-01-13 08:12:00,2020-01-13 09:40:00,LONG,1.11450,1.11700,2.50,2.10,0.20,0.20,TP,-0.18,2.50
tr_r1_009,cfg_r1_absorption_v4_p3,EURUSD,2020-01-14 08:50:00,2020-01-14 09:05:00,SHORT,1.11650,1.11750,-1.00,-1.40,0.20,0.20,SL,-1.00,0.00
tr_r1_010,cfg_r1_absorption_v4_p3,EURUSD,2020-01-15 08:05:00,2020-01-15 11:15:00,LONG,1.11300,1.11550,2.50,2.10,0.20,0.20,TP,-0.08,2.50
