config_id,timestamp_utc,direction,level_type,level_val,entry_price,sl_pips,tp_pips,net_r,exit_reason,slippage,wick_to_body
R1_000,2020-01-02 12:15:00+00:00,LONG,asia_l,1.12008,1.11909,2.4,3.6,-1.2083,SL,0.0,6.0
R1_000,2020-01-02 12:15:00+00:00,LONG,asia_l,1.12008,1.11909,2.4,3.6,-1.2917,SL,0.2,6.0
R1_000,2020-01-03 12:21:00+00:00,LONG,asia_l,1.11521,1.11326,2.6,3.9,-1.1923,SL,0.0,8.0
R1_000,2020-01-03 12:21:00+00:00,LONG,asia_l,1.11521,1.11326,2.6,3.9,-1.2692,SL,0.2,8.0
R1_000,2020-01-06 12:09:00+00:00,SHORT,asia_h,1.11661,1.11989,3.6,5.4,1.3611,TP,0.0,2.33
R1_000,2020-01-06 12:09:00+00:00,SHORT,asia_h,1.11661,1.11989,3.6,5.4,1.3056,TP,0.2,2.33
R1_000,2020-01-07 13:15:00+00:00,LONG,asia_l,1.11731,1.11721,2.3,3.45,-1.2174,SL,0.0,5.0
R1_000,2020-01-07 13:15:00+00:00,LONG,asia_l,1.11731,1.11721,2.3,3.45,-1.3043,SL,0.2,5.0
R1_000,2020-01-08 12:45:00+00:00,LONG,asia_l,1.11432,1.11227,2.4,3.6,-1.2083,SL,0.0,7.0
R1_000,2020-01-08 12:45:00+00:00,LONG,asia_l,1.11432,1.11227,2.4,3.6,-1.2917,SL,0.2,7.0
R1_000,2020-01-09 12:24:00+00:00,LONG,asia_l,1.1111,1.11111,3.1,4.65,1.3387,TP,0.0,14.0
R1_000,2020-01-09 12:24:00+00:00,LONG,asia_l,1.1111,1.11111,3.1,4.65,1.2742,TP,0.2,14.0
R1_000,2020-01-10 12:03:00+00:00,LONG,asia_l,1.11044,1.10933,3.2,4.8,1.3437,TP,0.0,4.33
R1_000,2020-01-10 12:03:00+00:00,LONG,asia_l,1.11044,1.10933,3.2,4.8,1.2812,TP,0.2,4.33
R1_000,2020-01-13 12:27:00+00:00,LONG,asia_l,1.11246,1.11241,2.9,4.35,-1.1724,SL,0.0,11.0
R1_000,2020-01-13 12:27:00+00:00,LONG,asia_l,1.11246,1.11241,2.9,4.35,-1.2414,SL,0.2,11.0
R1_000,2020-01-14 15:06:00+00:00,LONG,asia_l,1.11348,1.11206,3.0,4.5,-1.1667,SL,0.0,2.33
R1_000,2020-01-14 15:06:00+00:00,LONG,asia_l,1.11348,1.11206,3.0,4.5,-1.2333,SL,0.2,2.33
R1_000,2020-01-15 12:06:00+00:00,SHORT,asia_h,1.11368,1.115,3.1,4.65,1.3387,TP,0.0,5.0
R1_000,2020-01-15 12:06:00+00:00,SHORT,asia_h,1.11368,1.115,3.1,4.65,1.2742,TP,0.2,5.0
R1_000,2020-01-16 12:00:00+00:00,SHORT,asia_h,1.11532,1.11589,2.2,3.3,-1.2273,SL,0.0,2.5
R1_000,2020-01-16 12:00:00+00:00,SHORT,asia_h,1.11532,1.11589,2.2,3.3,-1.3182,SL,0.2,2.5
R1_000,2020-01-17 12:00:00+00:00,LONG,asia_l,1.11318,1.11125,3.8,5.7,-1.1316,SL,0.0,3.2
R1_000,2020-01-17 12:00:00+00:00,LONG,asia_l,1.11318,1.11125,3.8,5.7,-1.1842,SL,0.2,3.2
R1_000,2020-01-20 12:24:00+00:00,LONG,asia_l,1.10948,1.1084,2.8,4.2,-1.1786,SL,0.0,5.0
R1_000,2020-01-20 12:24:00+00:00,LONG,asia_l,1.10948,1.1084,2.8,4.2,-1.25,SL,0.2,5.0
