config_id,session_window,level_type,wick_to_body_min,PF_train_net_0_2,PF_val_net_0_2,N_train,N_val,DD_val,status
cfg_v46_0001,08:00-11:00,ASIA_HL,1.8,0.56,0.53,98,77,5.18,DISCARDED
cfg_v46_0002,08:00-11:00,NY_PRE_HL,2.2,0.92,0.95,142,50,3.73,DISCARDED
cfg_v46_0003,08:00-11:00,ASIA_HL,3.0,1.16,1.10,81,81,6.19,DISCARDED
cfg_v46_0004,08:00-11:00,ASIA_HL,3.4,1.16,1.10,125,90,3.45,DISCARDED
cfg_v46_0005,08:00-11:00,NY_PRE_HL,2.6,1.02,1.02,94,85,5.22,DISCARDED
cfg_v46_0006,08:00-11:00,NY_PRE_HL,3.4,0.91,0.88,102,56,4.46,DISCARDED
cfg_v46_0007,08:00-11:00,ASIA_HL,3.4,0.87,0.78,131,55,3.60,DISCARDED
cfg_v46_0008,08:00-11:00,ASIA_HL,3.4,0.87,0.87,88,57,1.80,DISCARDED
cfg_v46_0009,08:00-11:00,NY_PRE_HL,2.6,0.99,1.00,148,97,3.20,DISCARDED
cfg_v46_0010,08:00-11:00,ASIA_HL,3.4,1.11,1.14,120,86,4.43,DISCARDED
cfg_v46_0011,08:00-11:00,NY_PRE_HL,1.8,1.15,1.11,101,55,4.39,DISCARDED
cfg_v46_0012,08:00-11:00,ASIA_HL,3.0,0.89,0.91,107,97,3.93,DISCARDED
cfg_v46_0013,08:00-11:00,ASIA_HL,3.0,1.17,1.00,107,53,7.07,DISCARDED
cfg_v46_0014,08:00-11:00,ASIA_HL,3.4,0.85,0.83,141,95,1.64,DISCARDED
cfg_v46_0015,08:00-11:00,ASIA_HL,3.0,0.96,0.90,148,80,5.73,DISCARDED
cfg_v46_0016,08:00-11:00,NY_PRE_HL,3.4,0.72,0.72,106,87,3.81,DISCARDED
cfg_v46_0017,08:00-11:00,ASIA_HL,2.2,1.06,1.03,139,83,2.25,DISCARDED
cfg_v46_0018,08:00-11:00,ASIA_HL,2.2,1.08,1.13,125,85,7.29,DISCARDED
cfg_v46_0019,08:00-11:00,ASIA_HL,1.8,1.12,1.15,120,66,7.21,TOP_CANDIDATE
cfg_v46_0020,08:00-11:00,ASIA_HL,3.4,1.07,1.00,146,61,4.21,DISCARDED
cfg_v46_0021,08:00-11:00,ASIA_HL,2.6,1.20,1.17,125,56,6.16,TOP_CANDIDATE
cfg_v46_0022,08:00-11:00,ASIA_HL,1.8,1.00,0.95,124,75,1.72,DISCARDED
cfg_v46_0023,08:00-11:00,NY_PRE_HL,2.2,0.96,0.94,99,69,5.87,DISCARDED
cfg_v46_0024,08:00-11:00,NY_PRE_HL,2.2,0.75,0.73,108,91,1.79,DISCARDED
cfg_v46_0025,08:00-11:00,NY_PRE_HL,1.8,1.15,1.01,129,88,7.08,DISCARDED
cfg_v46_0026,08:00-11:00,ASIA_HL,3.4,1.14,1.10,94,91,4.45,DISCARDED
cfg_v46_0027,08:00-11:00,ASIA_HL,2.2,0.81,0.70,112,81,7.76,DISCARDED
cfg_v46_0028,08:00-11:00,ASIA_HL,3.4,0.92,0.95,139,90,1.89,DISCARDED
cfg_v46_0029,08:00-11:00,NY_PRE_HL,2.2,1.27,1.32,131,79,3.36,TOP_CANDIDATE
cfg_v46_0030,08:00-11:00,ASIA_HL,3.4,1.21,1.04,128,92,1.53,DISCARDED
cfg_v46_0031,08:00-11:00,ASIA_HL,2.2,0.95,0.86,104,66,5.13,DISCARDED
cfg_v46_0032,08:00-11:00,ASIA_HL,2.2,0.82,0.78,109,92,3.83,DISCARDED
cfg_v46_0033,08:00-11:00,ASIA_HL,2.2,0.98,0.94,126,77,7.40,DISCARDED
cfg_v46_0034,08:00-11:00,ASIA_HL,1.8,1.05,0.95,96,73,5.98,DISCARDED
cfg_v46_0035,08:00-11:00,ASIA_HL,2.2,0.93,0.89,90,72,2.47,DISCARDED
cfg_v46_0036,08:00-11:00,NY_PRE_HL,3.0,0.84,0.81,116,64,5.38,DISCARDED
cfg_v46_0037,08:00-11:00,NY_PRE_HL,1.8,0.90,0.85,98,93,5.04,DISCARDED
cfg_v46_0038,08:00-11:00,ASIA_HL,1.8,1.05,0.96,139,90,3.68,DISCARDED
cfg_v46_0039,08:00-11:00,NY_PRE_HL,2.2,1.24,1.09,143,68,4.20,DISCARDED
cfg_v46_0040,08:00-11:00,ASIA_HL,1.8,0.99,0.99,132,53,6.42,DISCARDED
cfg_v46_0041,08:00-11:00,ASIA_HL,1.8,0.91,0.94,141,53,6.36,DISCARDED
cfg_v46_0042,08:00-11:00,ASIA_HL,3.0,0.91,0.93,91,62,3.55,DISCARDED
cfg_v46_0043,08:00-11:00,NY_PRE_HL,1.8,0.65,0.58,106,71,3.67,DISCARDED
cfg_v46_0044,08:00-11:00,NY_PRE_HL,3.0,1.09,0.94,147,93,7.73,DISCARDED
cfg_v46_0045,08:00-11:00,ASIA_HL,2.6,1.07,1.01,84,80,4.25,DISCARDED
cfg_v46_0046,08:00-11:00,ASIA_HL,2.6,1.26,1.22,96,53,6.56,TOP_CANDIDATE
cfg_v46_0047,08:00-11:00,NY_PRE_HL,1.8,0.91,0.87,127,58,7.80,DISCARDED
cfg_v46_0048,08:00-11:00,ASIA_HL,2.6,0.71,0.70,88,87,7.13,DISCARDED
cfg_v46_0049,08:00-11:00,NY_PRE_HL,2.6,0.75,0.65,128,80,6.38,DISCARDED
cfg_v46_0050,08:00-11:00,NY_PRE_HL,2.2,1.29,1.32,80,71,7.33,TOP_CANDIDATE
cfg_v46_0051,08:00-11:00,NY_PRE_HL,2.2,1.07,1.03,146,51,4.11,DISCARDED
cfg_v46_0052,08:00-11:00,ASIA_HL,2.6,1.03,1.04,149,65,7.07,DISCARDED
cfg_v46_0053,08:00-11:00,ASIA_HL,2.6,0.76,0.77,111,88,4.08,DISCARDED
cfg_v46_0054,08:00-11:00,ASIA_HL,2.6,0.82,0.80,130,85,7.41,DISCARDED
cfg_v46_0055,08:00-11:00,ASIA_HL,2.2,0.78,0.69,98,98,4.04,DISCARDED
cfg_v46_0056,08:00-11:00,NY_PRE_HL,3.4,0.88,0.86,109,73,4.32,DISCARDED
cfg_v46_0057,08:00-11:00,ASIA_HL,3.4,1.14,1.20,121,89,6.00,TOP_CANDIDATE
cfg_v46_0058,08:00-11:00,ASIA_HL,1.8,0.98,0.85,135,56,4.47,DISCARDED
cfg_v46_0059,08:00-11:00,NY_PRE_HL,2.2,0.72,0.70,82,72,4.77,DISCARDED
cfg_v46_0060,08:00-11:00,NY_PRE_HL,1.8,1.09,0.93,120,58,3.60,DISCARDED
cfg_v46_0061,08:00-11:00,ASIA_HL,1.8,0.88,0.75,96,50,5.84,DISCARDED
cfg_v46_0062,08:00-11:00,NY_PRE_HL,3.4,0.89,0.85,142,85,2.38,DISCARDED
cfg_v46_0063,08:00-11:00,NY_PRE_HL,1.8,1.25,1.20,118,100,7.76,TOP_CANDIDATE
cfg_v46_0064,08:00-11:00,ASIA_HL,3.0,1.02,1.00,102,92,4.94,DISCARDED
cfg_v46_0065,08:00-11:00,ASIA_HL,2.2,0.76,0.73,134,75,7.34,DISCARDED
cfg_v46_0066,08:00-11:00,ASIA_HL,3.0,0.78,0.70,91,51,3.24,DISCARDED
cfg_v46_0067,08:00-11:00,NY_PRE_HL,3.0,1.06,0.98,105,66,6.36,DISCARDED
cfg_v46_0068,08:00-11:00,NY_PRE_HL,3.0,1.11,0.98,103,87,3.20,DISCARDED
cfg_v46_0069,08:00-11:00,ASIA_HL,3.4,0.89,0.85,138,81,3.67,DISCARDED
cfg_v46_0070,08:00-11:00,ASIA_HL,1.8,1.08,1.10,131,55,1.85,DISCARDED
cfg_v46_0071,08:00-11:00,ASIA_HL,3.0,0.63,0.57,81,96,3.72,DISCARDED
cfg_v46_0072,08:00-11:00,NY_PRE_HL,2.6,0.90,0.90,124,51,4.65,DISCARDED
cfg_v46_0073,08:00-11:00,NY_PRE_HL,2.6,1.14,1.03,117,83,1.91,DISCARDED
cfg_v46_0074,08:00-11:00,NY_PRE_HL,1.8,0.89,0.93,146,55,4.75,DISCARDED
cfg_v46_0075,08:00-11:00,NY_PRE_HL,3.4,1.13,0.99,122,67,5.23,DISCARDED
cfg_v46_0076,08:00-11:00,ASIA_HL,3.4,0.84,0.74,112,51,7.70,DISCARDED
cfg_v46_0077,08:00-11:00,NY_PRE_HL,1.8,1.05,1.02,109,66,2.29,DISCARDED
cfg_v46_0078,08:00-11:00,ASIA_HL,2.6,1.00,0.98,96,50,3.97,DISCARDED
cfg_v46_0079,08:00-11:00,ASIA_HL,2.6,1.07,1.03,123,87,3.16,DISCARDED
cfg_v46_0080,08:00-11:00,NY_PRE_HL,3.4,0.82,0.76,120,54,4.21,DISCARDED
cfg_v46_0081,08:00-11:00,NY_PRE_HL,1.8,0.79,0.76,139,57,3.63,DISCARDED
cfg_v46_0082,08:00-11:00,ASIA_HL,2.6,0.85,0.76,133,62,7.50,DISCARDED
cfg_v46_0083,08:00-11:00,NY_PRE_HL,2.2,1.09,1.08,81,95,3.22,DISCARDED
cfg_v46_0084,08:00-11:00,NY_PRE_HL,2.2,0.93,0.91,87,75,4.14,DISCARDED
cfg_v46_0085,08:00-11:00,NY_PRE_HL,1.8,1.00,0.94,99,73,6.79,DISCARDED
cfg_v46_0086,08:00-11:00,ASIA_HL,2.6,1.00,0.90,147,88,4.88,DISCARDED
cfg_v46_0087,08:00-11:00,NY_PRE_HL,2.2,1.11,1.13,130,51,6.63,DISCARDED
cfg_v46_0088,08:00-11:00,ASIA_HL,2.6,0.83,0.76,90,80,5.54,DISCARDED
cfg_v46_0089,08:00-11:00,ASIA_HL,2.6,0.96,0.84,96,73,2.41,DISCARDED
cfg_v46_0090,08:00-11:00,ASIA_HL,3.0,0.96,0.87,88,85,6.66,DISCARDED
cfg_v46_0091,08:00-11:00,ASIA_HL,2.6,1.20,1.14,117,57,6.89,DISCARDED
cfg_v46_0092,08:00-11:00,ASIA_HL,3.0,1.05,1.05,98,83,6.46,DISCARDED
cfg_v46_0093,08:00-11:00,NY_PRE_HL,2.2,0.81,0.71,140,65,5.01,DISCARDED
cfg_v46_0094,08:00-11:00,ASIA_HL,3.0,0.93,0.82,125,65,6.03,DISCARDED
cfg_v46_0095,08:00-11:00,ASIA_HL,3.0,1.17,1.23,96,53,2.38,TOP_CANDIDATE
cfg_v46_0096,08:00-11:00,NY_PRE_HL,3.0,1.10,1.02,96,59,2.62,DISCARDED
cfg_v46_0097,08:00-11:00,ASIA_HL,2.6,0.90,0.82,98,78,6.72,DISCARDED
cfg_v46_0098,08:00-11:00,ASIA_HL,3.0,1.13,0.97,147,70,3.60,DISCARDED
cfg_v46_0099,08:00-11:00,NY_PRE_HL,3.4,0.80,0.72,150,99,3.95,DISCARDED
cfg_v46_0100,08:00-11:00,NY_PRE_HL,3.0,1.16,1.03,105,54,5.43,DISCARDED
cfg_v46_0101,08:00-11:00,ASIA_HL,2.6,0.64,0.56,126,52,2.60,DISCARDED
cfg_v46_0102,08:00-11:00,NY_PRE_HL,3.4,0.77,0.73,96,94,3.97,DISCARDED
cfg_v46_0103,08:00-11:00,ASIA_HL,2.2,0.97,0.98,145,59,7.94,DISCARDED
cfg_v46_0104,08:00-11:00,NY_PRE_HL,2.2,1.08,1.11,127,69,5.96,DISCARDED
cfg_v46_0105,08:00-11:00,NY_PRE_HL,3.4,1.16,1.16,150,100,3.16,TOP_CANDIDATE
cfg_v46_0106,08:00-11:00,ASIA_HL,1.8,1.09,0.94,82,71,3.82,DISCARDED
cfg_v46_0107,08:00-11:00,NY_PRE_HL,1.8,1.21,1.08,136,98,7.47,DISCARDED
cfg_v46_0108,08:00-11:00,NY_PRE_HL,3.0,0.76,0.78,146,53,3.56,DISCARDED
cfg_v46_0109,08:00-11:00,NY_PRE_HL,2.6,0.88,0.90,148,94,3.37,DISCARDED
cfg_v46_0110,08:00-11:00,NY_PRE_HL,3.0,1.01,1.06,97,65,5.53,DISCARDED
cfg_v46_0111,08:00-11:00,NY_PRE_HL,3.4,0.93,0.81,145,67,4.47,DISCARDED
cfg_v46_0112,08:00-11:00,ASIA_HL,3.0,0.91,0.78,126,61,2.67,DISCARDED
cfg_v46_0113,08:00-11:00,NY_PRE_HL,1.8,0.94,0.98,142,63,1.54,DISCARDED
cfg_v46_0114,08:00-11:00,ASIA_HL,3.4,1.00,0.95,98,78,4.44,DISCARDED
cfg_v46_0115,08:00-11:00,ASIA_HL,3.4,1.05,0.91,116,51,5.17,DISCARDED
cfg_v46_0116,08:00-11:00,ASIA_HL,3.0,0.92,0.84,143,81,4.49,DISCARDED
cfg_v46_0117,08:00-11:00,NY_PRE_HL,3.4,0.91,0.89,146,92,2.58,DISCARDED
cfg_v46_0118,08:00-11:00,NY_PRE_HL,2.6,0.83,0.80,105,73,3.79,DISCARDED
cfg_v46_0119,08:00-11:00,ASIA_HL,2.2,0.88,0.92,123,51,3.84,DISCARDED
cfg_v46_0120,08:00-11:00,ASIA_HL,2.2,0.87,0.88,124,79,7.80,DISCARDED
cfg_v46_0121,08:00-11:00,NY_PRE_HL,2.6,1.09,1.11,86,91,4.18,DISCARDED
cfg_v46_0122,08:00-11:00,NY_PRE_HL,3.4,1.17,1.18,84,81,4.71,TOP_CANDIDATE
cfg_v46_0123,08:00-11:00,ASIA_HL,1.8,0.97,0.95,131,96,6.97,DISCARDED
cfg_v46_0124,08:00-11:00,NY_PRE_HL,2.2,0.91,0.90,103,52,5.50,DISCARDED
cfg_v46_0125,08:00-11:00,ASIA_HL,1.8,0.87,0.78,142,65,6.73,DISCARDED
cfg_v46_0126,08:00-11:00,ASIA_HL,3.4,1.38,1.27,118,81,1.89,TOP_CANDIDATE
cfg_v46_0127,08:00-11:00,NY_PRE_HL,2.2,0.93,0.90,88,79,5.17,DISCARDED
cfg_v46_0128,08:00-11:00,NY_PRE_HL,2.2,1.03,0.97,134,84,6.93,DISCARDED
cfg_v46_0129,08:00-11:00,NY_PRE_HL,2.6,1.06,1.09,145,74,2.11,DISCARDED
cfg_v46_0130,08:00-11:00,ASIA_HL,2.2,0.71,0.75,122,87,5.06,DISCARDED
cfg_v46_0131,08:00-11:00,NY_PRE_HL,3.4,0.68,0.59,95,82,2.00,DISCARDED
cfg_v46_0132,08:00-11:00,NY_PRE_HL,2.2,1.06,0.97,98,96,1.56,DISCARDED
cfg_v46_0133,08:00-11:00,ASIA_HL,2.2,0.79,0.69,150,68,2.17,DISCARDED
cfg_v46_0134,08:00-11:00,NY_PRE_HL,3.4,0.69,0.69,107,51,2.33,DISCARDED
cfg_v46_0135,08:00-11:00,NY_PRE_HL,2.2,0.87,0.88,105,65,7.05,DISCARDED
cfg_v46_0136,08:00-11:00,ASIA_HL,3.4,0.96,0.90,143,71,2.06,DISCARDED
cfg_v46_0137,08:00-11:00,NY_PRE_HL,1.8,0.99,0.86,90,99,3.65,DISCARDED
