trade_id,phase,config_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_net_r,slippage
V47_001,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-03 15:27:00+00:00,2025-01-03 15:28:19.858000+00:00,SHORT,1.0283,1.0279200000000002,1.6316,0.2
V47_002,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-03 15:42:00+00:00,2025-01-03 15:44:42.334000+00:00,SHORT,1.02832,1.02848,-1.4375,0.2
V47_003,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-07 13:57:00+00:00,2025-01-07 13:58:00.166000+00:00,LONG,1.03921,1.03901,-1.35,0.2
V47_004,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-09 13:45:00+00:00,2025-01-09 13:58:23.050000+00:00,SHORT,1.03124,1.0306799999999998,1.75,0.2
V47_005,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-13 15:00:00+00:00,2025-01-13 15:01:00.437000+00:00,LONG,1.02083,1.02068,-1.4667,0.2
V47_006,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-16 13:51:00+00:00,2025-01-16 14:03:55.939000+00:00,LONG,1.02819,1.02751,-1.1029,0.2
V47_007,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-16 13:54:00+00:00,2025-01-16 13:57:10.586000+00:00,LONG,1.0282,1.02806,-1.5,0.2
V47_008,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-16 14:00:00+00:00,2025-01-16 14:02:05.218000+00:00,LONG,1.02815,1.02774,-1.1707,0.2
V47_009,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-17 13:48:00+00:00,2025-01-17 13:50:05.064000+00:00,SHORT,1.02949,1.0291700000000001,1.5625,0.2
V47_010,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-21 15:21:00+00:00,2025-01-21 15:22:15.605000+00:00,SHORT,1.03904,1.03931,-1.2593,0.2
V47_011,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-22 15:36:00+00:00,2025-01-22 15:39:27.286000+00:00,SHORT,1.04188,1.04225,-1.1892,0.2
V47_012,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-22 15:51:00+00:00,2025-01-22 15:55:01.634000+00:00,SHORT,1.04179,1.04212,-1.2121,0.2
V47_013,TEST_PROOF,cfg_r1_expansion_opt1,2025-01-23 14:03:00+00:00,2025-01-23 14:04:19.559000+00:00,SHORT,1.04099,1.04135,-1.1944,0.2
