config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V48_B1_001,ASIA_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_002,LONDON_HL,07:00-10:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_003,LONDON_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_004,LONDON_HL,07:00-10:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_005,ASIA_HL,07:00-10:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_006,LONDON_HL,08:00-11:00,2.6,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_007,LONDON_HL,07:00-10:00,3.0,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_008,LONDON_HL,08:00-11:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_009,LONDON_HL,07:00-10:00,2.6,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_010,ASIA_HL,07:00-10:00,1.8,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_011,ASIA_HL,08:00-11:00,3.4,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_012,ASIA_HL,08:00-11:00,2.2,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_013,LONDON_HL,08:00-11:00,3.4,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_014,ASIA_HL,07:00-10:00,3.4,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_015,ASIA_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V48_B1_016,ASIA_HL,08:00-11:00,3.4,3,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_017,ASIA_HL,08:00-11:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V48_B1_018,ASIA_HL,08:00-11:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
