config_id,N_train,PF_train,N_val,PF_val
V48_B1_001,22,0.62,14,0.24
V48_B1_002,22,0.19,27,0.38
V48_B1_003,14,0.19,25,0.51
V48_B1_004,15,0.18,25,0.51
V48_B1_005,25,0.87,20,0.43
V48_B1_006,26,0.39,26,0.45
V48_B1_007,15,0.18,25,0.51
V48_B1_008,25,0.38,16,0.2
V48_B1_009,18,0.23,26,0.48
V48_B1_010,39,0.53,25,0.48
V48_B1_011,20,0.5,12,0.4
V48_B1_012,24,0.31,15,0.38
V48_B1_013,17,0.43,14,0.28
V48_B1_014,19,0.43,12,0.4
V48_B1_015,35,0.54,25,0.48
V48_B1_016,22,0.65,21,0.42
V48_B1_017,32,0.5,24,0.57
V48_B1_018,25,0.75,21,0.4
V48_B1_019,20,0.32,13,0.36
V48_B1_020,22,0.92,21,0.4
V48_B1_021,39,0.49,24,0.5
V48_B1_022,39,0.53,25,0.48
V48_B1_023,19,0.37,23,0.46
V48_B1_024,21,0.42,13,0.37
V48_B1_025,28,0.52,20,0.45
V48_B1_026,22,0.19,27,0.38
V48_B1_027,23,0.59,14,0.24
V48_B1_028,17,0.23,25,0.51
V48_B1_029,27,0.67,23,0.36
V48_B1_030,39,0.38,26,0.45
V48_B1_031,20,0.35,24,0.52
V48_B1_032,17,0.23,21,0.57
V48_B1_033,32,0.62,24,0.59
V48_B1_034,24,0.31,15,0.38
V48_B1_035,17,0.26,26,0.48
V48_B1_036,25,0.62,20,0.46
V48_B1_037,25,0.63,16,0.23
V48_B1_038,35,0.38,26,0.52
V48_B1_039,22,0.41,15,0.42
V48_B1_040,28,0.48,24,0.34
V48_B1_041,29,0.69,21,0.4
V48_B1_042,28,0.41,18,0.18
V48_B1_043,28,0.52,20,0.45
V48_B1_044,22,0.92,21,0.4
V48_B1_045,24,0.33,22,0.28
V48_B1_046,29,0.3,19,0.16
V48_B1_047,20,0.71,12,0.28
V48_B1_048,27,0.28,16,0.36
V48_B1_049,31,0.4,21,0.23
V48_B1_050,13,0.2,21,0.53
V48_B1_051,30,0.58,24,0.35
V48_B1_052,17,0.15,14,0.24
V48_B1_053,30,0.58,24,0.35
V48_B1_054,13,0.2,13,0.57
V48_B1_055,22,0.29,15,0.49
V48_B1_056,26,0.39,26,0.45
V48_B1_057,21,0.3,13,0.47
V48_B1_058,30,0.31,18,0.17
V48_B1_059,30,0.48,25,0.41
V48_B1_060,17,0.23,21,0.57
V48_B1_061,29,0.3,19,0.16
V48_B1_062,25,0.62,20,0.46
V48_B1_063,19,0.37,21,0.41
V48_B1_064,17,0.26,22,0.49
V48_B1_065,19,0.43,12,0.4
V48_B1_066,20,0.21,16,0.2
V48_B1_067,27,0.47,23,0.38
V48_B1_068,22,0.65,21,0.42
V48_B1_069,32,0.62,24,0.59
V48_B1_070,13,0.2,21,0.53
V48_B1_071,20,0.45,13,0.26
V48_B1_072,24,0.36,15,0.42
V48_B1_073,22,0.25,17,0.66
V48_B1_074,45,0.52,26,0.45
V48_B1_075,22,0.92,19,0.45
V48_B1_076,30,0.44,27,0.36
V48_B1_077,31,0.29,19,0.16
V48_B1_078,20,0.35,24,0.52
V48_B1_079,31,0.4,21,0.23
V48_B1_080,18,0.14,21,0.45
V48_B1_081,21,0.29,22,0.49
V48_B1_082,24,0.18,26,0.43
V48_B1_083,28,0.64,22,0.47
V48_B1_084,17,0.26,22,0.49
V48_B1_085,17,0.26,26,0.48
V48_B1_086,22,0.62,14,0.24
V48_B1_087,29,0.43,19,0.18
V48_B1_088,22,0.44,14,0.34
V48_B1_089,20,0.55,16,0.23
V48_B1_090,22,0.41,15,0.42
V48_B1_091,22,0.29,15,0.49
V48_B1_092,18,0.23,26,0.48
V48_B1_093,29,0.7,22,0.57
V48_B1_094,25,0.87,19,0.45
V48_B1_095,35,0.38,26,0.52
V48_B1_096,23,0.19,23,0.39
V48_B1_097,18,0.14,24,0.48
V48_B1_098,34,0.49,25,0.56
V48_B1_099,24,0.26,15,0.49
V48_B1_100,29,0.49,21,0.43
