config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0001,88,0.72,0,0.0,-18.3
V49_7B_0002,57,0.55,0,0.0,-20.09
V49_7B_0003,59,0.52,0,0.0,-22.39
V49_7B_0004,73,0.83,0,0.0,-9.19
V49_7B_0005,80,0.79,0,0.0,-13.54
V49_7B_0006,31,0.58,0,0.0,-10.18
V49_7B_0007,69,0.63,0,0.0,-18.77
V49_7B_0008,55,0.56,0,0.0,-21.0
V49_7B_0009,76,0.66,0,0.0,-18.58
V49_7B_0010,90,0.8,0,0.0,-14.06
V49_7B_0011,69,0.75,0,0.0,-13.76
V49_7B_0012,49,0.52,0,0.0,-18.73
V49_7B_0013,81,0.68,0,0.0,-20.61
V49_7B_0014,49,0.92,0,0.0,-2.95
V49_7B_0015,73,0.9,0,0.0,-5.67
V49_7B_0016,53,0.57,0,0.0,-18.14
V49_7B_0017,36,0.52,0,0.0,-14.83
V49_7B_0018,87,0.64,0,0.0,-23.01
V49_7B_0019,50,0.61,0,0.0,-14.84
V49_7B_0020,53,0.69,0,0.0,-12.91
V49_7B_0021,58,0.64,0,0.0,-15.46
V49_7B_0022,46,0.74,0,0.0,-9.66
V49_7B_0023,61,0.63,0,0.0,-18.72
V49_7B_0024,54,0.54,0,0.0,-20.83
V49_7B_0025,46,0.82,0,0.0,-6.32
V49_7B_0026,42,0.48,0,0.0,-18.63
V49_7B_0027,59,0.53,0,0.0,-21.88
V49_7B_0028,31,0.68,0,0.0,-7.4
V49_7B_0029,88,0.72,0,0.0,-20.35
V49_7B_0030,35,0.48,0,0.0,-14.89
V49_7B_0031,77,0.69,0,0.0,-19.94
V49_7B_0032,67,0.61,0,0.0,-19.34
V49_7B_0033,41,0.69,0,0.0,-11.14
V49_7B_0034,91,0.53,0,0.0,-34.63
V49_7B_0035,69,0.71,0,0.0,-16.14
V49_7B_0036,51,0.67,0,0.0,-13.79
V49_7B_0037,54,0.74,0,0.0,-10.84
V49_7B_0038,59,0.79,0,0.0,-9.46
V49_7B_0039,71,0.75,0,0.0,-13.93
V49_7B_0040,49,0.48,0,0.0,-23.18
V49_7B_0041,37,0.67,0,0.0,-8.81
V49_7B_0042,31,0.82,0,0.0,-4.71
V49_7B_0043,57,0.42,0,0.0,-29.44
V49_7B_0044,40,0.59,0,0.0,-12.53
V49_7B_0045,56,0.72,0,0.0,-11.97
V49_7B_0046,44,0.63,0,0.0,-12.48
V49_7B_0047,51,0.84,0,0.0,-6.74
V49_7B_0048,59,0.8,0,0.0,-8.79
V49_7B_0049,50,0.77,0,0.0,-9.34
V49_7B_0050,62,0.6,0,0.0,-20.48
V49_7B_0051,70,0.63,0,0.0,-19.43
V49_7B_0052,45,0.55,0,0.0,-17.95
V49_7B_0053,91,0.58,0,0.0,-34.63
V49_7B_0054,34,0.77,0,0.0,-6.7
V49_7B_0055,32,0.58,0,0.0,-11.39
V49_7B_0056,38,0.49,0,0.0,-15.25
V49_7B_0057,34,0.45,0,0.0,-16.39
V49_7B_0058,90,0.76,0,0.0,-14.52
V49_7B_0059,43,0.59,0,0.0,-13.55
