config_id,N_train,PF_train,N_val,PF_val,Total_R
V49_7B_0001,88,0.63,0,0.0,-21.0
V49_7B_0002,57,0.55,0,0.0,-20.09
V49_7B_0003,27,2.32,0,0.0,5.84
V49_7B_0004,73,0.69,0,0.0,-13.99
V49_7B_0005,26,4.19,0,0.0,13.0
V49_7B_0006,19,2.12,0,0.0,4.11
V49_7B_0007,32,2.88,0,0.0,11.64
V49_7B_0008,15,3.88,0,0.0,4.82
V49_7B_0009,33,2.5,0,0.0,10.37
V49_7B_0010,34,2.8,0,0.0,11.3
V49_7B_0011,32,2.74,0,0.0,10.31
V49_7B_0012,22,3.61,0,0.0,10.9
V49_7B_0013,26,3.42,0,0.0,10.02
V49_7B_0014,49,0.68,0,0.0,-10.04
V49_7B_0015,73,0.86,0,0.0,-6.47
V49_7B_0016,26,4.52,0,0.0,8.18
V49_7B_0017,14,3.73,0,0.0,4.63
V49_7B_0018,87,0.64,0,0.0,-23.01
V49_7B_0019,15,3.89,0,0.0,4.82
V49_7B_0020,53,0.68,0,0.0,-11.5
V49_7B_0021,31,1.18,0,0.0,1.64
V49_7B_0022,18,2.16,0,0.0,4.74
V49_7B_0023,21,2.49,0,0.0,4.69
V49_7B_0024,25,2.95,0,0.0,9.31
V49_7B_0025,11,6.92,0,0.0,6.53
V49_7B_0026,14,3.08,0,0.0,3.55
V49_7B_0027,20,4.84,0,0.0,7.58
V49_7B_0028,19,2.31,0,0.0,4.18
V49_7B_0029,88,0.52,0,0.0,-28.04
V49_7B_0030,13,3.15,0,0.0,3.6
V49_7B_0031,29,3.21,0,0.0,10.97
V49_7B_0032,20,9.81,0,0.0,13.77
V49_7B_0033,27,2.74,0,0.0,7.57
V49_7B_0034,91,0.55,0,0.0,-32.63
V49_7B_0035,25,3.45,0,0.0,10.06
V49_7B_0036,18,2.4,0,0.0,6.35
V49_7B_0037,15,3.87,0,0.0,4.8
V49_7B_0038,24,3.37,0,0.0,9.8
V49_7B_0039,15,5.22,0,0.0,6.83
V49_7B_0040,32,1.49,0,0.0,5.4
V49_7B_0041,14,2.33,0,0.0,4.78
V49_7B_0042,19,2.18,0,0.0,4.24
V49_7B_0043,29,1.07,0,0.0,0.62
V49_7B_0044,14,4.89,0,0.0,6.5
V49_7B_0045,56,0.72,0,0.0,-10.21
V49_7B_0046,23,2.31,0,0.0,5.94
V49_7B_0047,18,4.21,0,0.0,9.08
V49_7B_0048,24,3.73,0,0.0,10.75
V49_7B_0049,15,3.89,0,0.0,4.82
