config_id,phase,entry_time,exit_time,entry_price,exit_price,direction,pnl_net_r,slippage
V49_7B_0001,TRAIN,2020-03-03 13:57:00+00:00,2020-03-03 14:10:07.444000+00:00,1.11162,1.1116700000000002,LONG,-0.0294,0.2
V49_7B_0001,TRAIN,2020-03-09 12:00:00+00:00,2020-03-09 12:07:22.493000+00:00,1.14238,1.14348,SHORT,-1.0636,0.2
V49_7B_0001,TRAIN,2020-03-09 13:54:00+00:00,2020-03-09 20:00:00.020000+00:00,1.141,1.14519,LONG,0.6059,0.2
V49_7B_0001,TRAIN,2020-03-09 14:30:00+00:00,2020-03-09 14:57:57.045000+00:00,1.14163,1.1435899999999999,SHORT,-1.0357,0.2
V49_7B_0001,TRAIN,2020-03-16 14:00:00+00:00,2020-03-16 14:54:54.807000+00:00,1.11487,1.11083,SHORT,1.9653,0.2
V49_7B_0001,TRAIN,2020-03-16 14:09:00+00:00,2020-03-16 14:16:52.254000+00:00,1.11478,1.11473,SHORT,-0.0122,0.2
V49_7B_0001,TRAIN,2020-03-16 14:12:00+00:00,2020-03-16 16:03:04.163000+00:00,1.1146,1.11455,SHORT,-0.0074,0.2
V49_7B_0001,TRAIN,2020-03-20 12:24:00+00:00,2020-03-20 12:42:29.458000+00:00,1.07297,1.07533,LONG,1.9407,0.2
V49_7B_0001,TRAIN,2020-03-20 14:33:00+00:00,2020-03-20 14:41:32.784000+00:00,1.07349,1.07187,LONG,-1.0432,0.2
V49_7B_0001,TRAIN,2020-03-24 12:03:00+00:00,2020-03-24 12:08:35.849000+00:00,1.08618,1.08358,SHORT,1.9462,0.2
V49_7B_0001,TRAIN,2020-03-25 13:00:00+00:00,2020-03-25 13:13:03.597000+00:00,1.08199,1.08325,SHORT,-1.0556,0.2
V49_7B_0001,TRAIN,2020-03-25 13:06:00+00:00,2020-03-25 13:12:57.583000+00:00,1.08214,1.08322,SHORT,-1.0648,0.2
V49_7B_0002,TRAIN,2020-03-03 13:57:00+00:00,2020-03-03 14:28:52.854000+00:00,1.11162,1.11264,LONG,1.3971,0.2
