config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V49_7_0001,ASIA_HL,07:00-10:00,2.5,2,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7_0002,LONDON_HL,08:00-11:00,3.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7_0003,LONDON_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_7_0004,LONDON_HL,07:00-10:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7_0005,LONDON_HL,09:00-12:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7_0006,LONDON_HL,07:00-10:00,2.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7_0007,LONDON_HL,09:00-12:00,3.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_7_0008,ASIA_HL,08:00-11:00,3.0,1,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7_0009,LONDON_HL,08:00-11:00,3.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7_0010,LONDON_HL,09:00-12:00,1.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7_0011,ASIA_HL,07:00-10:00,1.8,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_7_0012,LONDON_HL,07:00-10:00,2.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7_0013,LONDON_HL,07:00-10:00,2.5,2,NEXT_OPEN,MICROSTRUCTURE_SAFE,FIXED_1.5R
V49_7_0014,ASIA_HL,07:00-10:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_7_0015,LONDON_HL,08:00-11:00,2.2,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7_0016,LONDON_HL,07:00-10:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7_0017,ASIA_HL,09:00-12:00,2.2,1,MIDPOINT_STOP,MICROSTRUCTURE_SAFE,FIXED_2.5R
V49_7_0018,ASIA_HL,07:00-10:00,2.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_7_0019,ASIA_HL,08:00-11:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_7_0020,ASIA_HL,09:00-12:00,3.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
