config_id,phase,slippage,net_r
V49_7_0001,TRAIN,0.2,-1.175
V49_7_0001,TRAIN,0.2,-0.0286
V49_7_0001,TRAIN,0.2,2.3614
V49_7_0001,TRAIN,0.2,-0.0083
V49_7_0001,TRAIN,0.2,2.3852
V49_7_0001,TRAIN,0.2,-0.0396
V49_7_0001,TRAIN,0.2,-1.1148
V49_7_0001,TRAIN,0.2,-1.1687
V49_7_0001,TRAIN,0.3,-1.2
V49_7_0001,TRAIN,0.3,-0.0429
V49_7_0001,TRAIN,0.3,2.3416
V49_7_0001,TRAIN,0.3,-0.0124
V49_7_0001,TRAIN,0.3,2.3689
V49_7_0001,TRAIN,0.3,-0.0594
V49_7_0001,TRAIN,0.3,-1.1311
V49_7_0001,TRAIN,0.3,-1.1928
V49_7_0001,TRAIN,0.5,-1.25
V49_7_0001,TRAIN,0.5,-0.0714
V49_7_0001,TRAIN,0.5,2.302
V49_7_0001,TRAIN,0.5,-0.0207
V49_7_0001,TRAIN,0.5,2.3361
V49_7_0001,TRAIN,0.5,-0.099
V49_7_0001,TRAIN,0.5,-1.1639
V49_7_0001,TRAIN,0.5,-1.241
V49_7_0002,TRAIN,0.2,-1.2593
V49_7_0002,TRAIN,0.2,-0.1026
V49_7_0002,TRAIN,0.2,-2.1667
V49_7_0002,TRAIN,0.2,-1.7778
V49_7_0002,TRAIN,0.2,-0.1333
V49_7_0002,TRAIN,0.2,-1.2333
V49_7_0002,TRAIN,0.2,-0.0404
V49_7_0002,TRAIN,0.2,-1.2917
V49_7_0002,TRAIN,0.3,-1.2963
V49_7_0002,TRAIN,0.3,-0.1538
V49_7_0002,TRAIN,0.3,-2.3333
V49_7_0002,TRAIN,0.3,-1.8889
V49_7_0002,TRAIN,0.3,-0.2
V49_7_0002,TRAIN,0.3,-1.2667
V49_7_0002,TRAIN,0.3,-0.0606
V49_7_0002,TRAIN,0.3,-1.3333
V49_7_0002,TRAIN,0.5,-1.3704
V49_7_0002,TRAIN,0.5,-0.2564
V49_7_0002,TRAIN,0.5,-2.6667
V49_7_0002,TRAIN,0.5,-2.1111
V49_7_0002,TRAIN,0.5,-0.3333
V49_7_0002,TRAIN,0.5,-1.3333
V49_7_0002,TRAIN,0.5,-0.101
V49_7_0002,TRAIN,0.5,-1.4167
V49_7_0003,TRAIN,0.2,-1.2593
V49_7_0003,TRAIN,0.2,-1.1944
V49_7_0003,TRAIN,0.2,-1.2456
V49_7_0003,TRAIN,0.2,-1.1373
V49_7_0003,TRAIN,0.2,-1.2456
V49_7_0003,TRAIN,0.2,-1.2121
V49_7_0003,TRAIN,0.2,-1.1795
V49_7_0003,TRAIN,0.2,-1.1867
V49_7_0003,TRAIN,0.2,-1.1867
V49_7_0003,TRAIN,0.3,-1.2963
V49_7_0003,TRAIN,0.3,-1.2222
V49_7_0003,TRAIN,0.3,-1.2807
V49_7_0003,TRAIN,0.3,-1.1569
V49_7_0003,TRAIN,0.3,-1.2807
V49_7_0003,TRAIN,0.3,-1.2424
V49_7_0003,TRAIN,0.3,-1.2051
V49_7_0003,TRAIN,0.3,-1.2133
V49_7_0003,TRAIN,0.3,-1.2133
V49_7_0003,TRAIN,0.5,-1.3704
V49_7_0003,TRAIN,0.5,-1.2778
V49_7_0003,TRAIN,0.5,-1.3509
V49_7_0003,TRAIN,0.5,-1.1961
V49_7_0003,TRAIN,0.5,-1.3509
V49_7_0003,TRAIN,0.5,-1.303
V49_7_0003,TRAIN,0.5,-1.2564
V49_7_0003,TRAIN,0.5,-1.2667
V49_7_0003,TRAIN,0.5,-1.2667
V49_7_0004,TRAIN,0.2,-1.0562
V49_7_0004,TRAIN,0.2,-1.1458
V49_7_0004,TRAIN,0.2,-1.5833
V49_7_0004,TRAIN,0.2,1.2083
V49_7_0004,TRAIN,0.2,-1.1505
V49_7_0004,TRAIN,0.2,-2.1667
V49_7_0004,TRAIN,0.2,-1.1373
V49_7_0004,TRAIN,0.2,-1.5185
V49_7_0004,TRAIN,0.2,-1.7778
V49_7_0004,TRAIN,0.2,-0.0649
V49_7_0004,TRAIN,0.2,-1.4667
V49_7_0004,TRAIN,0.3,-1.0643
V49_7_0004,TRAIN,0.3,-1.1667
V49_7_0004,TRAIN,0.3,-1.6667
V49_7_0004,TRAIN,0.3,1.1667
V49_7_0004,TRAIN,0.3,-1.172
V49_7_0004,TRAIN,0.3,-2.3333
V49_7_0004,TRAIN,0.3,-1.1569
V49_7_0004,TRAIN,0.3,-1.5926
V49_7_0004,TRAIN,0.3,-1.8889
V49_7_0004,TRAIN,0.5,-1.0803
V49_7_0004,TRAIN,0.5,-1.2083
V49_7_0004,TRAIN,0.5,-1.8333
V49_7_0004,TRAIN,0.5,1.0833
V49_7_0004,TRAIN,0.5,-1.2151
V49_7_0004,TRAIN,0.5,-2.6667
V49_7_0004,TRAIN,0.5,-1.1961
V49_7_0004,TRAIN,0.5,-1.7407
V49_7_0004,TRAIN,0.5,-2.1111
V49_7_0005,TRAIN,0.2,-1.2917
V49_7_0005,TRAIN,0.2,-1.2121
V49_7_0005,TRAIN,0.2,-1.1867
V49_7_0005,TRAIN,0.2,-0.0784
V49_7_0005,TRAIN,0.2,-0.0272
V49_7_0005,TRAIN,0.2,-0.0392
V49_7_0005,TRAIN,0.2,2.3056
V49_7_0005,TRAIN,0.3,-1.3333
V49_7_0005,TRAIN,0.3,-1.2424
V49_7_0005,TRAIN,0.3,-1.2133
V49_7_0005,TRAIN,0.3,-0.1176
V49_7_0005,TRAIN,0.3,-0.0408
V49_7_0005,TRAIN,0.3,-0.0588
V49_7_0005,TRAIN,0.3,2.2778
V49_7_0005,TRAIN,0.5,-1.4167
V49_7_0005,TRAIN,0.5,-1.303
V49_7_0005,TRAIN,0.5,-1.2667
V49_7_0005,TRAIN,0.5,-0.1961
V49_7_0005,TRAIN,0.5,-0.068
V49_7_0005,TRAIN,0.5,-0.098
V49_7_0005,TRAIN,0.5,2.2222
V49_7_0006,TRAIN,0.2,-1.2593
V49_7_0006,TRAIN,0.2,1.141
V49_7_0006,TRAIN,0.2,1.2083
V49_7_0006,TRAIN,0.2,-2.1667
V49_7_0006,TRAIN,0.2,-1.7778
V49_7_0006,TRAIN,0.2,-0.0649
V49_7_0006,TRAIN,0.2,-1.4667
V49_7_0006,TRAIN,0.2,1.3495
V49_7_0006,TRAIN,0.2,1.2879
V49_7_0006,TRAIN,0.2,1.2879
V49_7_0006,TRAIN,0.2,1.3586
V49_7_0006,TRAIN,0.2,-1.2917
V49_7_0006,TRAIN,0.2,1.2778
V49_7_0006,TRAIN,0.3,-1.2963
V49_7_0006,TRAIN,0.3,1.0897
V49_7_0006,TRAIN,0.3,1.1667
