config_id,phase,entry_time,exit_time,entry_price,exit_price,direction,pnl_net_r,slippage
V49_7_0001,TRAIN,2021-06-04 11:57:00+00:00,2021-06-04 12:11:44.773000+00:00,1.21146,1.21186,SHORT,-1.175,0.2
V49_7_0001,TRAIN,2021-06-08 11:51:00+00:00,2021-06-08 12:45:03.323000+00:00,1.21796,1.21801,LONG,-0.0286,0.2
V49_7_0001,TRAIN,2021-06-08 13:54:00+00:00,2021-06-08 14:41:35.579000+00:00,1.21764,1.2189025,LONG,2.3614,0.2
V49_7_0001,TRAIN,2021-06-10 11:48:00+00:00,2021-06-10 13:45:00.895000+00:00,1.21724,1.21719,SHORT,-0.0083,0.2
V49_7_0001,TRAIN,2021-06-10 12:21:00+00:00,2021-06-10 12:30:01.426000+00:00,1.21709,1.215565,SHORT,2.3852,0.2
V49_7_0001,TRAIN,2021-06-22 11:03:00+00:00,2021-06-22 11:58:49.255000+00:00,1.18938,1.1894300000000002,LONG,-0.0396,0.2
V49_7_0001,TRAIN,2021-06-24 11:30:00+00:00,2021-06-24 11:48:27.229000+00:00,1.19354,1.19415,SHORT,-1.1148,0.2
V49_7_0001,TRAIN,2021-06-25 12:24:00+00:00,2021-06-25 12:30:15.759000+00:00,1.19489,1.195305,SHORT,-1.1687,0.2
V49_7_0002,TRAIN,2021-06-04 12:12:00+00:00,2021-06-04 12:25:19.539000+00:00,1.21168,1.2119499999999999,SHORT,-1.2593,0.2
V49_7_0002,TRAIN,2021-06-04 12:15:00+00:00,2021-06-04 12:19:52.539000+00:00,1.21174,1.21169,SHORT,-0.1026,0.2
V49_7_0002,TRAIN,2021-06-08 12:30:00+00:00,2021-06-08 12:30:20.912000+00:00,1.21836,1.2184199999999998,SHORT,-2.1667,0.2
V49_7_0002,TRAIN,2021-06-09 12:51:00+00:00,2021-06-09 12:51:43.330000+00:00,1.21952,1.2196100000000003,SHORT,-1.7778,0.2
V49_7_0002,TRAIN,2021-06-14 14:00:00+00:00,2021-06-14 14:02:04.458000+00:00,1.21216,1.2121099999999998,SHORT,-0.1333,0.2
V49_7_0002,TRAIN,2021-06-14 14:09:00+00:00,2021-06-14 14:13:51.160000+00:00,1.21202,1.21232,SHORT,-1.2333,0.2
V49_7_0002,TRAIN,2021-06-24 13:45:00+00:00,2021-06-24 14:18:13.907000+00:00,1.19479,1.19474,SHORT,-0.0404,0.2
V49_7_0002,TRAIN,2021-06-25 12:24:00+00:00,2021-06-25 12:25:14.019000+00:00,1.19494,1.1951800000000001,SHORT,-1.2917,0.2
V49_7_0003,TRAIN,2021-06-04 12:09:00+00:00,2021-06-04 12:11:52.403000+00:00,1.21161,1.2118799999999998,SHORT,-1.2593,0.2
V49_7_0003,TRAIN,2021-06-04 12:12:00+00:00,2021-06-04 12:25:19.956000+00:00,1.21162,1.21198,SHORT,-1.1944,0.2
V49_7_0003,TRAIN,2021-06-08 12:30:00+00:00,2021-06-08 12:35:33.434000+00:00,1.21821,1.2184949999999999,SHORT,-1.2456,0.2
V49_7_0003,TRAIN,2021-06-08 12:33:00+00:00,2021-06-08 12:36:41.218000+00:00,1.21826,1.21877,SHORT,-1.1373,0.2
V49_7_0003,TRAIN,2021-06-09 12:39:00+00:00,2021-06-09 12:51:43.330000+00:00,1.21933,1.219615,SHORT,-1.2456,0.2
