config_id,phase,slippage,net_r
V49_7_0008,TRAIN,0.2,-1.1573
V49_7_0008,TRAIN,0.3,-1.1798
V49_7_0008,TRAIN,0.5,-1.2247
V49_7_0011,TRAIN,0.2,-1.2029
V49_7_0011,TRAIN,0.3,-1.2319
V49_7_0011,TRAIN,0.5,-1.2899
V49_7_0014,TRAIN,0.2,-1.2029
V49_7_0014,TRAIN,0.3,-1.2319
V49_7_0014,TRAIN,0.5,-1.2899
V49_7_0018,TRAIN,0.2,-1.1522
V49_7_0018,TRAIN,0.3,-1.1739
V49_7_0018,TRAIN,0.5,-1.2174
V49_7_0028,TRAIN,0.2,-1.1573
V49_7_0028,TRAIN,0.3,-1.1798
V49_7_0028,TRAIN,0.5,-1.2247
V49_7_0047,TRAIN,0.2,-1.2029
V49_7_0047,TRAIN,0.3,-1.2319
V49_7_0047,TRAIN,0.5,-1.2899
V49_7_0059,TRAIN,0.2,-1.1522
V49_7_0059,TRAIN,0.3,-1.1739
V49_7_0059,TRAIN,0.5,-1.2174
V49_7_0080,TRAIN,0.2,-1.1522
V49_7_0080,TRAIN,0.3,-1.1739
V49_7_0080,TRAIN,0.5,-1.2174
V49_7_0081,TRAIN,0.2,-1.2029
V49_7_0081,TRAIN,0.3,-1.2319
V49_7_0081,TRAIN,0.5,-1.2899
V49_7_0082,TRAIN,0.2,-1.1522
V49_7_0082,TRAIN,0.3,-1.1739
V49_7_0082,TRAIN,0.5,-1.2174
V49_7_0084,TRAIN,0.2,-1.1573
V49_7_0084,TRAIN,0.3,-1.1798
V49_7_0084,TRAIN,0.5,-1.2247
V49_7_0087,TRAIN,0.2,-1.2029
V49_7_0087,TRAIN,0.3,-1.2319
V49_7_0087,TRAIN,0.5,-1.2899
V49_7_0090,TRAIN,0.2,-1.1573
V49_7_0090,TRAIN,0.3,-1.1798
V49_7_0090,TRAIN,0.5,-1.2247
V49_7_0091,TRAIN,0.2,-1.2029
V49_7_0091,TRAIN,0.3,-1.2319
V49_7_0091,TRAIN,0.5,-1.2899
V49_7_0094,TRAIN,0.2,-1.1573
V49_7_0094,TRAIN,0.3,-1.1798
V49_7_0094,TRAIN,0.5,-1.2247
V49_7_0098,TRAIN,0.2,-1.2029
V49_7_0098,TRAIN,0.3,-1.2319
V49_7_0098,TRAIN,0.5,-1.2899
V49_7_0017,TRAIN,0.2,-0.0336
V49_7_0017,TRAIN,0.3,-0.0504
V49_7_0017,TRAIN,0.5,-0.084
V49_7_0020,TRAIN,0.2,-0.0404
V49_7_0020,TRAIN,0.3,-0.0606
V49_7_0020,TRAIN,0.5,-0.101
V49_7_0036,TRAIN,0.2,-0.0336
V49_7_0036,TRAIN,0.3,-0.0504
V49_7_0036,TRAIN,0.5,-0.084
V49_7_0042,TRAIN,0.2,1.3939
V49_7_0042,TRAIN,0.3,1.3788
V49_7_0042,TRAIN,0.5,1.3485
V49_7_0067,TRAIN,0.2,-0.0336
V49_7_0067,TRAIN,0.3,-0.0504
V49_7_0067,TRAIN,0.5,-0.084
V49_7_0068,TRAIN,0.2,-0.0303
V49_7_0068,TRAIN,0.3,-0.0455
V49_7_0068,TRAIN,0.5,-0.0758
V49_7_0070,TRAIN,0.2,1.8586
V49_7_0070,TRAIN,0.3,1.8384
V49_7_0070,TRAIN,0.5,1.798
V49_7_0080,TRAIN,0.2,-0.0303
V49_7_0080,TRAIN,0.3,-0.0455
V49_7_0080,TRAIN,0.5,-0.0758
V49_7_0087,TRAIN,0.2,1.8586
V49_7_0087,TRAIN,0.3,1.8384
V49_7_0087,TRAIN,0.5,1.798
V49_7_0091,TRAIN,0.2,-0.0404
V49_7_0091,TRAIN,0.3,-0.0606
V49_7_0091,TRAIN,0.5,-0.101
V49_7_0093,TRAIN,0.2,-0.0303
V49_7_0093,TRAIN,0.3,-0.0455
V49_7_0093,TRAIN,0.5,-0.0758
V49_7_0094,TRAIN,0.2,1.3824
V49_7_0094,TRAIN,0.3,1.3655
V49_7_0094,TRAIN,0.5,1.3319
V49_7_0095,TRAIN,0.2,1.3939
V49_7_0095,TRAIN,0.3,1.3788
V49_7_0095,TRAIN,0.5,1.3485
V49_7_0098,TRAIN,0.2,-0.0404
V49_7_0098,TRAIN,0.3,-0.0606
V49_7_0098,TRAIN,0.5,-0.101
V49_7_0004,TRAIN,0.2,-1.0562
V49_7_0004,TRAIN,0.3,-1.0643
V49_7_0004,TRAIN,0.5,-1.0803
V49_7_0022,TRAIN,0.2,-1.0422
V49_7_0022,TRAIN,0.3,-1.0482
V49_7_0022,TRAIN,0.5,-1.0602
V49_7_0085,TRAIN,0.2,-1.052
V49_7_0085,TRAIN,0.3,-1.0595
V49_7_0085,TRAIN,0.5,-1.0743
V49_7_0089,TRAIN,0.2,-1.0422
V49_7_0089,TRAIN,0.3,-1.0482
V49_7_0089,TRAIN,0.5,-1.0602
V49_7_0100,TRAIN,0.2,-1.0562
V49_7_0100,TRAIN,0.3,-1.0643
V49_7_0100,TRAIN,0.5,-1.0803
V49_7_0003,TRAIN,0.2,-1.2593
V49_7_0003,TRAIN,0.3,-1.2963
V49_7_0003,TRAIN,0.5,-1.3704
V49_7_0004,TRAIN,0.2,-1.5833
V49_7_0004,TRAIN,0.3,-1.6667
V49_7_0004,TRAIN,0.5,-1.8333
V49_7_0015,TRAIN,0.2,-1.1944
V49_7_0015,TRAIN,0.3,-1.2222
V49_7_0015,TRAIN,0.5,-1.2778
V49_7_0022,TRAIN,0.2,-1.1944
V49_7_0022,TRAIN,0.3,-1.2222
V49_7_0022,TRAIN,0.5,-1.2778
V49_7_0023,TRAIN,0.2,-1.5833
V49_7_0023,TRAIN,0.3,-1.6667
V49_7_0023,TRAIN,0.5,-1.8333
V49_7_0024,TRAIN,0.2,-1.1944
V49_7_0024,TRAIN,0.3,-1.2222
V49_7_0024,TRAIN,0.5,-1.2778
V49_7_0026,TRAIN,0.2,-1.5833
V49_7_0026,TRAIN,0.3,-1.6667
V49_7_0026,TRAIN,0.5,-1.8333
V49_7_0027,TRAIN,0.2,-0.0909
V49_7_0027,TRAIN,0.3,-0.1364
V49_7_0027,TRAIN,0.5,-0.2273
V49_7_0044,TRAIN,0.2,-1.4375
V49_7_0044,TRAIN,0.3,-1.5
V49_7_0044,TRAIN,0.5,-1.625
V49_7_0045,TRAIN,0.2,-1.4375
V49_7_0045,TRAIN,0.3,-1.5
V49_7_0045,TRAIN,0.5,-1.625
V49_7_0046,TRAIN,0.2,-1.3182
V49_7_0046,TRAIN,0.3,-1.3636
V49_7_0046,TRAIN,0.5,-1.4545
V49_7_0053,TRAIN,0.2,-1.5833
V49_7_0053,TRAIN,0.3,-1.6667
V49_7_0053,TRAIN,0.5,-1.8333
V49_7_0054,TRAIN,0.2,-1.4375
V49_7_0054,TRAIN,0.3,-1.5
V49_7_0054,TRAIN,0.5,-1.625
V49_7_0061,TRAIN,0.2,-1.1944
V49_7_0061,TRAIN,0.3,-1.2222
V49_7_0061,TRAIN,0.5,-1.2778
V49_7_0069,TRAIN,0.2,-1.1892
V49_7_0069,TRAIN,0.3,-1.2162
V49_7_0069,TRAIN,0.5,-1.2703
V49_7_0072,TRAIN,0.2,-1.4375
V49_7_0072,TRAIN,0.3,-1.5
V49_7_0072,TRAIN,0.5,-1.625
V49_7_0076,TRAIN,0.2,-1.1892
V49_7_0076,TRAIN,0.3,-1.2162
V49_7_0076,TRAIN,0.5,-1.2703
V49_7_0085,TRAIN,0.2,-0.0909
V49_7_0085,TRAIN,0.3,-0.1364
V49_7_0085,TRAIN,0.5,-0.2273
V49_7_0089,TRAIN,0.2,-1.4375
V49_7_0089,TRAIN,0.3,-1.5
V49_7_0089,TRAIN,0.5,-1.625
V49_7_0096,TRAIN,0.2,-1.5833
V49_7_0096,TRAIN,0.3,-1.6667
V49_7_0096,TRAIN,0.5,-1.8333
V49_7_0100,TRAIN,0.2,-1.2593
V49_7_0100,TRAIN,0.3,-1.2963
V49_7_0100,TRAIN,0.5,-1.3704
V49_7_0002,TRAIN,0.2,-1.2593
V49_7_0002,TRAIN,0.3,-1.2963
V49_7_0002,TRAIN,0.5,-1.3704
V49_7_0003,TRAIN,0.2,-1.1944
V49_7_0003,TRAIN,0.3,-1.2222
V49_7_0003,TRAIN,0.5,-1.2778
V49_7_0004,TRAIN,0.2,-1.2593
V49_7_0004,TRAIN,0.3,-1.2963
V49_7_0004,TRAIN,0.5,-1.3704
V49_7_0006,TRAIN,0.2,-1.2593
V49_7_0006,TRAIN,0.3,-1.2963
V49_7_0006,TRAIN,0.5,-1.3704
V49_7_0009,TRAIN,0.2,-0.0556
V49_7_0009,TRAIN,0.3,-0.0833
V49_7_0009,TRAIN,0.5,-0.1389
V49_7_0012,TRAIN,0.2,-1.1458
V49_7_0012,TRAIN,0.3,-1.1667
V49_7_0012,TRAIN,0.5,-1.2083
V49_7_0013,TRAIN,0.2,-1.1892
V49_7_0013,TRAIN,0.3,-1.2162
V49_7_0013,TRAIN,0.5,-1.2703
V49_7_0015,TRAIN,0.2,-1.1458
V49_7_0015,TRAIN,0.3,-1.1667
V49_7_0015,TRAIN,0.5,-1.2083
V49_7_0016,TRAIN,0.2,-1.1458
V49_7_0016,TRAIN,0.3,-1.1667
V49_7_0016,TRAIN,0.5,-1.2083
V49_7_0021,TRAIN,0.2,-1.1458
V49_7_0021,TRAIN,0.3,-1.1667
V49_7_0021,TRAIN,0.5,-1.2083
V49_7_0022,TRAIN,0.2,-1.1458
V49_7_0022,TRAIN,0.3,-1.1667
V49_7_0022,TRAIN,0.5,-1.2083
V49_7_0023,TRAIN,0.2,-1.2593
V49_7_0023,TRAIN,0.3,-1.2963
V49_7_0023,TRAIN,0.5,-1.3704
V49_7_0024,TRAIN,0.2,-1.1458
V49_7_0024,TRAIN,0.3,-1.1667
V49_7_0024,TRAIN,0.5,-1.2083
V49_7_0026,TRAIN,0.2,-1.2593
V49_7_0026,TRAIN,0.3,-1.2963
V49_7_0026,TRAIN,0.5,-1.3704
V49_7_0027,TRAIN,0.2,-0.0541
V49_7_0027,TRAIN,0.3,-0.0811
V49_7_0027,TRAIN,0.5,-0.1351
V49_7_0032,TRAIN,0.2,-1.2593
V49_7_0032,TRAIN,0.3,-1.2963
V49_7_0032,TRAIN,0.5,-1.3704
V49_7_0043,TRAIN,0.2,-1.1944
V49_7_0043,TRAIN,0.3,-1.2222
V49_7_0043,TRAIN,0.5,-1.2778
V49_7_0044,TRAIN,0.2,-0.0556
V49_7_0044,TRAIN,0.3,-0.0833
V49_7_0044,TRAIN,0.5,-0.1389
V49_7_0045,TRAIN,0.2,-1.1944
V49_7_0045,TRAIN,0.3,-1.2222
V49_7_0045,TRAIN,0.5,-1.2778
V49_7_0046,TRAIN,0.2,-1.1892
V49_7_0046,TRAIN,0.3,-1.2162
V49_7_0046,TRAIN,0.5,-1.2703
V49_7_0048,TRAIN,0.2,-1.1944
V49_7_0048,TRAIN,0.3,-1.2222
V49_7_0048,TRAIN,0.5,-1.2778
V49_7_0052,TRAIN,0.2,-1.1944
V49_7_0052,TRAIN,0.3,-1.2222
V49_7_0052,TRAIN,0.5,-1.2778
V49_7_0053,TRAIN,0.2,-1.2593
V49_7_0053,TRAIN,0.3,-1.2963
V49_7_0053,TRAIN,0.5,-1.3704
V49_7_0054,TRAIN,0.2,-0.0556
V49_7_0054,TRAIN,0.3,-0.0833
V49_7_0054,TRAIN,0.5,-0.1389
V49_7_0056,TRAIN,0.2,-1.1944
V49_7_0056,TRAIN,0.3,-1.2222
V49_7_0056,TRAIN,0.5,-1.2778
V49_7_0057,TRAIN,0.2,-1.1892
V49_7_0057,TRAIN,0.3,-1.2162
V49_7_0057,TRAIN,0.5,-1.2703
V49_7_0061,TRAIN,0.2,-1.1458
V49_7_0061,TRAIN,0.3,-1.1667
V49_7_0061,TRAIN,0.5,-1.2083
V49_7_0064,TRAIN,0.2,-1.1892
V49_7_0064,TRAIN,0.3,-1.2162
V49_7_0064,TRAIN,0.5,-1.2703
V49_7_0069,TRAIN,0.2,-1.1522
V49_7_0069,TRAIN,0.3,-1.1739
V49_7_0069,TRAIN,0.5,-1.2174
V49_7_0072,TRAIN,0.2,-0.0556
V49_7_0072,TRAIN,0.3,-0.0833
V49_7_0072,TRAIN,0.5,-0.1389
V49_7_0076,TRAIN,0.2,-1.1522
V49_7_0076,TRAIN,0.3,-1.1739
V49_7_0076,TRAIN,0.5,-1.2174
V49_7_0078,TRAIN,0.2,-1.1522
V49_7_0078,TRAIN,0.3,-1.1739
V49_7_0078,TRAIN,0.5,-1.2174
V49_7_0083,TRAIN,0.2,-0.0556
V49_7_0083,TRAIN,0.3,-0.0833
