parameter_value,PF_train_count,PF_train_median,PF_train_mean,PF_val_median,PF_val_mean,Total_R_mean,parameter_name
07:00-10:00,273,0.67,0.6891575091575091,0.75,0.7615750915750915,-19.983699633699633,session_window
08:00-11:00,264,0.68,0.6885606060606061,0.795,0.8177272727272727,-24.91806818181818,session_window
09:00-12:00,263,0.55,0.570380228136882,0.81,0.822319391634981,-20.022661596958176,session_window
ASIA_HL,425,0.63,0.6366823529411764,0.78,0.7976941176470588,-19.662894117647056,level_type
LONDON_HL,375,0.66,0.6649066666666666,0.78,0.8027733333333333,-23.848399999999998,level_type
1.5,128,0.69,0.69671875,0.775,0.77296875,-26.147265625,wick_to_body_min
1.8,136,0.68,0.6927941176470588,0.77,0.7702941176470589,-22.849926470588237,wick_to_body_min
2.0,121,0.64,0.6490909090909092,0.81,0.8049586776859504,-22.254710743801652,wick_to_body_min
2.2,139,0.61,0.6128776978417266,0.79,0.8158992805755395,-21.883741007194246,wick_to_body_min
2.5,142,0.595,0.5987323943661972,0.79,0.8294366197183098,-20.26105633802817,wick_to_body_min
3.0,134,0.65,0.6550746268656716,0.765,0.8042537313432836,-16.669477611940298,wick_to_body_min
MIDPOINT_STOP,410,0.66,0.6625121951219513,0.78,0.8002926829268293,-20.145658536585366,entry_type
NEXT_OPEN,390,0.63,0.6366666666666667,0.78,0.7998461538461539,-23.179897435897434,entry_type
MICROSTRUCTURE_SAFE,259,0.66,0.6643243243243243,0.81,0.8288030888030888,-19.565019305019305,sl_model
WICK_EXTREME_1.5P,281,0.63,0.6247330960854093,0.8,0.8089323843416371,-23.000213523131674,sl_model
WICK_EXTREME_2.0P,260,0.65,0.6627692307692308,0.74,0.7618846153846154,-22.19030769230769,sl_model
FIXED_1.5R,262,0.6,0.5956488549618321,0.75,0.763854961832061,-23.529465648854963,target_model
FIXED_2.0R,271,0.64,0.6366420664206642,0.78,0.7895202952029521,-22.836826568265682,target_model
FIXED_2.5R,267,0.72,0.7166292134831461,0.81,0.8463295880149813,-18.525767790262172,target_model
1,273,0.69,0.694945054945055,0.85,0.8746520146520147,-12.613736263736264,max_trades_per_day
2,263,0.63,0.6354752851711026,0.77,0.7731939163498098,-23.132851711026614,max_trades_per_day
3,264,0.62,0.6177272727272728,0.74,0.7497348484848485,-29.440871212121213,max_trades_per_day
