config_id,level_type,session_window,wick_to_body_min,max_trades_per_day,entry_type,sl_model,target_model
V49_B3_0001,ASIA_HL,07:00-10:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0002,LONDON_HL,09:00-12:00,2.0,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0003,LONDON_HL,08:00-11:00,3.5,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0004,ASIA_HL,09:00-12:00,2.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0005,ASIA_HL,07:00-10:00,2.0,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0006,LONDON_HL,08:00-11:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0007,LONDON_HL,07:00-10:00,2.0,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0008,LONDON_HL,08:00-11:00,1.8,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0009,LONDON_HL,07:00-10:00,3.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0010,LONDON_HL,07:00-10:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0011,LONDON_HL,07:00-10:00,2.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0012,ASIA_HL,08:00-11:00,2.0,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0013,ASIA_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0014,ASIA_HL,09:00-12:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0015,LONDON_HL,07:00-10:00,2.2,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0016,ASIA_HL,09:00-12:00,3.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0017,LONDON_HL,07:00-10:00,3.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0018,ASIA_HL,07:00-10:00,2.0,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0019,ASIA_HL,08:00-11:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0020,LONDON_HL,08:00-11:00,2.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0021,ASIA_HL,08:00-11:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0022,LONDON_HL,08:00-11:00,1.5,3,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0023,LONDON_HL,09:00-12:00,3.5,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0024,ASIA_HL,07:00-10:00,3.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0025,ASIA_HL,07:00-10:00,1.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0026,ASIA_HL,08:00-11:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0027,ASIA_HL,07:00-10:00,2.0,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0028,LONDON_HL,09:00-12:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0029,ASIA_HL,07:00-10:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0030,ASIA_HL,07:00-10:00,2.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0031,ASIA_HL,07:00-10:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0032,ASIA_HL,08:00-11:00,2.0,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0033,ASIA_HL,08:00-11:00,3.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0034,ASIA_HL,07:00-10:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0035,ASIA_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0036,LONDON_HL,08:00-11:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0037,ASIA_HL,09:00-12:00,3.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0038,LONDON_HL,07:00-10:00,1.8,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0039,LONDON_HL,08:00-11:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0040,ASIA_HL,07:00-10:00,2.2,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0041,ASIA_HL,09:00-12:00,3.0,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0042,LONDON_HL,07:00-10:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0043,ASIA_HL,07:00-10:00,3.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0044,LONDON_HL,07:00-10:00,2.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0045,LONDON_HL,09:00-12:00,2.2,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0046,LONDON_HL,07:00-10:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0047,LONDON_HL,09:00-12:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0048,LONDON_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0049,ASIA_HL,07:00-10:00,3.5,2,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0050,LONDON_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0051,ASIA_HL,07:00-10:00,3.5,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0052,ASIA_HL,07:00-10:00,1.5,3,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0053,LONDON_HL,09:00-12:00,1.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0054,LONDON_HL,07:00-10:00,1.8,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0055,ASIA_HL,08:00-11:00,1.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_1.5R
V49_B3_0056,LONDON_HL,07:00-10:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0057,ASIA_HL,09:00-12:00,1.8,2,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_2.0R
V49_B3_0058,ASIA_HL,08:00-11:00,2.5,1,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0059,LONDON_HL,07:00-10:00,2.5,2,NEXT_OPEN,WICK_EXTREME_1.5P,FIXED_2.0R
V49_B3_0060,LONDON_HL,09:00-12:00,1.8,1,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_2.5R
V49_B3_0061,LONDON_HL,07:00-10:00,3.5,1,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0062,ASIA_HL,09:00-12:00,3.5,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0063,ASIA_HL,07:00-10:00,2.0,2,MIDPOINT_STOP,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0064,ASIA_HL,09:00-12:00,1.8,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
V49_B3_0065,LONDON_HL,07:00-10:00,3.5,1,MIDPOINT_STOP,WICK_EXTREME_1.5P,FIXED_2.5R
V49_B3_0066,LONDON_HL,07:00-10:00,2.2,3,NEXT_OPEN,WICK_EXTREME_2.0P,FIXED_1.5R
