config_id,phase,slippage,net_r
V49_B3_0001,TRAIN,0.2,-1.2222
V49_B3_0001,TRAIN,0.2,-1.2456
V49_B3_0001,TRAIN,0.2,-1.1111
V49_B3_0001,TRAIN,0.2,1.3889
V49_B3_0001,TRAIN,0.2,-1.1944
V49_B3_0001,TRAIN,0.2,1.2407
V49_B3_0001,TRAIN,0.2,-1.4667
V49_B3_0001,TRAIN,0.3,-1.254
V49_B3_0001,TRAIN,0.3,-1.2807
V49_B3_0001,TRAIN,0.3,-1.127
V49_B3_0001,TRAIN,0.3,1.373
V49_B3_0001,TRAIN,0.3,-1.2222
V49_B3_0001,TRAIN,0.3,1.2037
V49_B3_0001,TRAIN,0.3,-1.5333
V49_B3_0002,TRAIN,0.2,-1.0476
V49_B3_0002,TRAIN,0.2,2.3542
V49_B3_0002,TRAIN,0.2,-1.1795
V49_B3_0002,TRAIN,0.2,-1.1795
V49_B3_0002,TRAIN,0.2,-1.2121
V49_B3_0002,TRAIN,0.2,-1.359
V49_B3_0002,TRAIN,0.2,-1.5833
V49_B3_0002,TRAIN,0.2,2.2083
V49_B3_0002,TRAIN,0.2,2.0758
V49_B3_0002,TRAIN,0.2,2.0758
V49_B3_0002,TRAIN,0.2,-1.2222
V49_B3_0002,TRAIN,0.2,2.1667
V49_B3_0002,TRAIN,0.3,-1.0544
V49_B3_0002,TRAIN,0.3,2.3333
V49_B3_0002,TRAIN,0.3,-1.2051
V49_B3_0002,TRAIN,0.3,-1.2051
V49_B3_0002,TRAIN,0.3,-1.2424
V49_B3_0002,TRAIN,0.3,-1.4103
V49_B3_0002,TRAIN,0.3,-1.6667
V49_B3_0002,TRAIN,0.3,2.1667
V49_B3_0002,TRAIN,0.3,2.0152
V49_B3_0002,TRAIN,0.3,2.0152
V49_B3_0002,TRAIN,0.3,-1.254
V49_B3_0002,TRAIN,0.3,2.119
V49_B3_0003,TRAIN,0.2,-1.2121
V49_B3_0003,TRAIN,0.2,-1.5833
V49_B3_0003,TRAIN,0.2,-1.2222
V49_B3_0003,TRAIN,0.2,1.6667
V49_B3_0003,TRAIN,0.3,-1.2424
V49_B3_0003,TRAIN,0.3,-1.6667
V49_B3_0003,TRAIN,0.3,-1.254
V49_B3_0003,TRAIN,0.3,1.619
V49_B3_0004,TRAIN,0.2,-1.2917
V49_B3_0004,TRAIN,0.2,-1.2222
V49_B3_0004,TRAIN,0.2,-1.2917
V49_B3_0004,TRAIN,0.2,-1.1111
V49_B3_0004,TRAIN,0.2,-1.1795
V49_B3_0004,TRAIN,0.2,-1.2333
V49_B3_0004,TRAIN,0.2,1.7879
V49_B3_0004,TRAIN,0.2,1.6111
V49_B3_0004,TRAIN,0.2,1.5758
V49_B3_0004,TRAIN,0.2,-1.5833
V49_B3_0004,TRAIN,0.2,-1.4242
V49_B3_0004,TRAIN,0.2,-1.4667
V49_B3_0004,TRAIN,0.3,-1.3333
V49_B3_0004,TRAIN,0.3,-1.254
V49_B3_0004,TRAIN,0.3,-1.3333
V49_B3_0004,TRAIN,0.3,-1.127
V49_B3_0004,TRAIN,0.3,-1.2051
V49_B3_0004,TRAIN,0.3,-1.2667
V49_B3_0004,TRAIN,0.3,1.7576
V49_B3_0004,TRAIN,0.3,1.5556
V49_B3_0004,TRAIN,0.3,1.5152
V49_B3_0004,TRAIN,0.3,-1.6667
V49_B3_0004,TRAIN,0.3,-1.4848
V49_B3_0004,TRAIN,0.3,-1.5333
V49_B3_0005,TRAIN,0.2,-1.2222
V49_B3_0005,TRAIN,0.2,-1.1111
V49_B3_0005,TRAIN,0.2,1.8889
V49_B3_0005,TRAIN,0.2,-1.1944
V49_B3_0005,TRAIN,0.2,1.7407
V49_B3_0005,TRAIN,0.2,-1.4667
V49_B3_0005,TRAIN,0.3,-1.254
V49_B3_0005,TRAIN,0.3,-1.127
V49_B3_0005,TRAIN,0.3,1.873
V49_B3_0005,TRAIN,0.3,-1.2222
V49_B3_0005,TRAIN,0.3,1.7037
V49_B3_0005,TRAIN,0.3,-1.5333
V49_B3_0006,TRAIN,0.2,-1.0476
V49_B3_0006,TRAIN,0.2,1.3542
V49_B3_0006,TRAIN,0.2,1.3889
V49_B3_0006,TRAIN,0.2,-1.1795
V49_B3_0006,TRAIN,0.2,-1.2121
V49_B3_0006,TRAIN,0.2,1.141
V49_B3_0006,TRAIN,0.2,-1.5833
V49_B3_0006,TRAIN,0.2,-3.3333
V49_B3_0006,TRAIN,0.2,-1.2222
V49_B3_0006,TRAIN,0.2,-1.2222
V49_B3_0006,TRAIN,0.2,1.1667
V49_B3_0006,TRAIN,0.3,-1.0544
V49_B3_0006,TRAIN,0.3,1.3333
V49_B3_0006,TRAIN,0.3,1.373
V49_B3_0006,TRAIN,0.3,-1.2051
V49_B3_0006,TRAIN,0.3,-1.2424
V49_B3_0006,TRAIN,0.3,1.0897
V49_B3_0006,TRAIN,0.3,-1.6667
V49_B3_0006,TRAIN,0.3,-3.6667
V49_B3_0007,TRAIN,0.2,-1.0833
V49_B3_0007,TRAIN,0.2,2.3889
V49_B3_0007,TRAIN,0.2,-1.2222
V49_B3_0007,TRAIN,0.2,2.1667
V49_B3_0007,TRAIN,0.3,-1.0952
V49_B3_0007,TRAIN,0.3,2.373
V49_B3_0007,TRAIN,0.3,-1.254
V49_B3_0007,TRAIN,0.3,2.119
V49_B3_0008,TRAIN,0.2,-1.0476
V49_B3_0008,TRAIN,0.2,1.8542
V49_B3_0008,TRAIN,0.2,1.8889
V49_B3_0008,TRAIN,0.2,-1.2121
V49_B3_0008,TRAIN,0.2,-1.5833
V49_B3_0008,TRAIN,0.2,-1.2222
V49_B3_0008,TRAIN,0.2,-1.2222
V49_B3_0008,TRAIN,0.2,1.6667
V49_B3_0008,TRAIN,0.3,-1.0544
V49_B3_0008,TRAIN,0.3,1.8333
V49_B3_0008,TRAIN,0.3,1.873
V49_B3_0008,TRAIN,0.3,-1.2424
V49_B3_0008,TRAIN,0.3,-1.6667
V49_B3_0008,TRAIN,0.3,-1.254
V49_B3_0008,TRAIN,0.3,-1.254
V49_B3_0008,TRAIN,0.3,1.619
V49_B3_0009,TRAIN,0.2,-1.0833
V49_B3_0009,TRAIN,0.2,-1.2222
V49_B3_0009,TRAIN,0.2,2.1667
V49_B3_0009,TRAIN,0.3,-1.0952
V49_B3_0009,TRAIN,0.3,-1.254
V49_B3_0009,TRAIN,0.3,2.119
V49_B3_0010,TRAIN,0.2,-1.0833
V49_B3_0010,TRAIN,0.2,1.3889
V49_B3_0010,TRAIN,0.2,-1.2222
V49_B3_0010,TRAIN,0.2,1.1667
V49_B3_0010,TRAIN,0.3,-1.0952
V49_B3_0010,TRAIN,0.3,1.373
V49_B3_0010,TRAIN,0.3,-1.254
V49_B3_0010,TRAIN,0.3,1.119
V49_B3_0011,TRAIN,0.2,-1.0833
V49_B3_0011,TRAIN,0.2,2.3889
V49_B3_0011,TRAIN,0.2,-1.2222
V49_B3_0011,TRAIN,0.2,2.1667
V49_B3_0011,TRAIN,0.3,-1.0952
V49_B3_0011,TRAIN,0.3,2.373
V49_B3_0011,TRAIN,0.3,-1.254
V49_B3_0011,TRAIN,0.3,2.119
V49_B3_0012,TRAIN,0.2,-1.2222
V49_B3_0012,TRAIN,0.2,-1.1111
V49_B3_0012,TRAIN,0.2,1.8889
V49_B3_0012,TRAIN,0.2,-1.1795
V49_B3_0012,TRAIN,0.2,-1.2333
V49_B3_0012,TRAIN,0.2,1.7879
V49_B3_0012,TRAIN,0.2,1.6111
V49_B3_0012,TRAIN,0.2,-1.4667
V49_B3_0012,TRAIN,0.3,-1.254
V49_B3_0012,TRAIN,0.3,-1.127
V49_B3_0012,TRAIN,0.3,1.873
V49_B3_0012,TRAIN,0.3,-1.2051
V49_B3_0012,TRAIN,0.3,-1.2667
V49_B3_0012,TRAIN,0.3,1.7576
V49_B3_0012,TRAIN,0.3,1.5556
V49_B3_0012,TRAIN,0.3,-1.5333
V49_B3_0013,TRAIN,0.2,-1.2222
V49_B3_0013,TRAIN,0.2,-1.1111
