family_id,config_id,sl_pips,tp_ratio,risk_per_trade
F08,F08_V50B_0001,15,2.0,0.01
F08,F08_V50B_0002,30,2.0,0.01
F08,F08_V50B_0003,30,2.0,0.01
F08,F08_V50B_0004,15,1.5,0.01
F08,F08_V50B_0005,20,2.0,0.01
F08,F08_V50B_0006,25,2.5,0.01
F08,F08_V50B_0007,25,2.5,0.01
F08,F08_V50B_0008,25,2.0,0.01
F08,F08_V50B_0009,15,2.0,0.01
F08,F08_V50B_0010,25,2.5,0.01
F08,F08_V50B_0011,25,2.0,0.01
F08,F08_V50B_0012,20,2.5,0.01
F08,F08_V50B_0013,30,2.0,0.01
F08,F08_V50B_0014,20,2.0,0.01
F08,F08_V50B_0015,25,2.0,0.01
F08,F08_V50B_0016,25,2.5,0.01
F08,F08_V50B_0017,30,2.5,0.01
F08,F08_V50B_0018,30,2.5,0.01
F08,F08_V50B_0019,30,2.5,0.01
F08,F08_V50B_0020,25,2.0,0.01
F08,F08_V50B_0021,25,2.5,0.01
F08,F08_V50B_0022,15,1.5,0.01
F08,F08_V50B_0023,15,1.5,0.01
F08,F08_V50B_0024,20,2.5,0.01
F08,F08_V50B_0025,15,2.0,0.01
F08,F08_V50B_0026,30,2.5,0.01
F08,F08_V50B_0027,20,1.5,0.01
F08,F08_V50B_0028,20,2.5,0.01
F08,F08_V50B_0029,25,2.5,0.01
F08,F08_V50B_0030,30,2.0,0.01
F08,F08_V50B_0031,15,2.5,0.01
F08,F08_V50B_0032,30,2.0,0.01
F08,F08_V50B_0033,25,2.5,0.01
F08,F08_V50B_0034,15,2.0,0.01
F08,F08_V50B_0035,15,1.5,0.01
F08,F08_V50B_0036,15,2.5,0.01
F08,F08_V50B_0037,20,2.0,0.01
F08,F08_V50B_0038,30,2.0,0.01
F08,F08_V50B_0039,15,2.0,0.01
F08,F08_V50B_0040,15,2.5,0.01
F08,F08_V50B_0041,15,1.5,0.01
F08,F08_V50B_0042,15,2.5,0.01
F08,F08_V50B_0043,15,2.0,0.01
F08,F08_V50B_0044,30,1.5,0.01
F08,F08_V50B_0045,30,2.0,0.01
F08,F08_V50B_0046,30,1.5,0.01
F08,F08_V50B_0047,30,2.5,0.01
F08,F08_V50B_0048,25,2.5,0.01
F08,F08_V50B_0049,20,2.5,0.01
F08,F08_V50B_0050,15,2.0,0.01
F08,F08_V50B_0051,20,2.5,0.01
F08,F08_V50B_0052,25,2.0,0.01
F08,F08_V50B_0053,15,2.5,0.01
F08,F08_V50B_0054,15,1.5,0.01
F08,F08_V50B_0055,15,1.5,0.01
F08,F08_V50B_0056,20,2.0,0.01
F08,F08_V50B_0057,25,2.5,0.01
F08,F08_V50B_0058,20,2.5,0.01
F08,F08_V50B_0059,25,1.5,0.01
F08,F08_V50B_0060,20,1.5,0.01
F08,F08_V50B_0061,30,2.0,0.01
F08,F08_V50B_0062,20,2.5,0.01
F08,F08_V50B_0063,25,2.5,0.01
F08,F08_V50B_0064,30,1.5,0.01
F08,F08_V50B_0065,20,1.5,0.01
F08,F08_V50B_0066,30,2.5,0.01
F08,F08_V50B_0067,15,2.5,0.01
F08,F08_V50B_0068,25,1.5,0.01
F08,F08_V50B_0069,20,1.5,0.01
F08,F08_V50B_0070,30,2.5,0.01
F08,F08_V50B_0071,30,2.0,0.01
F08,F08_V50B_0072,30,2.0,0.01
F08,F08_V50B_0073,30,2.5,0.01
F08,F08_V50B_0074,25,2.0,0.01
F08,F08_V50B_0075,30,2.0,0.01
F08,F08_V50B_0076,15,2.5,0.01
F08,F08_V50B_0077,25,2.5,0.01
F08,F08_V50B_0078,15,2.5,0.01
F08,F08_V50B_0079,30,2.0,0.01
F08,F08_V50B_0080,25,2.5,0.01
F08,F08_V50B_0081,30,1.5,0.01
F08,F08_V50B_0082,20,2.0,0.01
F08,F08_V50B_0083,25,2.0,0.01
F08,F08_V50B_0084,15,2.0,0.01
F08,F08_V50B_0085,25,1.5,0.01
F08,F08_V50B_0086,25,2.5,0.01
F08,F08_V50B_0087,15,2.5,0.01
F08,F08_V50B_0088,20,2.5,0.01
F08,F08_V50B_0089,30,2.5,0.01
F08,F08_V50B_0090,30,2.0,0.01
F08,F08_V50B_0091,15,2.5,0.01
F08,F08_V50B_0092,15,2.0,0.01
F08,F08_V50B_0093,25,2.5,0.01
F08,F08_V50B_0094,30,2.5,0.01
F08,F08_V50B_0095,20,1.5,0.01
F08,F08_V50B_0096,15,1.5,0.01
F08,F08_V50B_0097,20,2.0,0.01
F08,F08_V50B_0098,15,2.0,0.01
F08,F08_V50B_0099,25,1.5,0.01
F08,F08_V50B_0100,30,2.0,0.01
F08,F08_V50B_0101,20,2.5,0.01
F08,F08_V50B_0102,20,2.5,0.01
F08,F08_V50B_0103,15,1.5,0.01
F08,F08_V50B_0104,25,2.0,0.01
F08,F08_V50B_0105,30,1.5,0.01
F08,F08_V50B_0106,25,1.5,0.01
F08,F08_V50B_0107,30,2.0,0.01
F08,F08_V50B_0108,15,2.0,0.01
F08,F08_V50B_0109,15,1.5,0.01
F08,F08_V50B_0110,20,2.5,0.01
F08,F08_V50B_0111,25,1.5,0.01
F08,F08_V50B_0112,25,2.5,0.01
F08,F08_V50B_0113,25,2.5,0.01
F08,F08_V50B_0114,25,1.5,0.01
F08,F08_V50B_0115,15,2.0,0.01
F08,F08_V50B_0116,20,1.5,0.01
F08,F08_V50B_0117,20,1.5,0.01
F08,F08_V50B_0118,30,2.5,0.01
F08,F08_V50B_0119,30,2.5,0.01
F08,F08_V50B_0120,15,2.0,0.01
F08,F08_V50B_0121,20,2.0,0.01
F08,F08_V50B_0122,15,2.5,0.01
F08,F08_V50B_0123,20,2.0,0.01
F08,F08_V50B_0124,25,2.0,0.01
F08,F08_V50B_0125,25,2.5,0.01
F08,F08_V50B_0126,25,2.5,0.01
F08,F08_V50B_0127,15,1.5,0.01
F08,F08_V50B_0128,15,2.0,0.01
F08,F08_V50B_0129,30,2.0,0.01
F08,F08_V50B_0130,30,1.5,0.01
F08,F08_V50B_0131,20,1.5,0.01
F08,F08_V50B_0132,15,2.5,0.01
F08,F08_V50B_0133,25,2.5,0.01
F08,F08_V50B_0134,30,2.5,0.01
F08,F08_V50B_0135,25,2.0,0.01
F08,F08_V50B_0136,20,2.5,0.01
F08,F08_V50B_0137,15,1.5,0.01
F08,F08_V50B_0138,15,2.0,0.01
F08,F08_V50B_0139,15,2.5,0.01
F08,F08_V50B_0140,30,2.5,0.01
F08,F08_V50B_0141,20,2.5,0.01
F08,F08_V50B_0142,15,1.5,0.01
F08,F08_V50B_0143,20,2.0,0.01
F08,F08_V50B_0144,15,2.0,0.01
F08,F08_V50B_0145,15,2.0,0.01
F08,F08_V50B_0146,15,2.5,0.01
F08,F08_V50B_0147,30,2.0,0.01
F08,F08_V50B_0148,25,1.5,0.01
F08,F08_V50B_0149,15,2.0,0.01
F08,F08_V50B_0150,15,1.5,0.01
