family_id,config_id,phase,pnl_net_r,entry_time
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,TRAIN,-1,2022-05-01
F01,F01_V50B_0001,TRAIN,2,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,2,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,2,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,2,2022-05-01
F01,F01_V50B_0001,VAL,2,2022-05-01
F01,F01_V50B_0001,VAL,-1,2022-05-01
F01,F01_V50B_0001,VAL,2,2022-05-01
F01,F01_V50B_0002,TRAIN,2,2022-05-01
F01,F01_V50B_0002,TRAIN,-1,2022-05-01
F01,F01_V50B_0002,TRAIN,-1,2022-05-01
F01,F01_V50B_0002,TRAIN,-1,2022-05-01
