family_id,config_id,timeframe,ema_fast,ema_slow,trend_slope_min,pullback_depth,stop_swing_lookback,target_r,session_window
F08,F08_LIM_0001,15m,9,50,0.0002,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0002,15m,9,100,0.0001,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0003,15m,9,50,0.0002,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0004,15m,9,50,0.0001,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0005,15m,21,50,0.0001,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0006,15m,9,100,0.0001,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0007,15m,9,100,0.0001,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0008,15m,21,50,0.0002,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0009,15m,21,100,0.0002,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0010,15m,9,50,0.0002,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0011,15m,21,50,0.0001,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0012,15m,9,100,0.0002,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0013,15m,9,50,0.0002,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0014,15m,9,50,0.0002,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0015,15m,21,100,0.0002,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0016,15m,21,100,0.0002,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0017,15m,21,100,0.0002,0.5,5,3.0,08:00-11:00
F08,F08_LIM_0018,15m,9,100,0.0002,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0019,15m,21,50,0.0002,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0020,15m,9,100,0.0002,0.3,5,3.0,08:00-11:00
F08,F08_LIM_0021,15m,9,100,0.0001,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0022,15m,21,100,0.0002,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0023,15m,9,100,0.0002,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0024,15m,21,50,0.0002,0.3,5,3.0,08:00-11:00
F08,F08_LIM_0025,15m,21,50,0.0001,0.3,5,3.0,08:00-11:00
F08,F08_LIM_0026,15m,9,100,0.0002,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0027,15m,21,50,0.0001,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0028,15m,9,100,0.0001,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0029,15m,21,100,0.0002,0.5,5,3.0,08:00-11:00
F08,F08_LIM_0030,15m,21,50,0.0002,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0031,15m,21,100,0.0001,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0032,15m,21,100,0.0002,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0033,15m,9,50,0.0001,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0034,15m,21,50,0.0001,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0035,15m,21,50,0.0002,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0036,15m,21,100,0.0001,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0037,15m,21,100,0.0001,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0038,15m,21,100,0.0002,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0039,15m,9,100,0.0001,0.3,5,3.0,08:00-11:00
F08,F08_LIM_0040,15m,9,50,0.0002,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0041,15m,9,50,0.0001,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0042,15m,9,50,0.0001,0.3,10,3.0,08:00-11:00
F08,F08_LIM_0043,15m,9,50,0.0001,0.5,10,3.0,08:00-11:00
F08,F08_LIM_0044,15m,9,100,0.0001,0.5,5,3.0,08:00-11:00
F08,F08_LIM_0045,15m,21,100,0.0001,0.5,5,3.0,08:00-11:00
F08,F08_LIM_0046,15m,21,50,0.0001,0.5,10,2.0,08:00-11:00
F08,F08_LIM_0047,15m,21,50,0.0001,0.5,5,2.0,08:00-11:00
F08,F08_LIM_0048,15m,21,50,0.0002,0.3,5,2.0,08:00-11:00
F08,F08_LIM_0049,15m,9,50,0.0001,0.3,10,2.0,08:00-11:00
F08,F08_LIM_0050,15m,21,50,0.0001,0.5,10,3.0,08:00-11:00
