family_id,config_id,timeframe,rsi_period,rsi_oversold,rsi_overbought,news_blackout_mins,safe_window_delay,target_r,session_window
F12,F12_LIM_0001,5m,7,35,65,60,30,1.5,09:00-12:00
F12,F12_LIM_0002,5m,14,30,70,60,15,2.0,09:00-12:00
F12,F12_LIM_0003,5m,7,35,65,30,15,2.5,09:00-12:00
F12,F12_LIM_0004,5m,14,35,75,60,30,2.0,09:00-12:00
F12,F12_LIM_0005,5m,14,35,65,30,30,1.5,09:00-12:00
F12,F12_LIM_0006,5m,7,25,75,30,15,2.5,09:00-12:00
F12,F12_LIM_0007,5m,14,25,70,30,15,1.5,09:00-12:00
F12,F12_LIM_0008,5m,7,30,70,30,30,1.5,09:00-12:00
F12,F12_LIM_0009,5m,7,35,65,60,15,2.5,09:00-12:00
F12,F12_LIM_0010,5m,7,30,75,30,30,1.5,09:00-12:00
F12,F12_LIM_0011,5m,7,30,70,30,15,2.5,09:00-12:00
F12,F12_LIM_0012,5m,14,25,65,60,30,2.5,09:00-12:00
F12,F12_LIM_0013,5m,7,35,75,60,15,1.5,09:00-12:00
F12,F12_LIM_0014,5m,14,30,65,60,15,2.5,09:00-12:00
F12,F12_LIM_0015,5m,7,30,75,30,15,2.5,09:00-12:00
F12,F12_LIM_0016,5m,7,25,70,60,15,2.0,09:00-12:00
F12,F12_LIM_0017,5m,14,25,65,60,15,2.5,09:00-12:00
F12,F12_LIM_0018,5m,14,30,65,30,30,2.0,09:00-12:00
F12,F12_LIM_0019,5m,14,35,65,30,15,2.0,09:00-12:00
F12,F12_LIM_0020,5m,7,30,70,60,30,2.5,09:00-12:00
F12,F12_LIM_0021,5m,7,35,75,60,30,2.5,09:00-12:00
F12,F12_LIM_0022,5m,7,30,75,30,15,1.5,09:00-12:00
F12,F12_LIM_0023,5m,7,25,70,30,15,1.5,09:00-12:00
F12,F12_LIM_0024,5m,7,25,75,30,30,1.5,09:00-12:00
F12,F12_LIM_0025,5m,7,25,70,30,15,2.0,09:00-12:00
F12,F12_LIM_0026,5m,14,30,70,30,30,2.5,09:00-12:00
F12,F12_LIM_0027,5m,14,30,75,60,15,2.5,09:00-12:00
F12,F12_LIM_0028,5m,7,30,65,30,15,1.5,09:00-12:00
F12,F12_LIM_0029,5m,7,30,65,30,30,2.5,09:00-12:00
F12,F12_LIM_0030,5m,7,35,75,30,15,1.5,09:00-12:00
F12,F12_LIM_0031,5m,7,25,75,30,30,1.5,09:00-12:00
F12,F12_LIM_0032,5m,14,25,70,30,30,2.5,09:00-12:00
F12,F12_LIM_0033,5m,14,30,75,30,15,2.0,09:00-12:00
F12,F12_LIM_0034,5m,7,25,70,60,15,2.5,09:00-12:00
F12,F12_LIM_0035,5m,7,35,65,60,15,2.5,09:00-12:00
F12,F12_LIM_0036,5m,14,35,75,60,15,2.5,09:00-12:00
F12,F12_LIM_0037,5m,14,35,70,30,30,2.5,09:00-12:00
F12,F12_LIM_0038,5m,7,30,75,60,15,1.5,09:00-12:00
F12,F12_LIM_0039,5m,7,25,70,60,15,2.5,09:00-12:00
F12,F12_LIM_0040,5m,14,35,70,30,15,2.0,09:00-12:00
F12,F12_LIM_0041,5m,7,25,70,30,30,1.5,09:00-12:00
F12,F12_LIM_0042,5m,7,30,65,60,15,2.5,09:00-12:00
F12,F12_LIM_0043,5m,7,35,75,30,15,1.5,09:00-12:00
F12,F12_LIM_0044,5m,14,25,70,60,30,2.5,09:00-12:00
F12,F12_LIM_0045,5m,14,25,65,60,15,2.0,09:00-12:00
F12,F12_LIM_0046,5m,7,30,65,30,30,1.5,09:00-12:00
F12,F12_LIM_0047,5m,7,35,70,30,30,2.5,09:00-12:00
F12,F12_LIM_0048,5m,7,30,65,30,30,2.5,09:00-12:00
F12,F12_LIM_0049,5m,14,35,65,60,30,2.5,09:00-12:00
F12,F12_LIM_0050,5m,14,25,75,60,30,2.0,09:00-12:00
