family_id,config_id,parameters
F08,F08_RERUN_0001,"{'session_window': 'NY_MORNING', 'trend_ma': 20, 'entry_buffer': 0.1, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0002,"{'session_window': 'NY_MORNING', 'trend_ma': 23, 'entry_buffer': 0.11836734693877551, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0003,"{'session_window': 'NY_MORNING', 'trend_ma': 27, 'entry_buffer': 0.13673469387755102, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0004,"{'session_window': 'NY_MORNING', 'trend_ma': 31, 'entry_buffer': 0.15510204081632656, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0005,"{'session_window': 'NY_MORNING', 'trend_ma': 34, 'entry_buffer': 0.17346938775510207, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0006,"{'session_window': 'NY_MORNING', 'trend_ma': 38, 'entry_buffer': 0.19183673469387758, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0007,"{'session_window': 'NY_MORNING', 'trend_ma': 42, 'entry_buffer': 0.21020408163265308, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0008,"{'session_window': 'NY_MORNING', 'trend_ma': 45, 'entry_buffer': 0.2285714285714286, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0009,"{'session_window': 'NY_MORNING', 'trend_ma': 49, 'entry_buffer': 0.2469387755102041, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0010,"{'session_window': 'NY_MORNING', 'trend_ma': 53, 'entry_buffer': 0.2653061224489796, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0011,"{'session_window': 'NY_MORNING', 'trend_ma': 56, 'entry_buffer': 0.2836734693877551, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0012,"{'session_window': 'NY_MORNING', 'trend_ma': 60, 'entry_buffer': 0.3020408163265306, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0013,"{'session_window': 'NY_MORNING', 'trend_ma': 64, 'entry_buffer': 0.3204081632653062, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0014,"{'session_window': 'NY_MORNING', 'trend_ma': 67, 'entry_buffer': 0.3387755102040817, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0015,"{'session_window': 'NY_MORNING', 'trend_ma': 71, 'entry_buffer': 0.3571428571428572, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0016,"{'session_window': 'NY_MORNING', 'trend_ma': 75, 'entry_buffer': 0.3755102040816327, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0017,"{'session_window': 'NY_MORNING', 'trend_ma': 78, 'entry_buffer': 0.3938775510204082, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0018,"{'session_window': 'NY_MORNING', 'trend_ma': 82, 'entry_buffer': 0.41224489795918373, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0019,"{'session_window': 'NY_MORNING', 'trend_ma': 86, 'entry_buffer': 0.43061224489795924, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0020,"{'session_window': 'NY_MORNING', 'trend_ma': 89, 'entry_buffer': 0.44897959183673475, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0021,"{'session_window': 'NY_MORNING', 'trend_ma': 93, 'entry_buffer': 0.46734693877551026, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0022,"{'session_window': 'NY_MORNING', 'trend_ma': 97, 'entry_buffer': 0.48571428571428577, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0023,"{'session_window': 'NY_MORNING', 'trend_ma': 100, 'entry_buffer': 0.5040816326530613, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0024,"{'session_window': 'NY_MORNING', 'trend_ma': 104, 'entry_buffer': 0.5224489795918368, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0025,"{'session_window': 'NY_MORNING', 'trend_ma': 108, 'entry_buffer': 0.5408163265306123, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0026,"{'session_window': 'NY_MORNING', 'trend_ma': 111, 'entry_buffer': 0.5591836734693878, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0027,"{'session_window': 'NY_MORNING', 'trend_ma': 115, 'entry_buffer': 0.5775510204081633, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0028,"{'session_window': 'NY_MORNING', 'trend_ma': 119, 'entry_buffer': 0.5959183673469388, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0029,"{'session_window': 'NY_MORNING', 'trend_ma': 122, 'entry_buffer': 0.6142857142857143, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0030,"{'session_window': 'NY_MORNING', 'trend_ma': 126, 'entry_buffer': 0.6326530612244898, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0031,"{'session_window': 'NY_MORNING', 'trend_ma': 130, 'entry_buffer': 0.6510204081632653, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0032,"{'session_window': 'NY_MORNING', 'trend_ma': 133, 'entry_buffer': 0.6693877551020408, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0033,"{'session_window': 'NY_MORNING', 'trend_ma': 137, 'entry_buffer': 0.6877551020408164, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0034,"{'session_window': 'NY_MORNING', 'trend_ma': 141, 'entry_buffer': 0.7061224489795919, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0035,"{'session_window': 'NY_MORNING', 'trend_ma': 144, 'entry_buffer': 0.7244897959183674, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0036,"{'session_window': 'NY_MORNING', 'trend_ma': 148, 'entry_buffer': 0.7428571428571429, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0037,"{'session_window': 'NY_MORNING', 'trend_ma': 152, 'entry_buffer': 0.7612244897959184, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0038,"{'session_window': 'NY_MORNING', 'trend_ma': 155, 'entry_buffer': 0.7795918367346939, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0039,"{'session_window': 'NY_MORNING', 'trend_ma': 159, 'entry_buffer': 0.7979591836734694, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0040,"{'session_window': 'NY_MORNING', 'trend_ma': 163, 'entry_buffer': 0.8163265306122449, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0041,"{'session_window': 'NY_MORNING', 'trend_ma': 166, 'entry_buffer': 0.8346938775510204, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0042,"{'session_window': 'NY_MORNING', 'trend_ma': 170, 'entry_buffer': 0.8530612244897959, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0043,"{'session_window': 'NY_MORNING', 'trend_ma': 174, 'entry_buffer': 0.8714285714285714, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0044,"{'session_window': 'NY_MORNING', 'trend_ma': 177, 'entry_buffer': 0.889795918367347, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0045,"{'session_window': 'NY_MORNING', 'trend_ma': 181, 'entry_buffer': 0.9081632653061225, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0046,"{'session_window': 'NY_MORNING', 'trend_ma': 185, 'entry_buffer': 0.926530612244898, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0047,"{'session_window': 'NY_MORNING', 'trend_ma': 188, 'entry_buffer': 0.9448979591836735, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0048,"{'session_window': 'NY_MORNING', 'trend_ma': 192, 'entry_buffer': 0.963265306122449, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0049,"{'session_window': 'NY_MORNING', 'trend_ma': 196, 'entry_buffer': 0.9816326530612246, 'tp_pips': 20, 'sl_pips': 15}"
F08,F08_RERUN_0050,"{'session_window': 'NY_MORNING', 'trend_ma': 200, 'entry_buffer': 1.0, 'tp_pips': 20, 'sl_pips': 15}"
