"Item","Path","Size","Hash","LastModified"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\1.png","328039","0ECDD3FA9D4187526E5C86E20BC8BA0C200BF569AA1514BF071B4510565BFC7C","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\2.png","264138","D094360C06CCF99CCA313F193A931F0BAC80D3F9884A1E370FF3C305596CF371","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\3.png","581403","47BD23935DF326FFDFABCE759AE6DA5788E3D48371368374B0A08AC0395E5B41","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\4.png","411517","A76035ACA536B56AA224809FFF10A644E6557D535606E02F72BB211BC8741C86","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\5.png","465901","EF2357E2B1DEF5E51C4F6F6BCA8ADCF6C6BEBB45B0846A4D8659E5B8E4DCB63A","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\6.png","392622","6732BB9B3C35D8E1DE3A9C3DB774BEC65BD9E8C505699E075837D2AB35EEC273","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\7.png","338399","31E36BAB347CB7293716AE8D6D8F64249E145254123D7851874E6EF2D9C83078","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\analytics (1).csv","143914","689518ED4865C2A8AF83B90E70628810EFD4839FB165ED1435F6E8CF73DC3522","15/5/2026 10:26:25"
"DATA MANUAL","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\DATA MANUAL\desktop.ini","62","2CB6FDCB68F6DE4042362E33078E2C614B5CB28F8F73ACBF9BC422D6DA8B1EBA","15/5/2026 10:26:25"
"data_usdjpy_2016_2019","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2019\prepared\prepared_data_manifest.json","4742","C51726AC36347C4D67C872F33CECBE7DAB8DA57F419CCA0FED1A79E569A30AF3","15/5/2026 10:26:26"
"data_usdjpy_2016_2019","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2019\prepared\USDJPY_H1.csv","1920196","CC8CF2FFB05CD50B8E2452AB8BA8620CE8FEFF47E7B037234A9C2FB69A4A201B","15/5/2026 10:26:25"
"data_usdjpy_2016_2019","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2019\prepared\USDJPY_M15.csv","7698868","FF88F42F3AC470E55E326B479DB042B10D21184885AD2C8B9B471BE4134137C1","15/5/2026 10:26:25"
"data_usdjpy_2016_2019","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2019\prepared\USDJPY_M5.csv","23011116","4154F76F15CD0B9E18CE45DE17BC2F4BA6E0CBB6BE853161F77F2297D86DFA3C","15/5/2026 10:26:26"
"data_usdjpy_2016_2021","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2021\prepared\prepared_data_manifest.json","510","38F32FA45DF0172BA11E50335716C974A81F1992F2F75759A375D2E18C8647A3","15/5/2026 10:26:26"
"data_usdjpy_2016_2021","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2021\prepared\USDJPY_H1.csv","2884018","2CCDB5543872E353FCC3CA09198C867AC0C8EAF12047253E7C5FD9C80E54AF0A","15/5/2026 10:26:26"
"data_usdjpy_2016_2021","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2021\prepared\USDJPY_M15.csv","11553736","6ECD716AD0909FFA79F7593AC506E97D511E4F79ED0C6AC03BF817A39AF0737A","15/5/2026 10:26:26"
"data_usdjpy_2016_2021","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2016_2021\prepared\USDJPY_M5.csv","34531567","E5E033810386330AAE26322780F9CB50D1D2C0C34C898178E92B596DC8938B2E","15/5/2026 10:26:26"
"data_usdjpy_2022_2025","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2022_2025\prepared\prepared_data_manifest.json","3103","91D567BD73EC97E5FB5FD691631AFBDC2CFB21B1359F098DA1EF0362FC2FFEC6","15/5/2026 10:26:26"
"data_usdjpy_2022_2025","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2022_2025\prepared\USDJPY_H1.csv","1924707","3EFCDC8906F3CA8A434C9BFF5E678B6EF6A7EA428204334008F81CCA67B09C1D","15/5/2026 10:26:26"
"data_usdjpy_2022_2025","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2022_2025\prepared\USDJPY_M15.csv","7688767","5D4233747895445AB16BB98E11097986126A525CAFEA747C1BB66E768D942036","15/5/2026 10:26:26"
"data_usdjpy_2022_2025","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\data_usdjpy_2022_2025\prepared\USDJPY_M5.csv","23052540","6525A6EA2BB9D5BB8AB951AEBCD7D8B7102DF426FED7386E949E4CC6A0FF7A4A","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\equity_curve.csv","7235224","C35115D1345EE6489D674006BE0D36EEBD80F99738821B5ACAB22EEAF61963C9","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\monthly_stats.csv","1587","84CF9EDC8117E58B2D24C851923DABECF594145084ADD31997374EDE443AB8EA","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\signal_log.csv","17744","A3738DACC4FE02C3870997E37770B4C20CA53A4C8297DF0CE01849AC0B39BBEB","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\summary.json","980","407FB596D11FE9B66E84063C5D13A9BEE66B4C927148E2B5D28431B2E6C10993","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\trades.csv","33096","261C4B8C70A63FFA9F2DF6E6AF98C2F78E74DC80542D4F7A5608F4CF46AC5044","15/5/2026 10:26:26"
"ecb_stage2_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\ecb_stage2_checkpoints\stage2_2020\yearly_stats.csv","245","1FEF9621311F23DD3C6922212587FCFC3A0C446F7EFEDC6BABAAF6E625DD597C","15/5/2026 10:26:26"
"scbi_2020_2025_durability_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_2020_2025_durability_checkpoints\checkpoint_00250.json","362","EEFD5D60A94298A2A87B4013704AE351F617C6AD5C9CC11AF2A050BE20B296A1","15/5/2026 10:27:30"
"scbi_2020_2025_durability_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_2020_2025_durability_checkpoints\checkpoint_02000.json","369","9E2D13A452E5A2D774D60DA447F49F516CFAE66F43562D3E84FDDACF7051F968","15/5/2026 10:27:30"
"scbi_2020_2025_durability_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_2020_2025_durability_checkpoints\checkpoint_07500.json","370","B210D3AE050A237EA87C1BC3F93979E20D8926436C3F0001A4DF797D8CA064DA","15/5/2026 10:27:30"
"scbi_2020_2025_durability_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_2020_2025_durability_checkpoints\checkpoint_08750.json","372","8851CE0C3B6BD251D414F304E6725E91A443297E0B0C71D533241F4E5C09A9FE","15/5/2026 10:27:30"
"scbi_2020_2025_durability_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_2020_2025_durability_checkpoints\checkpoint_12176.json","375","FC0C137D002BDC3238370C576401C771E44A4B7CB5E761C4E125DC4F010B2525","15/5/2026 10:27:30"
"scbi_global_validation_checkpoints","C:\Users\alera\Desktop\Bot\BOT DE TRADING ultimo\scbi_global_validation_checkpoints\final_checkpoint.json","2039","A0FB1497F148340367D6B8440DF8C7FD71F898B4109CAA42B276BF7F2DA51FE3","15/5/2026 10:27:30"
