path,size_mb,tracked_status,should_be_in_git,action
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\BACKTESTS_AM_S1_S20\S01_ORB\bot2_v2_s01_orb_v1.json,329.56,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\certification_2015_2019\masks\EURUSD_M3_DATA_QUALITY_MASK_2015_2019.csv,17.22,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\certified_m3\EURUSD_M3_ASK_2020_2026.csv,50.64,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\certified_m3\EURUSD_M3_BID_2020_2026.csv,50.64,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\certified_m3\EURUSD_M3_SPREAD_2020_2026.csv,78.12,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m1_certified_candidate\2015\EURUSD_M1_2015.csv,56.78,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m1_certified_candidate\2016\EURUSD_M1_2016.csv,57.13,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m1_certified_candidate\2017\EURUSD_M1_2017.csv,56.9,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m1_certified_candidate\2018\EURUSD_M1_2018.csv,57.03,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m1_certified_candidate\2019\EURUSD_M1_2019.csv,56.92,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m3_from_m1\2015\EURUSD_M3_2015.csv,10.69,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m3_from_m1\2016\EURUSD_M3_2016.csv,10.72,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m3_from_m1\2017\EURUSD_M3_2017.csv,10.69,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m3_from_m1\2018\EURUSD_M3_2018.csv,10.7,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\processed_2015_2019\eurusd_m3_from_m1\2019\EURUSD_M3_2019.csv,10.7,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\data\ticks\tick_export_2015_11_UTC.csv,286.74,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\outputs\same_name_zip_rebuild\quarantine\000_PARA_CHATGPT.previous_phase26b.zipbak,189.84,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\outputs\same_name_zip_rebuild\quarantine\000_PARA_CHATGPT.zipbak,189.84,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\venv_v37\Lib\site-packages\numpy.libs\libscipy_openblas64_-63c857e738469261263c764a36be9436.dll,19.47,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\venv_v37\Lib\site-packages\pyarrow\arrow.dll,21.1,Unknown,NO,Exclude
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\venv_v37\Lib\site-packages\pyarrow\arrow_flight.dll,12.92,Unknown,NO,Exclude
03_RESEARCH_LAB\reports\reports_legacy\canonical_context_master_20260416_163108\results\20260416_145640_pm_micro_reclaim_m3\pm_micro_reclaim_m3\equity_curve.csv,32.59,Unknown,NO,Exclude
03_RESEARCH_LAB\reports\reports_legacy\canonical_forensic_next_step_20260416_160901\results\pm_micro_reclaim_m3\20260416_145640_pm_micro_reclaim_m3\pm_micro_reclaim_m3\equity_curve.csv,32.59,Unknown,NO,Exclude
03_RESEARCH_LAB\reports\reports_legacy\canonical_microstructure_iter2_20260416_172155\results\20260416_145640_pm_micro_reclaim_m3\pm_micro_reclaim_m3\equity_curve.csv,32.59,Unknown,NO,Exclude
03_RESEARCH_LAB\reports\reports_legacy\canonical_microstructure_iter2_20260416_172155\results\20260416_161425_pm_micro_reclaim_m3\pm_micro_reclaim_m3\equity_curve.csv,40.69,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\backups\EURUSD_ticks_2025_01_PRE_GAP2316_PATCH.parquet,38.85,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_01.parquet,36.86,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_02.parquet,29.21,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_03.parquet,41.28,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_04.parquet,41.84,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_05.parquet,37.85,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_06.parquet,41.17,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_07.parquet,37.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_08.parquet,34.23,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_09.parquet,35.63,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_10.parquet,33.29,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_11.parquet,32.08,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2015_12.parquet,34.46,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_01.parquet,37.34,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_02.parquet,52.54,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_03.parquet,47.59,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_04.parquet,32.65,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_05.parquet,32.75,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_06.parquet,37.41,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_07.parquet,69.03,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_08.parquet,120.5,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_09.parquet,141.81,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_10.parquet,92.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_11.parquet,40.26,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2016_12.parquet,34.36,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_01.parquet,38.53,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_02.parquet,30.91,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_03.parquet,34.72,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_04.parquet,23.83,Unknown,NO,Exclude
05_MARKET_DATA_VAULT\BOT_MARKET_DATA\tick\EURUSD\monthly\EURUSD_ticks_2017_05.parquet,30.85,Unknown,NO,Exclude
