file,line,pattern_type,masked_preview,severity,action_required,safe_to_commit
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase19_repaired_preflight.py,110,secret,"forbidden_names = [""mt5_local_config.json"", "".env"", ""secret""...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase19_repaired_preflight.py,110,credential,"forbidden_names = [""mt5_local_config.json"", "".env"", ""secret""...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase19_repaired_preflight.py,110,mt5,"forbidden_names = [""mt5_local_config.json"", "".env"", ""secret""...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14.py,67,secret,"banned_parts = {"".git"", "".env"", "".venv"", ""__pycache__"", ""sec...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14.py,67,credential,"banned_parts = {"".git"", "".env"", "".venv"", ""__pycache__"", ""sec...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14_fixed.py,19,secret,"banned_parts = {"".git"", "".env"", "".venv"", ""__pycache__"", ""sec...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_p13_p14_fixed.py,19,credential,"banned_parts = {"".git"", "".env"", "".venv"", ""__pycache__"", ""sec...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_preflight.py,49,mt5,"results[""no_mt5""] = True",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase26b_preflight.py,51,ctrader,"results[""no_ctrader""] = True",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,token,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,secret,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,password,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1711,credential,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase29_wr_loss_streak_compression.py,1714,secret,"raise RuntimeError(f""ZIP validation failed before replace: t...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,token,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,secret,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,password,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1006,credential,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase30_tp14_be05_bf70_forensic_audit.py,1009,secret,"raise RuntimeError(f""zip validation failed: test={test}, hea...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,token,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,secret,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,password,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,800,credential,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_final_closeout_phase32_handoff.py,803,secret,"raise RuntimeError(f""ZIP_VALIDATION_FAILED test={test} heavy...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,88,ftmo,"source = ""https://ftmo.com/en/trading-objectives/""",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,564,ftmo,"profile = config[""profiles""][""FTMO_FUNDED_ACCOUNT_DEFAULT""]",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,568,ftmo,"profiles = {""FTMO_FUNDED_ACCOUNT_DEFAULT"": profile, ""GENERIC...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,607,ftmo,"f12 = funded[(funded[""profile""] == ""FTMO_FUNDED_ACCOUNT_DEFA...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,635,ftmo,"safe = sg[(sg[""profile""].isin([""FTMO_2_STEP_CHALLENGE_DEFAUL...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,636,ftmo,"funded_safe = sg[(sg[""profile""] == ""FTMO_FUNDED_ACCOUNT_DEFA...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,773,ftmo,"challenge = sg[(sg[""profile""] == ""FTMO_2_STEP_CHALLENGE_DEFA...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,774,ftmo,"funded = sg[(sg[""profile""] == ""FTMO_FUNDED_ACCOUNT_DEFAULT_1...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,786,ftmo,"profile = config[""profiles""][""FTMO_2_STEP_CHALLENGE_DEFAULT""...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,844,ftmo,"ch_mc = mc[(mc[""strategy""] == strategy) & (mc[""profile""] == ...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,845,ftmo,"ver_mc = mc[(mc[""strategy""] == strategy) & (mc[""profile""] ==...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,846,ftmo,"fun_mc = mc[(mc[""strategy""] == strategy) & (mc[""profile""] ==...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,883,ftmo,"ch = mc[(mc[""strategy""] == strategy) & (mc[""profile""] == ""FT...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,884,ftmo,"ver = mc[(mc[""strategy""] == strategy) & (mc[""profile""] == ""F...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,885,ftmo,"fun = mc[(mc[""strategy""] == strategy) & (mc[""profile""] == ""F...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,token,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,secret,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,password,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1177,credential,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase31_prop_firm_survival_simulator.py,1180,secret,"raise RuntimeError(f""zip validation failed: test={test}, hea...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,32,ftmo,"OUT = LAB / ""outputs"" / ""phase32a_ftmo_1step_standard_simula...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,33,ftmo,"REPORT_MD = LAB / ""reports"" / ""PHASE32A_FTMO_1STEP_STANDARD_...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,34,ftmo,"REPORT_JSON = LAB / ""reports"" / ""PHASE32A_FTMO_1STEP_STANDAR...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,134,ftmo,"source_objectives = ""https://ftmo.com/en/trading-objectives/...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,135,ftmo,"source_1step = ""https://ftmo.com/en/1-step-challenge/""",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,136,ftmo,"source_how = ""https://ftmo.com/en/how-it-works/""",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,137,ftmo,"source_days = ""https://ftmo.com/en/faq/how-long-does-it-take...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,183,ftmo,"config.setdefault(""profiles"", {})[""FTMO_1_STEP_STANDARD_DEFA...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,763,ftmo,"p31 = p31[(p31[""strategy""] == ""PHASE25"") & (p31[""profile""] =...",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,914,ftmo,"rules = config[""profiles""][""FTMO_1_STEP_STANDARD_DEFAULT""]",REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1156,api_key,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
03_RESEARCH_LAB\BOT_V2_DAYTIME_LAB\src\phase32a_ftmo_1step_standard_simulation.py,1156,token,secrets = [n for n in names if any(tok in n.lower() for tok ...,REVIEW,Review,Review
