context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
mon_tue|late|active|deep|short,1,1,0,100.0,inf,504.8706678108201,0.5049208705749277
wed_thu|early|active|deep|short,1,1,0,100.0,inf,458.0262860929321,0.4633185417009883
fri|core|active|mild|short,1,1,0,100.0,inf,418.8588186427234,0.45361860027961415
mon_tue|core|active|mild|long,2,2,0,100.0,inf,351.07496154239544,0.3419116965390628
mon_tue|early|balanced|mild|long,1,1,0,100.0,inf,306.7736757460106,0.4187091323527226
wed_thu|core|active|deep|short,2,2,0,100.0,inf,211.48484984370776,0.272695398776894
fri|early|active|mild|long,1,1,0,100.0,inf,198.6033308048932,0.3664314128436609
wed_thu|early|active|mild|short,1,1,0,100.0,inf,192.62212519828867,0.3628672567383332
wed_thu|core|active|mild|short,1,1,0,100.0,inf,190.92933945551152,0.3613657530544351
mon_tue|early|active|mild|short,1,1,0,100.0,inf,165.38310949294186,0.3419905442481611
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,57.82752420072083,0.18979679593321783
wed_thu|late|active|deep|short,1,1,0,100.0,inf,45.48057522630305,0.15914095272580067
mon_tue|early|active|mild|long,1,1,0,100.0,inf,34.28098977097413,0.1283489206086927
fri|core|balanced|mild|short,2,1,1,50.0,0.783486954692975,-101.04162897809937,-0.47148601577107396
fri|late|balanced|mild|long,1,0,1,0.0,0.0,-473.3206331218308,-1.3585731376552252
fri|core|active|deep|short,1,0,1,0.0,0.0,-498.18265256305887,-1.339644922365836
wed_thu|core|active|deep|long,3,1,2,33.33333333333333,0.3109441847618049,-554.2511319333847,-0.24489245551004366
wed_thu|core|balanced|mild|long,1,0,1,0.0,0.0,-603.26996814747,-1.2642930937688854
mon_tue|early|balanced|deep|long,2,1,1,50.0,0.3823990842267184,-610.3875549882143,-0.3502715639653948
mon_tue|core|balanced|deep|long,1,0,1,0.0,0.0,-627.4069817061574,-1.2557021063600373
mon_tue|core|active|deep|long,1,0,1,0.0,0.0,-722.4177994747514,-1.2230906797818777
mon_tue|core|balanced|mild|short,1,0,1,0.0,0.0,-945.9483167274227,-1.1677528683999256
mon_tue|core|active|mild|short,2,0,2,0.0,0.0,-1089.4719998651094,-1.306609494681418
wed_thu|core|active|mild|long,3,1,2,33.33333333333333,0.06398588962303393,-1468.9979073368715,-0.7130272070030402
