pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,long,2022-04-12 14:40:00-04:00,2022-04-12 14:45:00-04:00,125.3045,125.2746022055207,2000000,-477.2612835813335,-557.2612835813335,-1.322613948964121,80.0,stop_loss,session_compression_release,mon_tue|late|active|mild|long,,0,0.0,0.0
USDJPY,long,2022-04-26 14:00:00-04:00,2022-04-26 14:05:00-04:00,127.5825,127.54837538571137,1988000,-531.8135604038372,-611.3335604038372,-1.2810728527174138,79.52000000000001,stop_loss,session_compression_release,mon_tue|core|active|deep|long,,0,0.0,0.0
USDJPY,long,2022-06-22 12:30:00-04:00,2022-06-22 12:40:00-04:00,136.1475,136.1699669899342,1976000,326.04377219769685,247.00377219769686,0.39324565429609315,79.04,take_profit,session_compression_release,wed_thu|core|active|deep|long,,0,0.0,0.0
USDJPY,long,2022-06-24 12:00:00-04:00,2022-06-24 12:15:00-04:00,135.2165,135.15956005620575,1981000,-834.6444830101384,-913.8844830101384,-1.167436189561566,79.24000000000001,stop_loss,session_compression_release,fri|early|active|deep|long,,0,0.0,0.0
USDJPY,long,2022-07-19 12:45:00-04:00,2022-07-19 12:55:00-04:00,138.0455,138.008545958302,1963000,-525.4826931109471,-604.0026931109471,-1.269577453478923,78.52000000000001,stop_loss,session_compression_release,mon_tue|core|active|deep|long,,1,0.0,-1.2810728527174138
USDJPY,long,2022-08-08 14:05:00-04:00,2022-08-08 14:15:00-04:00,134.7545,134.7674260355039,1951000,187.10729376379422,109.0672937637942,0.2751656408045389,78.04,take_profit,session_compression_release,mon_tue|core|active|mild|long,,0,0.0,0.0
USDJPY,short,2022-08-12 13:10:00-04:00,2022-08-12 13:15:00-04:00,133.4865,133.52633583574598,1953000,-582.6447427647412,-660.7647427647412,-1.2429909249830393,78.12,stop_loss,session_compression_release,fri|core|active|mild|short,,0,0.0,0.0
USDJPY,long,2022-08-23 14:20:00-04:00,2022-08-23 14:25:00-04:00,136.7875,136.74377217466252,1940000,-620.3027307503843,-697.9027307503842,-1.223275101805157,77.60000000000001,stop_loss,session_compression_release,mon_tue|core|active|mild|long,,1,1.0,0.2751656408045389
USDJPY,long,2022-09-09 13:55:00-04:00,2022-09-09 14:00:00-04:00,142.6475,142.66667432264373,1926000,258.8073992361648,181.7673992361648,0.35623471301356485,77.04,take_profit,session_compression_release,fri|core|active|mild|long,,0,0.0,0.0
USDJPY,long,2022-09-14 13:15:00-04:00,2022-09-14 13:20:00-04:00,143.0535,143.07421077724786,1929000,279.2649786176783,202.10497861767828,0.37147258945269257,77.16000000000001,take_profit,session_compression_release,wed_thu|core|active|mild|long,,0,0.0,0.0
USDJPY,long,2022-11-01 13:30:00-04:00,2022-11-01 13:50:00-04:00,148.2735,148.298681222876,1933000,328.1223082632271,250.8023082632271,0.40246401170731544,77.32000000000001,take_profit,session_compression_release,mon_tue|core|active|deep|long,,2,0.0,-1.2753251530981684
USDJPY,short,2022-11-25 13:45:00-05:00,2022-11-25 13:50:00-05:00,139.0365,139.02084098233954,1938000,218.29202944849752,140.7720294484975,0.3163090405337717,77.52000000000001,take_profit,session_compression_release,fri|core|active|deep|short,,0,0.0,0.0
USDJPY,short,2023-01-03 13:15:00-05:00,2023-01-03 13:20:00-05:00,130.7165,130.6901628260414,1941000,391.13118427578104,313.49118427578105,0.424556408074037,77.64,take_profit,session_compression_release,mon_tue|core|active|mild|short,,0,0.0,0.0
USDJPY,long,2023-02-09 12:35:00-05:00,2023-02-09 12:40:00-05:00,131.0615,131.08172005469015,1947000,300.25890616431957,222.37890616431957,0.37863443733900837,77.88000000000001,take_profit,session_compression_release,wed_thu|core|active|deep|long,,1,1.0,0.39324565429609315
USDJPY,long,2023-03-08 12:50:00-05:00,2023-03-08 12:55:00-05:00,137.1165,137.14201668298202,1952000,363.1394141256933,285.05941412569325,0.4140990214895906,78.08000000000001,take_profit,session_compression_release,wed_thu|core|active|mild|long,,1,1.0,0.37147258945269257
USDJPY,long,2023-07-06 13:45:00-04:00,2023-07-06 14:15:00-04:00,144.1845,144.2065,1958000,298.70327993886053,220.3832799388605,0.4263487115293622,78.32000000000001,time_stop,session_compression_release,wed_thu|core|active|mild|long,,2,1.0,0.3927858054711416
USDJPY,long,2023-10-17 12:45:00-04:00,2023-10-17 13:00:00-04:00,149.7355,149.74442642653867,1962000,116.9377432503385,38.4577432503385,0.1417122235199061,78.48,take_profit,session_compression_release,mon_tue|core|active|mild|long,,2,0.5,-0.4740547305003091
USDJPY,long,2023-11-02 11:15:00-04:00,2023-11-02 11:20:00-04:00,150.3905,150.41219690797092,1963000,283.0871663182695,204.56716631826953,0.3732197167935301,78.52000000000001,take_profit,session_compression_release,wed_thu|early|active|deep|long,,0,0.0,0.0
USDJPY,long,2023-11-15 11:45:00-05:00,2023-11-15 11:50:00-05:00,151.07750000000001,151.03315245588715,1967000,-577.474855650577,-656.154855650577,-1.233762353559254,78.68,stop_loss,session_compression_release,wed_thu|early|active|deep|long,,1,1.0,0.3732197167935301
USDJPY,short,2023-12-12 11:45:00-05:00,2023-12-12 11:55:00-05:00,145.4425,145.41175308773703,1954000,413.00245110224057,334.8424511022406,0.43668819432020484,78.16000000000001,take_profit,session_compression_release,mon_tue|early|active|mild|short,,0,0.0,0.0
USDJPY,long,2024-01-12 13:00:00-05:00,2024-01-12 13:05:00-05:00,144.95850000000002,144.9832139410125,1960000,334.0873466065682,255.6873466065682,0.4021673570234218,78.4,take_profit,session_compression_release,fri|core|active|mild|long,,1,1.0,0.35623471301356485
USDJPY,long,2024-02-19 11:55:00-05:00,2024-02-19 12:10:00-05:00,150.1735,150.15835024886493,1966000,-198.3339930048627,-276.9739930048627,-1.8160378814803344,78.64,stop_loss,session_compression_release,mon_tue|early|active|deep|long,,0,0.0,0.0
USDJPY,long,2024-04-19 12:20:00-04:00,2024-04-19 12:35:00-04:00,154.5925,154.5676879598051,1960000,-314.5864115944909,-392.9864115944909,-1.4544080212185124,78.4,stop_loss,session_compression_release,fri|early|active|mild|long,,0,0.0,0.0
USDJPY,long,2024-04-29 11:35:00-04:00,2024-04-29 11:45:00-04:00,156.7405,156.68694022395294,1952000,-667.1687747286053,-745.2487747286052,-1.1953595159769577,78.08000000000001,stop_loss,session_compression_release,mon_tue|early|active|deep|long,,1,0.0,-1.8160378814803344
USDJPY,short,2024-06-05 12:30:00-04:00,2024-06-05 13:00:00-04:00,156.1285,156.1475,1937000,-235.69909826833288,-313.1790982683329,-0.5223012606964795,77.48,time_stop,session_compression_release,wed_thu|core|active|mild|short,,0,0.0,0.0
USDJPY,short,2025-01-24 11:35:00-05:00,2025-01-24 11:50:00-05:00,155.6095,155.67823438916764,1931000,-852.1083799817812,-929.3483799817812,-1.1481068088114694,77.24000000000001,stop_loss,session_compression_release,fri|early|active|deep|short,,0,0.0,0.0
USDJPY,long,2025-05-02 12:05:00-04:00,2025-05-02 12:10:00-04:00,144.6525,144.5735749557382,1912000,-1043.290616404372,-1119.770616404372,-1.1236476587233835,76.48,stop_loss,session_compression_release,fri|early|active|deep|long,,1,0.0,-1.167436189561566
USDJPY,long,2025-05-14 11:55:00-04:00,2025-05-14 12:05:00-04:00,146.5685,146.49812110493556,1890000,-907.6871906852904,-983.2871906852903,-1.1406031097369476,75.60000000000001,stop_loss,session_compression_release,wed_thu|early|active|deep|long,,2,0.5,-0.4302713183828619
USDJPY,short,2025-08-05 12:35:00-04:00,2025-08-05 12:40:00-04:00,147.43449999999999,147.4876005483373,1870000,-673.2297731500981,-748.0297731500981,-1.1892277355266858,74.80000000000001,stop_loss,session_compression_release,mon_tue|core|active|mild|short,,1,1.0,0.424556408074037
