pemr_h1_adx_max,pemr_expansion_atr_min,pemr_displacement_atr_min,stop_atr_multiple,pemr_take_profit_rr_cap,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
18.0,1.5,0.6,0.7,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.6,0.7,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.6,0.9,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.6,0.9,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.9,0.7,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.9,0.7,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.9,0.9,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.5,0.9,0.9,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.6,0.7,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.6,0.7,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.6,0.9,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.6,0.9,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.9,0.7,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.9,0.7,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.9,0.9,0.8,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18.0,1.8,0.9,0.9,1.1,-102.0,-102.0,-102.0,5.0,0.0,0.0,0.0,0.0,5.0,100000.0,100000.0,0.0,0.0,0.0,inf,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
