pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-02,2,1,1,-305.7147526013799,0.33602021487895684
EURUSD,2020-03,1,1,0,420.552217979176,inf
EURUSD,2020-04,1,1,0,242.21830653440117,inf
EURUSD,2020-07,1,0,1,-575.7140437844768,0.0
EURUSD,2020-08,3,2,1,225.98944368453158,1.4344982565866289
EURUSD,2020-09,1,0,1,-525.4123176817332,0.0
EURUSD,2020-10,2,0,2,-950.7108744912134,0.0
EURUSD,2020-11,2,2,0,206.1532512280111,inf
EURUSD,2020-12,2,0,2,-1121.3596998987834,0.0
EURUSD,2021-01,1,0,1,-543.0529302783392,0.0
EURUSD,2021-03,1,1,0,88.3672992604453,inf
EURUSD,2021-04,2,1,1,-438.48879568349196,0.2112638877440648
EURUSD,2021-07,1,0,1,-713.4525705998213,0.0
EURUSD,2021-09,1,0,1,-340.09379976037053,0.0
EURUSD,2021-10,2,1,1,-453.600280669816,0.0046193199041744595
EURUSD,2021-12,2,1,1,-286.57771959017276,0.09019398170210899
