pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2016-01,1,1,0,397.3165872465669,inf
USDJPY,2017-11,1,1,0,174.2180387089615,inf
USDJPY,2018-02,1,1,0,457.63660056294304,inf
USDJPY,2018-04,1,1,0,325.11230111923226,inf
USDJPY,2018-06,1,1,0,452.2374640304946,inf
USDJPY,2019-03,1,1,0,112.95212133989853,inf
USDJPY,2019-06,1,0,1,-535.3504719179438,0.0
USDJPY,2019-08,1,0,1,-504.1040325594492,0.0
USDJPY,2019-09,1,1,0,151.02734404499515,inf
USDJPY,2020-02,1,1,0,22.343913109235118,inf
USDJPY,2020-04,2,1,1,-506.8091321372117,0.33416761776874454
USDJPY,2020-05,1,0,1,-504.5640669691279,0.0
USDJPY,2021-07,1,0,1,-508.3723311399349,0.0
USDJPY,2021-08,1,1,0,3.8505220843414634,inf
USDJPY,2021-12,1,1,0,138.38908733436207,inf
