pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDJPY,2016-01,1,1,0,397.3165872465669,inf
USDJPY,2017-11,1,1,0,174.2180387089615,inf
USDJPY,2018-02,1,1,0,468.39367704562153,inf
USDJPY,2018-06,1,1,0,450.67571649807553,inf
USDJPY,2019-03,1,1,0,112.56377907595979,inf
USDJPY,2019-06,1,0,1,-518.450255246506,0.0
USDJPY,2019-08,1,0,1,-502.6118647275021,0.0
USDJPY,2019-09,1,1,0,150.5780807508603,inf
USDJPY,2020-02,1,1,0,22.27754505049481,inf
USDJPY,2020-05,1,0,1,-505.819201464076,0.0
USDJPY,2021-08,1,1,0,3.877611184432311,inf
USDJPY,2021-12,1,1,0,139.43222115849048,inf
