pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,setup_tag,context_trades_before,context_win_rate_before,context_expectancy_before
USDJPY,short,2016-01-14 13:35:00-05:00,2016-01-14 13:40:00-05:00,118.1985,118.17029106701031,2000000,477.3165872465669,397.3165872465669,0.5924940212910921,80.0,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2017-11-06 13:30:00-05:00,2017-11-06 13:35:00-05:00,113.8225,113.83693702576139,2007000,254.49803870896147,174.2180387089615,0.4406757440029614,80.28,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2018-02-07 13:00:00-05:00,2018-02-07 13:10:00-05:00,109.5745,109.5428458381295,1881000,543.6336770456215,468.39367704562153,0.6210098206302556,75.24000000000001,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|short,core_reversion,1,1.0,0.5924940212910921
USDJPY,long,2018-06-07 13:45:00-04:00,2018-06-07 13:55:00-04:00,109.6495,109.67835255373609,2020000,531.4757164980755,450.67571649807553,0.6049599274717288,80.80000000000001,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,short,2019-03-12 13:05:00-04:00,2019-03-12 13:15:00-04:00,111.3475,111.33687316704844,2029000,193.7237790759598,112.56377907595979,0.34985107905526314,81.16000000000001,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2019-06-11 12:35:00-04:00,2019-06-11 12:45:00-04:00,108.5305,108.50715076248443,2032000,-437.17025524650603,-518.450255246506,-1.3950615372270483,81.28,stop_loss,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,1,1.0,0.4406757440029614
USDJPY,short,2019-08-28 13:35:00-04:00,2019-08-28 13:40:00-04:00,105.9575,105.97962288386556,2021000,-421.7718647275021,-502.6118647275021,-1.4150563460707817,80.84,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|calm|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2019-09-02 13:00:00-04:00,2019-09-02 13:05:00-04:00,106.13850000000001,106.15069548009478,2011000,231.0180807508603,150.5780807508603,0.4050640433641704,80.44000000000001,take_profit,usdjp_session_playbook,core_reversion|mon_tue|core|balanced|deep|long,core_reversion,2,0.5,-0.47719289661204345
USDJPY,long,2020-02-14 13:25:00-05:00,2020-02-14 13:30:00-05:00,109.7315,109.73710398240779,2014000,102.83754505049481,22.27754505049481,0.10665663137017381,80.56,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|long,core_reversion,0,0.0,0.0
USDJPY,long,2020-05-28 12:40:00-04:00,2020-05-28 13:00:00-04:00,107.66250000000001,107.63978928513075,2015000,-425.219201464076,-505.819201464076,-1.4067698196212486,80.60000000000001,stop_loss,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,1,1.0,0.6049599274717288
USDJPY,short,2021-08-20 13:55:00-04:00,2021-08-20 14:00:00-04:00,109.8245,109.81989432794472,2004000,84.03761118443232,3.877611184432311,0.020973966762247047,80.16000000000001,take_profit,usdjp_session_playbook,core_reversion|fri|core|balanced|deep|short,core_reversion,0,0.0,0.0
USDJPY,long,2021-12-08 13:45:00-05:00,2021-12-08 13:55:00-05:00,113.6575,113.66995462576013,2005000,219.63222115849047,139.43222115849048,0.39634305146606175,80.2,take_profit,usdjp_session_playbook,core_reversion|wed_thu|core|balanced|deep|long,core_reversion,2,0.5,-0.4009049460747599
