timestamp,currency,importance,event,country,source,hard_event,event_tier
2022-01-03 03:15:00-05:00,EUR,1,Spanish Manufacturing PMI,,csv,True,hard
2022-01-03 03:45:00-05:00,EUR,1,Italian Manufacturing PMI,,csv,True,hard
2022-01-03 03:50:00-05:00,EUR,1,French Final Manufacturing PMI,,csv,True,hard
2022-01-03 03:55:00-05:00,EUR,1,German Final Manufacturing PMI,,csv,True,hard
2022-01-03 04:00:00-05:00,EUR,1,Final Manufacturing PMI,,csv,True,hard
2022-01-03 09:45:00-05:00,USD,1,Final Manufacturing PMI,,csv,True,hard
2022-01-03 15:30:00-05:00,USD,3,JOLTS Job Openings,,csv,False,standard
2022-01-04 02:00:00-05:00,EUR,1,German Retail Sales m/m,,csv,True,hard
2022-01-04 02:45:00-05:00,EUR,1,French Prelim CPI m/m,,csv,True,hard
2022-01-04 03:02:00-05:00,EUR,2,Spanish Unemployment Change,,csv,True,hard
2022-01-04 03:55:00-05:00,EUR,1,German Unemployment Change,,csv,True,hard
2022-01-04 10:00:00-05:00,USD,3,ISM Manufacturing PMI,,csv,True,hard
2022-01-05 03:15:00-05:00,EUR,1,Spanish Services PMI,,csv,True,hard
2022-01-05 03:45:00-05:00,EUR,1,Italian Services PMI,,csv,True,hard
2022-01-05 03:50:00-05:00,EUR,1,French Final Services PMI,,csv,True,hard
2022-01-05 03:55:00-05:00,EUR,1,German Final Services PMI,,csv,True,hard
2022-01-05 04:00:00-05:00,EUR,1,Final Services PMI,,csv,True,hard
2022-01-05 05:00:00-05:00,EUR,1,Italian Prelim CPI m/m,,csv,True,hard
2022-01-05 08:15:00-05:00,USD,3,ADP Non-Farm Employment Change,,csv,True,hard
2022-01-05 09:45:00-05:00,USD,1,Final Services PMI,,csv,True,hard
2022-01-05 14:00:00-05:00,USD,3,FOMC Meeting Minutes,,csv,True,hard
2022-01-06 10:00:00-05:00,USD,3,ISM Services PMI,,csv,True,hard
2022-01-06 15:29:59-05:00,EUR,1,German Prelim CPI m/m,,csv,True,hard
2022-01-06 15:30:00-05:00,USD,3,Unemployment Rate,,csv,True,hard
2022-01-06 15:30:00-05:00,EUR,1,CPI Flash Estimate y/y,,csv,True,hard
2022-01-06 15:30:00-05:00,USD,3,Non-Farm Employment Change,,csv,True,hard
2022-01-06 15:30:00-05:00,USD,3,Average Hourly Earnings m/m,,csv,False,standard
2022-01-06 15:30:00-05:00,EUR,1,Retail Sales m/m,,csv,True,hard
2022-01-07 05:00:00-05:00,EUR,1,Core CPI Flash Estimate y/y,,csv,True,hard
2022-01-10 04:00:00-05:00,EUR,1,Italian Monthly Unemployment Rate,,csv,True,hard
2022-01-10 05:00:00-05:00,EUR,1,Unemployment Rate,,csv,True,hard
2022-01-11 04:00:00-05:00,EUR,1,Italian Retail Sales m/m,,csv,True,hard
2022-01-11 09:12:00-05:00,USD,1,FOMC Member Mester Speaks,,csv,True,hard
2022-01-11 09:30:00-05:00,USD,1,FOMC Member George Speaks,,csv,True,hard
2022-01-11 10:00:00-05:00,USD,3,Fed Chair Powell Testifies,,csv,True,hard
2022-01-11 15:30:00-05:00,USD,3,CPI y/y,,csv,True,hard
2022-01-11 15:30:00-05:00,USD,3,CPI m/m,,csv,True,hard
2022-01-12 08:30:00-05:00,USD,3,Core CPI m/m,,csv,True,hard
2022-01-13 08:30:00-05:00,USD,3,PPI m/m,,csv,False,standard
2022-01-13 10:00:00-05:00,USD,2,FOMC Member Brainard Speaks,,csv,True,hard
2022-01-13 15:30:00-05:00,USD,3,Retail Sales m/m,,csv,True,hard
2022-01-14 02:45:00-05:00,EUR,1,French Final CPI m/m,,csv,True,hard
2022-01-14 08:30:00-05:00,USD,3,Core Retail Sales m/m,,csv,True,hard
2022-01-14 11:00:00-05:00,USD,1,FOMC Member Williams Speaks,,csv,True,hard
2022-01-19 02:00:00-05:00,EUR,1,German Final CPI m/m,,csv,True,hard
2022-01-19 15:30:00-05:00,EUR,1,Final CPI y/y,,csv,True,hard
2022-01-20 05:00:00-05:00,EUR,1,Final Core CPI y/y,,csv,True,hard
2022-01-20 07:30:00-05:00,EUR,1,ECB Monetary Policy Meeting Accounts,,csv,True,hard
2022-01-23 15:30:00-05:00,EUR,3,German Flash Services PMI,,csv,True,hard
2022-01-23 15:30:00-05:00,EUR,1,French Flash Manufacturing PMI,,csv,True,hard
2022-01-23 15:30:00-05:00,EUR,1,Flash Services PMI,,csv,True,hard
2022-01-23 15:30:00-05:00,USD,2,Flash Services PMI,,csv,True,hard
2022-01-24 03:15:00-05:00,EUR,2,French Flash Services PMI,,csv,True,hard
2022-01-24 03:30:00-05:00,EUR,3,German Flash Manufacturing PMI,,csv,True,hard
2022-01-24 04:00:00-05:00,EUR,1,Flash Manufacturing PMI,,csv,True,hard
2022-01-24 09:45:00-05:00,USD,2,Flash Manufacturing PMI,,csv,True,hard
2022-01-25 15:30:00-05:00,USD,3,FOMC Statement,,csv,True,hard
2022-01-26 14:00:00-05:00,USD,3,Federal Funds Rate,,csv,True,hard
2022-01-26 14:30:00-05:00,USD,3,FOMC Press Conference,,csv,True,hard
2022-01-26 15:30:00-05:00,USD,2,Advance GDP Price Index q/q,,csv,True,hard
2022-01-27 03:00:00-05:00,EUR,1,Spanish Unemployment Rate,,csv,True,hard
2022-01-27 08:30:00-05:00,USD,3,Advance GDP q/q,,csv,True,hard
2022-01-27 15:30:00-05:00,EUR,1,French Flash GDP q/q,,csv,True,hard
2022-01-27 15:30:00-05:00,EUR,1,Spanish Flash GDP q/q,,csv,True,hard
2022-01-27 15:30:00-05:00,EUR,1,German Prelim GDP q/q,,csv,True,hard
2022-01-28 08:30:00-05:00,USD,3,Core PCE Price Index m/m,,csv,False,standard
2022-01-30 15:30:00-05:00,EUR,1,Italian Prelim GDP q/q,,csv,True,hard
2022-01-31 03:00:00-05:00,EUR,1,Spanish Flash CPI y/y,,csv,True,hard
2022-01-31 05:00:00-05:00,EUR,1,Prelim Flash GDP q/q,,csv,True,hard
2022-01-31 09:45:00-05:00,USD,2,Chicago PMI,,csv,True,hard
