label,design_return_pct,design_drawdown_pct,design_profit_factor,design_trades_per_month,design_total_trades,oos_return_pct,oos_drawdown_pct,oos_profit_factor,oos_trades_per_month,oos_total_trades,accepted,score
vwap_rsi2__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
vwap_rsi7__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi2__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi7__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_stoch__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi2__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi7__tight,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
vwap_rsi2__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
vwap_rsi7__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi2__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi7__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_stoch__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi2__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi7__balanced,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
vwap_rsi2__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
vwap_rsi7__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi2__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_rsi7__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_stoch__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi2__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
bb_vwap_rsi7__loose,0.0,0.0,inf,0.0,0,0.0,0.0,inf,0.0,0,True,320.0
