label,design_return_pct,design_drawdown_pct,design_profit_factor,design_trades_per_month,design_total_trades,oos_return_pct,oos_drawdown_pct,oos_profit_factor,oos_trades_per_month,oos_total_trades,accepted,score
bb_vwap_rsi7__tight,-138.95972203413413,138.78893698172286,0.17119549945751691,9.041666666666666,217,-224.13489502192814,224.37941060270626,0.20475419795698205,7.8125,375,False,-2824.887604577735
bb_vwap_rsi7__balanced,-196.8865391047252,196.24466704750353,0.2493633823468654,13.541666666666666,325,-252.68121047870937,253.09731546670048,0.3651131311958718,11.6875,561,False,-3068.9844290315095
bb_vwap_rsi2__balanced,-222.88662873611617,222.6155516090064,0.24161468426136468,14.958333333333334,359,-277.13212487392394,277.5098312546641,0.3603622060897195,12.625,606,False,-3373.54705280778
bb_vwap_rsi2__tight,-213.04077166922096,212.83993811698446,0.1570943254083317,13.083333333333334,314,-305.43770389614065,305.43770389614065,0.2182114999776261,11.104166666666666,533,False,-3829.342649879571
bb_rsi7__tight,-192.73641599196813,192.3298937469751,0.17126587839098242,12.583333333333334,302,-326.72883182361744,326.97334740439555,0.19223495702237034,11.0625,531,False,-4131.352950692601
bb_rsi7__balanced,-316.8156542414685,315.37925336151346,0.22760047223931978,20.333333333333332,488,-419.3826725330235,419.88644150556047,0.32088720654970565,17.333333333333332,832,False,-5178.203587430695
bb_vwap_rsi2__loose,-318.3089619251486,316.8217141837234,0.29152814950557904,24.5,588,-450.08974239706123,450.63583233823687,0.3943254121154462,22.645833333333332,1087,False,-5395.0598748095435
bb_stoch__balanced,-357.599279926026,356.4357332427523,0.23236352362209511,23.291666666666668,559,-445.6443115357432,446.14808050828015,0.33996071190335364,19.3125,927,False,-5466.47098473786
bb_vwap_rsi7__loose,-323.3445614296168,321.8230082527954,0.295154143110105,25.125,603,-464.54081178832604,465.08690172950173,0.39754982845220144,23.583333333333332,1132,False,-5559.83615329121
bb_rsi2__balanced,-359.03600279539336,357.86293784185904,0.230607499926004,23.25,558,-462.78013506125575,463.2839040337926,0.3327146636965611,19.666666666666668,944,False,-5692.29280000685
bb_rsi2__tight,-340.8458930556688,340.0848089879053,0.14701794051946498,20.333333333333332,488,-497.6236865314451,497.62368653144523,0.19951377494087436,17.1875,825,False,-6276.837446140942
bb_stoch__tight,-329.63141798270044,328.2999847741091,0.15800202977785652,20.583333333333332,494,-506.03365886130945,506.27817444208756,0.20776867471186458,17.875,858,False,-6368.934124608015
vwap_rsi7__tight,-314.90794223083134,314.6997746364368,0.17813726141535888,20.833333333333332,500,-537.2272252336221,537.4717408144002,0.23543009449982474,20.6875,993,False,-6692.812116782936
bb_rsi2__loose,-509.2225011561827,504.81367648904313,0.28204638431992307,38.083333333333336,914,-699.5024414300614,700.0485313712369,0.3796758649497031,33.854166666666664,1625,False,-8438.6801225042
bb_stoch__loose,-511.00619990749425,506.57815827395797,0.28301567564245766,38.458333333333336,923,-703.315029556132,703.8611194973075,0.38466502641674116,34.541666666666664,1658,False,-8464.496486331585
bb_rsi7__loose,-522.1299660733649,517.582080749599,0.27956687219205967,38.833333333333336,932,-706.8006653150793,707.3467552562547,0.38382608122932366,34.604166666666664,1661,False,-8510.805454299096
vwap_rsi7__balanced,-513.877489907313,511.75256752332825,0.3052226067313251,41.208333333333336,989,-818.8787949230532,819.3825638955902,0.3952051444429779,41.645833333333336,1999,False,-9797.757485636392
vwap_rsi7__loose,-752.5332544051056,748.7300936815586,0.3774722084428323,73.20833333333333,1757,-1235.7363021007777,1236.2823920419535,0.44382216503353566,71.72916666666667,3443,False,-14430.184416293225
vwap_rsi2__tight,-842.4041102793822,835.6223821030875,0.16990896333883093,55.25,1326,-1449.6540357760746,1449.6540357760746,0.21906345712936962,54.041666666666664,2594,False,-18130.861072712825
vwap_rsi2__balanced,-995.4219756512433,979.2175172162356,0.31475157125841285,82.5,1980,-1742.6934773494747,1743.1972463220116,0.36123469374879175,80.91666666666667,3884,False,-21160.737351681288
vwap_rsi2__loose,-1121.353848714399,1115.5275071196604,0.37351309129992877,108.25,2598,-1885.5577207568942,1886.1038106980698,0.4298030522462541,105.6875,5073,False,-22169.51917349897
