pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-01,1,1,0,100.0,0.3075915862885388,307.5915862885388,0.3075915862885388,0.0,inf
EURUSD,2020-02,1,0,1,0.0,-1.1531676531781718,-1153.1676531781718,-1.1531676531781718,0.0,0.0
EURUSD,2020-03,1,1,0,100.0,0.3513977762880843,351.3977762880843,0.3513977762880843,0.0,inf
EURUSD,2020-04,3,1,2,33.33333333333333,-2.009317771403235,-2009.3177714032352,-0.669772590467745,2.2483908401309494,0.10851107538488994
EURUSD,2020-05,4,1,3,25.0,-2.873470044420799,-2873.4700444207983,-0.7183675111051997,2.3889884310659193,0.16550729052749355
EURUSD,2020-07,4,0,4,0.0,-2.550154569543525,-2550.154569543525,-0.6375386423858812,2.3849517050623255,0.0
EURUSD,2020-08,2,1,1,50.0,-1.0193723145353066,-1019.3723145353066,-0.5096861572676533,1.0990218273302856,0.07321947358379342
EURUSD,2020-10,2,1,1,50.0,-1.102757421824242,-1102.7574218242419,-0.551378710912121,0.0,0.1823395139674174
EURUSD,2020-11,6,4,2,66.66666666666666,1.434459053177448,1434.459053177448,0.239076508862908,0.053615602335045275,26.044339858939043
EURUSD,2020-12,7,4,3,57.14285714285714,-1.8958488535886282,-1895.8488535886281,-0.27083555051266117,2.278157229418925,0.17033192821095833
EURUSD,2021-01,2,1,1,50.0,-1.1076038137639326,-1107.6038137639325,-0.5538019068819663,1.2657622544784137,0.12635060734407277
EURUSD,2021-03,1,0,1,0.0,-1.1910503080006278,-1191.0503080006279,-1.1910503080006278,0.0,0.0
EURUSD,2021-04,1,1,0,100.0,0.0153876449535922,15.3876449535922,0.0153876449535922,0.0,inf
EURUSD,2021-05,2,0,2,0.0,-1.263989396795485,-1263.989396795485,-0.6319946983977425,0.099197360975512,0.0
EURUSD,2021-06,4,1,3,25.0,-1.4197677797656891,-1419.767779765689,-0.3549419449414223,1.137495750426218,0.0014036848080172862
EURUSD,2021-07,2,1,1,50.0,-0.4682570709489432,-468.25707094894324,-0.2341285354744716,1.1910082010459384,0.6096946978759465
EURUSD,2021-08,2,0,2,0.0,-1.3964786643803464,-1396.4786643803463,-0.6982393321901732,0.1812649725169969,0.0
EURUSD,2021-09,1,0,1,0.0,-1.1093928052382647,-1109.3928052382646,-1.1093928052382647,0.0,0.0
EURUSD,2021-10,2,2,0,100.0,0.5727127534072125,572.7127534072124,0.28635637670360625,0.0,inf
EURUSD,2021-11,3,1,2,33.33333333333333,-0.9964280944187163,-996.4280944187162,-0.3321426981395721,0.0008046032376517827,0.20576111520259932
