pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-04-21 15:00:00,2020-04-21 15:00:00,short,1.08507,1.0853991723026435,1.0853991723026435,1.0849864999999999,1.0,-1.131874100968577,-1131.874100968577,loss,stop_loss,2020-04-21
EURUSD,2020-05-25 15:30:00,2020-05-25 15:45:00,short,1.08972,1.0896267942743878,1.0898365071570153,1.0896267942743878,1.0,0.425886160087286,425.88616008728604,win,take_profit,2020-05-25
EURUSD,2020-07-07 14:30:00,2020-07-07 14:30:00,short,1.12931,1.1295785923339619,1.1295785923339619,1.1292740000000001,1.0,-1.1682018737170847,-1168.2018737170847,loss,stop_loss,2020-07-07
EURUSD,2020-10-12 16:00:00,2020-10-12 16:00:00,short,1.18104,1.1811595562402788,1.1811595562402788,1.1809443550077772,1.0,-1.3951611707200655,-1395.1611707200655,loss,stop_loss,2020-10-12
EURUSD,2020-11-10 14:35:00,2020-11-10 14:50:00,short,1.18224,1.1821348435423187,1.1825248938787816,1.1821348435423187,1.0,0.20312456622355438,203.12456622355438,win,take_profit,2020-11-10
EURUSD,2020-12-14 16:00:00,2020-12-14 16:00:00,long,1.21451,1.21459576726813,1.214310156295095,1.21459576726813,1.0,0.18607115787073777,186.07115787073778,win,take_profit,2020-12-14
EURUSD,2021-01-18 14:05:00,2021-01-18 14:05:00,short,1.20735,1.2075091379035243,1.2075091379035243,1.2072226896771803,1.0,-1.3034926264167788,-1303.4926264167789,loss,stop_loss,2021-01-18
EURUSD,2021-04-29 14:35:00,2021-04-29 14:35:00,long,1.2115799999999999,1.2116317718557255,1.2113903356313278,1.2116317718557255,1.0,0.01743933204994454,17.43933204994454,win,take_profit,2021-04-29
EURUSD,2021-06-08 14:45:00,2021-06-08 14:45:00,short,1.21794,1.2179249033927908,1.2180661986410852,1.2179249033927908,1.0,-0.2664108586741965,-266.4108586741965,loss,take_profit,2021-06-08
EURUSD,2021-06-24 15:25:00,2021-06-24 15:25:00,short,1.19323,1.1931919527083914,1.193421582484975,1.1931919527083914,1.0,-0.05053252074206307,-50.53252074206307,loss,take_profit,2021-06-24
EURUSD,2021-07-16 14:55:00,2021-07-16 15:00:00,long,1.18116,1.1809512888744813,1.1809512888744813,1.1812965,1.0,-1.2263521075521973,-1226.3521075521974,loss,stop_loss,2021-07-16
EURUSD,2021-08-05 14:05:00,2021-08-05 14:05:00,long,1.18357,1.183377887526311,1.183377887526311,1.183680257836253,1.0,-1.2464127048492573,-1246.4127048492574,loss,stop_loss,2021-08-05
EURUSD,2021-08-30 13:50:00,2021-08-30 13:50:00,short,1.17968,1.179661742987838,1.1798225587421427,1.179661742987838,1.0,-0.20293263864596933,-202.93263864596932,loss,take_profit,2021-08-30
