pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-04-06 12:35:00,2020-04-06 12:35:00,long,1.08049,1.080009780080925,1.080009780080925,1.0804960000000001,1.0,-1.0899794622943546,-1089.9794622943546,loss,stop_loss,2020-04-06
EURUSD,2020-04-08 11:50:00,2020-04-08 11:55:00,short,1.08708,1.0866675828341885,1.0875955214572643,1.0866675828341885,1.0,0.715667834999929,715.667834999929,win,take_profit,2020-04-08
EURUSD,2020-04-29 13:15:00,2020-04-29 13:20:00,long,1.08557,1.085812268122819,1.085267164846476,1.085812268122819,1.0,0.656596310462108,656.596310462108,win,take_profit,2020-04-29
EURUSD,2020-05-25 11:40:00,2020-05-25 11:45:00,short,1.08967,1.0895685,1.089883901865226,1.0895685,1.0,0.2707560747743206,270.7560747743206,win,take_profit,2020-05-25
EURUSD,2020-05-25 15:30:00,2020-05-25 15:45:00,short,1.08972,1.0898287400132143,1.0898287400132143,1.0896330079894287,1.0,-1.4008732392046086,-1400.8732392046086,loss,stop_loss,2020-05-25
EURUSD,2020-06-01 14:00:00,2020-06-01 14:05:00,short,1.11277,1.1130193971048432,1.1130193971048432,1.1125899988179075,1.0,-1.1784934149014252,-1178.4934149014252,loss,stop_loss,2020-06-01
EURUSD,2020-06-08 11:25:00,2020-06-08 11:25:00,short,1.12981,1.129543246000973,1.1303401412779754,1.129543246000973,1.0,0.41793927056989527,417.93927056989526,win,take_profit,2020-06-08
EURUSD,2020-07-20 16:10:00,2020-07-20 16:15:00,short,1.1444,1.14457965271269,1.14457965271269,1.144297129489032,1.0,-1.2548227163017438,-1254.8227163017439,loss,stop_loss,2020-07-20
EURUSD,2020-09-11 13:25:00,2020-09-11 13:25:00,long,1.18362,1.1836494853503676,1.1833069398549385,1.1836494853503676,1.0,-0.05704985930042893,-57.049859300428935,loss,take_profit,2020-09-11
EURUSD,2020-10-12 11:20:00,2020-10-12 11:25:00,short,1.1811,1.1808965967141845,1.1813637328523485,1.1808965967141845,1.0,0.5921269313620358,592.1269313620357,win,take_profit,2020-10-12
EURUSD,2020-10-12 14:05:00,2020-10-12 14:10:00,long,1.18098,1.180805225435429,1.180805225435429,1.1811198196516566,1.0,-1.2702663881405174,-1270.2663881405174,loss,stop_loss,2020-10-12
EURUSD,2020-11-10 14:35:00,2020-11-10 14:50:00,short,1.18224,1.1821348435423187,1.1825059009535295,1.1821348435423187,1.0,0.21763347207794556,217.63347207794556,win,take_profit,2020-11-10
EURUSD,2020-11-16 12:15:00,2020-11-16 12:15:00,short,1.18403,1.1840255,1.1843052973955295,1.1840255,1.0,-0.15569019610298487,-155.69019610298488,loss,take_profit,2020-11-16
EURUSD,2020-12-14 16:00:00,2020-12-14 16:00:00,long,1.21451,1.21459576726813,1.2143234792087554,1.21459576726813,1.0,0.1993619495493401,199.36194954934012,win,take_profit,2020-12-14
EURUSD,2020-12-24 11:10:00,2020-12-24 11:10:00,long,1.21862,1.218251520829805,1.218251520829805,1.2188058052085249,1.0,-1.1322661920859896,-1132.2661920859896,loss,stop_loss,2020-12-24
EURUSD,2020-12-28 12:35:00,2020-12-28 12:45:00,long,1.22154,1.2211741925274124,1.2211741925274124,1.2216231210468438,1.0,-1.1335517210164103,-1133.5517210164103,loss,stop_loss,2020-12-28
EURUSD,2021-01-18 14:05:00,2021-01-18 14:05:00,short,1.20735,1.2074985287099562,1.2074985287099562,1.207231177032035,1.0,-1.3251692434360742,-1325.1692434360743,loss,stop_loss,2021-01-18
EURUSD,2021-01-22 14:45:00,2021-01-22 14:45:00,short,1.2171100000000001,1.217090499504729,1.2172727623533361,1.217090499504729,1.0,-0.17930135485268517,-179.30135485268517,loss,take_profit,2021-01-22
EURUSD,2021-01-22 15:25:00,2021-01-22 15:30:00,long,1.21689,1.216954774877437,1.216718545243169,1.216954774877437,1.0,0.09389054597858257,93.89054597858257,win,take_profit,2021-01-22
EURUSD,2021-01-22 16:05:00,2021-01-22 16:05:00,short,1.21678,1.2166558026789696,1.2169352466512882,1.2166558026789696,1.0,0.48650708601081283,486.5070860108128,win,take_profit,2021-01-22
EURUSD,2021-03-17 12:05:00,2021-03-17 12:05:00,short,1.19036,1.190142580314405,1.1906317746069939,1.190142580314405,1.0,0.6248177746447952,624.8177746447951,win,take_profit,2021-03-17
EURUSD,2021-03-29 13:10:00,2021-03-29 13:10:00,long,1.1776,1.1773541219991033,1.1773541219991033,1.17764458545903,1.0,-1.1915544976240535,-1191.5544976240535,loss,stop_loss,2021-03-29
EURUSD,2021-06-08 12:30:00,2021-06-08 13:00:00,short,1.218,1.217825993367068,1.2182175082911648,1.217825993367068,1.0,0.5760244270670334,576.0244270670333,win,take_profit,2021-06-08
