pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-01-22 12:35:00,2020-01-22 12:35:00,short,1.1086500000000001,1.1085604594654825,1.10891180664924,1.1085604594654825,1.0,0.17263242657982614,172.63242657982613,win,take_profit,2020-01-22
EURUSD,2020-01-29 15:20:00,2020-01-29 15:20:00,short,1.1012,1.1010595060202921,1.101532005983159,1.1010595060202921,1.0,0.290503079095807,290.50307909580704,win,take_profit,2020-01-29
EURUSD,2020-02-11 12:30:00,2020-02-11 12:30:00,short,1.0917700000000001,1.0920719283162703,1.0920719283162703,1.0914982645153568,1.0,-1.1446594794453306,-1144.6594794453306,loss,stop_loss,2020-02-11
EURUSD,2020-03-10 11:50:00,2020-03-10 11:50:00,short,1.1373,1.1369675,1.1381648251060426,1.1369675,1.0,0.3318759008390296,331.8759008390296,win,take_profit,2020-03-10
EURUSD,2020-04-06 13:55:00,2020-04-06 13:55:00,long,1.07969,1.0798479215105639,1.0791932971468203,1.0798479215105639,1.0,0.2309846697325407,230.9846697325407,win,take_profit,2020-04-06
EURUSD,2020-04-20 14:45:00,2020-04-20 14:45:00,long,1.0864099999999999,1.0860754785825186,1.0860754785825186,1.086625,1.0,-1.1298860987999473,-1129.8860987999474,loss,stop_loss,2020-04-20
EURUSD,2020-04-21 15:00:00,2020-04-21 15:05:00,short,1.08507,1.0854650067631721,1.0854650067631721,1.0849864999999999,1.0,-1.1098985269440191,-1109.898526944019,loss,stop_loss,2020-04-21
EURUSD,2020-05-15 16:20:00,2020-05-15 16:35:00,short,1.08131,1.0815568585115714,1.0815568585115714,1.0810878273395856,1.0,-1.175231162014848,-1175.231162014848,loss,stop_loss,2020-05-15
EURUSD,2020-05-25 15:30:00,2020-05-25 16:05:00,short,1.08972,1.0895941722704237,1.0898598085884184,1.0895941722704237,1.0,0.5882431282883515,588.2431282883515,win,take_profit,2020-05-25
EURUSD,2020-05-27 14:30:00,2020-05-27 14:30:00,short,1.09881,1.0987727332138513,1.099208009420493,1.0987727332138513,1.0,-0.016795752199759234,-16.795752199759235,loss,take_profit,2020-05-27
EURUSD,2020-06-01 14:00:00,2020-06-01 14:10:00,short,1.11277,1.1130906534205127,1.1130906534205127,1.1125899988179075,1.0,-1.1388324581756426,-1138.8324581756426,loss,stop_loss,2020-06-01
EURUSD,2020-06-08 14:50:00,2020-06-08 14:50:00,short,1.13019,1.1300805601781456,1.130533015380856,1.1300805601781456,1.0,0.18726392629302888,187.26392629302887,win,take_profit,2020-06-08
EURUSD,2020-06-08 16:45:00,2020-06-08 16:45:00,long,1.1294899999999999,1.1292560542233274,1.1292560542233274,1.1295628774847328,1.0,-1.1930997478378036,-1193.0997478378035,loss,stop_loss,2020-06-08
EURUSD,2020-07-07 14:30:00,2020-07-07 14:35:00,short,1.12931,1.1292740000000001,1.1296323108007542,1.1292740000000001,1.0,-0.028456008509832785,-28.456008509832785,loss,take_profit,2020-07-07
EURUSD,2020-07-20 16:10:00,2020-07-20 16:15:00,short,1.1444,1.1446309820591727,1.1446309820591727,1.144297129489032,1.0,-1.1981997358956737,-1198.1997358956737,loss,stop_loss,2020-07-20
