pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2020-01-06 11:05:00,2020-01-06 11:05:00,long,1.1189,1.1186044843543037,1.1186044843543037,1.1191955156456963,1.0,-1.1514303259498646,-1151.4303259498647,loss,stop_loss,2020-01-06
EURUSD,2020-01-07 13:05:00,2020-01-07 13:20:00,short,1.11422,1.1144721899811934,1.1144721899811934,1.1139678100188066,1.0,-1.1767469117469893,-1176.7469117469893,loss,stop_loss,2020-01-07
EURUSD,2020-01-08 12:40:00,2020-01-08 12:45:00,short,1.11171,1.1113548809805407,1.1120651190194593,1.1113548809805407,1.0,0.874798786418476,874.798786418476,win,take_profit,2020-01-08
EURUSD,2020-01-21 11:15:00,2020-01-21 11:15:00,long,1.10986,1.1095917422547639,1.1095917422547639,1.1101282577452363,1.0,-1.1654715356222893,-1165.4715356222894,loss,stop_loss,2020-01-21
EURUSD,2020-01-27 12:10:00,2020-01-27 12:40:00,short,1.10149,1.1012361331921952,1.101743866807805,1.1012361331921952,1.0,0.8264659074675359,826.4659074675359,win,take_profit,2020-01-27
EURUSD,2020-01-28 12:10:00,2020-01-28 12:20:00,short,1.10043,1.1006429034173013,1.1006429034173013,1.1002170965826987,1.0,-1.206767147240548,-1206.767147240548,loss,stop_loss,2020-01-28
EURUSD,2020-02-04 12:30:00,2020-02-04 12:30:00,short,1.10389,1.1041299701641847,1.1041299701641847,1.1036500298358154,1.0,-1.1840243384945954,-1184.0243384945954,loss,stop_loss,2020-02-04
EURUSD,2020-02-18 11:40:00,2020-02-18 12:15:00,short,1.08139,1.081017557892569,1.0817624421074312,1.081017557892569,1.0,0.8838795179086321,883.879517908632,win,take_profit,2020-02-18
EURUSD,2020-02-19 11:10:00,2020-02-19 11:15:00,short,1.07877,1.079106127166583,1.079106127166583,1.078433872833417,1.0,-1.128396224370743,-1128.396224370743,loss,stop_loss,2020-02-19
EURUSD,2020-02-20 12:10:00,2020-02-20 12:40:00,long,1.08006,1.0796216365579225,1.0796216365579225,1.0804983634420775,1.0,-1.0985337777383704,-1098.5337777383704,loss,stop_loss,2020-02-20
EURUSD,2020-02-21 12:05:00,2020-02-21 12:15:00,long,1.08545,1.085869983770328,1.085030016229672,1.085869983770328,1.0,0.89659966804822,896.59966804822,win,take_profit,2020-02-21
EURUSD,2020-03-03 11:45:00,2020-03-03 12:05:00,long,1.11752,1.1163708138941664,1.1163708138941664,1.1186691861058338,1.0,-1.0388777016069792,-1038.8777016069791,loss,stop_loss,2020-03-03
EURUSD,2020-03-04 11:40:00,2020-03-04 11:40:00,short,1.11238,1.1130813006879696,1.1130813006879696,1.1116786993120302,1.0,-1.0634660183572042,-1063.4660183572041,loss,stop_loss,2020-03-04
EURUSD,2020-03-06 11:15:00,2020-03-06 11:45:00,long,1.13253,1.1314908166774995,1.1314908166774995,1.1335691833225006,1.0,-1.0435729490975978,-1043.5729490975978,loss,stop_loss,2020-03-06
EURUSD,2020-03-09 11:05:00,2020-03-09 11:35:00,long,1.14349,1.1419139379918797,1.1419139379918797,1.1450660620081201,1.0,-1.029000145964699,-1029.000145964699,loss,stop_loss,2020-03-09
EURUSD,2020-03-23 13:00:00,2020-03-23 13:05:00,long,1.075,1.0762830260687541,1.0737169739312458,1.0762830260687541,1.0,0.9664649981795131,966.4649981795131,win,take_profit,2020-03-23
EURUSD,2020-03-31 12:20:00,2020-03-31 12:45:00,short,1.09945,1.0983465612922039,1.1005534387077962,1.0983465612922039,1.0,0.9601636826462913,960.1636826462912,win,take_profit,2020-03-31
EURUSD,2020-04-07 11:50:00,2020-04-07 11:50:00,long,1.08962,1.088966518646321,1.088966518646321,1.090273481353679,1.0,-1.0666759376666153,-1066.6759376666153,loss,stop_loss,2020-04-07
EURUSD,2020-04-10 11:40:00,2020-04-10 11:45:00,long,1.09483,1.0946427319335432,1.0946427319335432,1.0950172680664567,1.0,-1.2338328370832246,-1233.8328370832246,loss,stop_loss,2020-04-10
EURUSD,2020-04-15 12:10:00,2020-04-15 12:35:00,short,1.09056,1.091138019017261,1.091138019017261,1.089981980982739,1.0,-1.075488247356614,-1075.488247356614,loss,stop_loss,2020-04-15
EURUSD,2020-04-17 11:55:00,2020-04-17 12:20:00,long,1.08838,1.0877458044142263,1.0877458044142263,1.0890141955857735,1.0,-1.06862590301582,-1068.62590301582,loss,stop_loss,2020-04-17
EURUSD,2020-04-17 13:25:00,2020-04-17 13:30:00,long,1.08734,1.0878201276819521,1.0868598723180478,1.0878201276819521,1.0,0.9093922965771684,909.3922965771684,win,take_profit,2020-04-17
EURUSD,2020-04-28 11:45:00,2020-04-28 12:00:00,long,1.08453,1.0839237014207699,1.0839237014207699,1.08513629857923,1.0,-1.071530643237261,-1071.530643237261,loss,stop_loss,2020-04-28
EURUSD,2020-04-30 12:55:00,2020-04-30 13:05:00,long,1.0933599999999999,1.0942206563162369,1.092499343683763,1.0942206563162369,1.0,0.9491640252583985,949.1640252583985,win,take_profit,2020-04-30
EURUSD,2020-05-06 13:00:00,2020-05-06 13:25:00,short,1.08093,1.0804918032311044,1.0813681967688955,1.0804918032311044,1.0,0.9013489380184943,901.3489380184942,win,take_profit,2020-05-06
EURUSD,2020-05-14 11:20:00,2020-05-14 11:35:00,short,1.0804,1.0798312970296202,1.0809687029703798,1.0798312970296202,1.0,0.92402945738344,924.02945738344,win,take_profit,2020-05-14
EURUSD,2020-05-15 12:40:00,2020-05-15 12:45:00,long,1.08181,1.0813048698676242,1.0813048698676242,1.0823151301323757,1.0,-1.0856453641202077,-1085.6453641202077,loss,stop_loss,2020-05-15
EURUSD,2020-05-19 11:05:00,2020-05-19 11:05:00,long,1.09481,1.0942755897814072,1.0942755897814072,1.095344410218593,1.0,-1.0819248821735645,-1081.9248821735646,loss,stop_loss,2020-05-19
EURUSD,2020-05-20 13:30:00,2020-05-20 13:45:00,long,1.09812,1.0984723908990237,1.0977676091009763,1.0984723908990237,1.0,0.8753318317724588,875.3318317724587,win,take_profit,2020-05-20
EURUSD,2020-05-27 12:15:00,2020-05-27 12:25:00,long,1.09812,1.097371452724099,1.097371452724099,1.098868547275901,1.0,-1.0586592956521443,-1058.6592956521442,loss,stop_loss,2020-05-27
EURUSD,2020-05-27 13:15:00,2020-05-27 13:25:00,long,1.09791,1.098436679743547,1.097383320256453,1.098436679743547,1.0,0.916596484469638,916.5964844696381,win,take_profit,2020-05-27
EURUSD,2020-06-05 11:40:00,2020-06-05 12:00:00,short,1.13023,1.1293531456963888,1.1311068543036114,1.1293531456963888,1.0,0.9484613419568944,948.4613419568943,win,take_profit,2020-06-05
EURUSD,2020-06-09 12:25:00,2020-06-09 12:35:00,long,1.13537,1.1347702996101443,1.1347702996101443,1.1359697003898557,1.0,-1.0757089339731556,-1075.7089339731556,loss,stop_loss,2020-06-09
EURUSD,2020-06-10 11:50:00,2020-06-10 12:10:00,long,1.13539,1.134839055486317,1.134839055486317,1.1359409445136828,1.0,-1.0824117733906322,-1082.411773390632,loss,stop_loss,2020-06-10
EURUSD,2020-06-11 12:10:00,2020-06-11 12:20:00,long,1.13818,1.1373798815489449,1.1373798815489449,1.138980118451055,1.0,-1.0568797737429412,-1056.879773742941,loss,stop_loss,2020-06-11
EURUSD,2020-06-15 11:45:00,2020-06-15 11:45:00,long,1.12727,1.1266010551941936,1.1266010551941936,1.1279389448058064,1.0,-1.0673854008080974,-1067.3854008080973,loss,stop_loss,2020-06-15
EURUSD,2020-06-16 11:50:00,2020-06-16 12:10:00,short,1.12532,1.1261744731343528,1.1261744731343528,1.1244655268656474,1.0,-1.0526982833044303,-1052.6982833044303,loss,stop_loss,2020-06-16
EURUSD,2020-06-16 13:10:00,2020-06-16 13:40:00,short,1.12635,1.1258413673244765,1.1268586326755234,1.1258413673244765,1.0,0.9114411729026117,911.4411729026117,win,take_profit,2020-06-16
EURUSD,2020-06-17 11:05:00,2020-06-17 11:10:00,short,1.12191,1.1226577144175012,1.1226577144175012,1.1211622855824988,1.0,-1.0600380926433046,-1060.0380926433047,loss,stop_loss,2020-06-17
EURUSD,2020-06-18 11:45:00,2020-06-18 11:55:00,short,1.12181,1.1212330288569048,1.1223869711430952,1.1212330288569048,1.0,0.9222471563368869,922.247156336887,win,take_profit,2020-06-18
EURUSD,2020-06-23 11:20:00,2020-06-23 11:25:00,long,1.13363,1.1331129500371293,1.1331129500371293,1.1341470499628705,1.0,-1.0876798023554641,-1087.679802355464,loss,stop_loss,2020-06-23
EURUSD,2020-06-23 12:25:00,2020-06-23 12:25:00,long,1.13297,1.132528620352328,1.132528620352328,1.1334113796476721,1.0,-1.102655197112581,-1102.6551971125812,loss,stop_loss,2020-06-23
EURUSD,2020-06-24 11:20:00,2020-06-24 11:30:00,short,1.1262,1.126847681041649,1.126847681041649,1.1255523189583512,1.0,-1.0695721656946415,-1069.5721656946416,loss,stop_loss,2020-06-24
EURUSD,2020-06-29 11:10:00,2020-06-29 11:10:00,long,1.12526,1.124689883560548,1.124689883560548,1.1258301164394517,1.0,-1.0789290848305946,-1078.9290848305945,loss,stop_loss,2020-06-29
EURUSD,2020-06-29 11:55:00,2020-06-29 11:55:00,long,1.12486,1.1243304836429098,1.1243304836429098,1.1253895163570902,1.0,-1.0849521824345338,-1084.9521824345338,loss,stop_loss,2020-06-29
EURUSD,2020-07-01 12:35:00,2020-07-01 12:50:00,long,1.12601,1.1255566478245553,1.1255566478245553,1.1264633521754446,1.0,-1.0993293589960897,-1099.3293589960897,loss,stop_loss,2020-07-01
EURUSD,2020-07-08 12:05:00,2020-07-08 12:10:00,long,1.13283,1.1333720629071304,1.1322879370928696,1.1333720629071304,1.0,0.9163858467166706,916.3858467166706,win,take_profit,2020-07-08
EURUSD,2020-07-10 11:50:00,2020-07-10 12:05:00,long,1.13165,1.1312081981978246,1.1312081981978246,1.1320918018021755,1.0,-1.1024375133799835,-1102.4375133799836,loss,stop_loss,2020-07-10
EURUSD,2020-07-13 11:50:00,2020-07-13 12:05:00,long,1.13649,1.1360221751303337,1.1360221751303337,1.1369578248696663,1.0,-1.0971522447045179,-1097.152244704518,loss,stop_loss,2020-07-13
EURUSD,2020-07-17 11:20:00,2020-07-17 11:25:00,long,1.14311,1.142693822573043,1.142693822573043,1.1435261774269572,1.0,-1.1098474097536577,-1109.8474097536578,loss,stop_loss,2020-07-17
EURUSD,2020-07-28 13:30:00,2020-07-28 13:50:00,short,1.17311,1.1734658420775996,1.1734658420775996,1.1727541579224006,1.0,-1.1318884521741424,-1131.8884521741425,loss,stop_loss,2020-07-28
