pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2020-01,10,3,7,30.0,-4.814150983707088,-4814.150983707088,-0.4814150983707088,3.7093539533937308,0.3770673696351322
EURUSD,2020-02,10,6,4,60.0,2.0149013896224903,2014.9013896224901,0.20149013896224904,1.2794011798145986,1.598893219901479
EURUSD,2020-03,11,4,7,36.36363636363637,-3.051667981479667,-3051.667981479668,-0.277424361952697,5.28738498219202,0.582510649959418
EURUSD,2020-04,19,6,13,31.57894736842105,-7.816028746207617,-7816.028746207617,-0.4113699340109272,9.829572502336646,0.4388103148557397
EURUSD,2020-05,11,4,7,36.36363636363637,-3.6631163272018274,-3663.116327201827,-0.33301057520016614,3.5105069833897717,0.4657530366241287
EURUSD,2020-06,20,4,16,20.0,-12.654039508641713,-12654.039508641712,-0.6327019754320856,13.541330551694514,0.24685801098659516
EURUSD,2020-07,17,2,15,11.76470588235294,-13.315346679805959,-13315.346679805956,-0.7832556870474093,12.373110459873477,0.1305922645293777
EURUSD,2020-08,20,9,11,45.0,-3.955771075757313,-3955.771075757312,-0.19778855378786564,8.493376941331436,0.6679346180748997
EURUSD,2020-09,17,5,12,29.411764705882355,-6.774512516869185,-6774.512516869186,-0.3985007362864227,7.791760326020765,0.41945760661615467
EURUSD,2020-10,16,5,11,31.25,-6.3514717407016725,-6351.471740701672,-0.39696698379385453,5.80908831911609,0.4380803622975024
EURUSD,2020-11,8,1,7,12.5,-6.687301227123888,-6687.3012271238895,-0.835912653390486,5.639835698182198,0.12724640213082344
EURUSD,2020-12,11,2,9,18.181818181818183,-7.434348451911242,-7434.34845191124,-0.6758498592646583,8.145236220058097,0.1952208087365832
EURUSD,2021-01,15,6,9,40.0,-3.857406825630849,-3857.4068256308497,-0.2571604550420566,3.6626669606730484,0.6082747522197863
EURUSD,2021-02,7,3,4,42.857142857142854,-1.6566463357480958,-1656.6463357480957,-0.236663762249728,3.5733642645838484,0.64493708367079
EURUSD,2021-03,13,4,9,30.76923076923077,-4.126385682666724,-4126.385682666723,-0.3174142832820557,4.886304149434395,0.49293161940704505
EURUSD,2021-04,7,3,4,42.857142857142854,-2.4289575967167565,-2428.9575967167566,-0.34699394238810805,3.4388827308235794,0.45706915040303686
EURUSD,2021-05,13,9,4,69.23076923076923,3.6944524708814344,3694.4524708814347,0.28418865160626416,1.2835433266182348,1.8315068138897301
EURUSD,2021-06,14,3,11,21.428571428571427,-9.461106316811353,-9461.106316811352,-0.6757933083436681,9.42516306985107,0.2313936047445671
EURUSD,2021-07,9,4,5,44.44444444444444,-2.586302607753547,-2586.302607753547,-0.2873669564170608,2.257284731689721,0.537205821828831
EURUSD,2021-08,8,3,5,37.5,-2.9126941094240175,-2912.6941094240165,-0.3640867636780022,2.7410287346528546,0.4936340615086517
EURUSD,2021-09,12,3,9,25.0,-7.451300904067206,-7451.300904067206,-0.6209417420056005,6.344945261402195,0.2779869046290187
EURUSD,2021-10,15,7,8,46.666666666666664,-1.9387424312633026,-1938.7424312633025,-0.1292494954175535,3.49482614906503,0.7807537755444544
EURUSD,2021-11,9,5,4,55.55555555555556,1.2050915906842932,1205.0915906842934,0.13389906563158813,1.1221431233011296,1.3131812387005355
EURUSD,2021-12,13,6,7,46.15384615384615,-0.8269578157602232,-826.9578157602232,-0.06361213967386332,3.366529788786541,0.8766524918535504
