pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2022-01-06 11:30:00,2022-01-06 11:30:00,long,1.13016,1.130563883223074,1.1296551459711577,1.130563883223074,1.0,0.7104402908447367,710.4402908447368,win,take_profit,2022-01-06
EURUSD,2022-02-07 11:35:00,2022-02-07 11:35:00,long,1.1440299999999999,1.1444876251410694,1.143457968573663,1.1444876251410694,1.0,0.7199860079067933,719.9860079067934,win,take_profit,2022-02-07
EURUSD,2022-02-08 11:15:00,2022-02-08 11:20:00,short,1.14126,1.1416486468105227,1.1416486468105227,1.1409490825515818,1.0,-1.1174797515894157,-1117.4797515894156,loss,stop_loss,2022-02-08
EURUSD,2022-02-16 11:10:00,2022-02-16 11:10:00,long,1.1365399999999999,1.1361783652638295,1.1361783652638295,1.136593,1.0,-1.1256913378019657,-1125.6913378019658,loss,stop_loss,2022-02-16
EURUSD,2022-02-17 11:25:00,2022-02-17 11:40:00,short,1.13638,1.1368731821941063,1.1368731821941063,1.135985454244715,1.0,-1.092187034882688,-1092.187034882688,loss,stop_loss,2022-02-17
EURUSD,2022-02-17 12:30:00,2022-02-17 12:30:00,long,1.13667,1.1363049157806833,1.1363049157806833,1.1367235,1.0,-1.1245178337046453,-1124.5178337046452,loss,stop_loss,2022-02-17
EURUSD,2022-02-17 13:25:00,2022-02-17 13:30:00,long,1.13611,1.1362843385302699,1.1358305724095212,1.1362843385302699,1.0,0.46126661707936545,461.26661707936546,win,take_profit,2022-02-17
EURUSD,2022-04-19 12:00:00,2022-04-19 12:00:00,long,1.07899,1.0790425044569838,1.0785597583128481,1.0790425044569838,1.0,0.021717576770328192,21.717576770328193,win,take_profit,2022-04-19
EURUSD,2022-05-02 12:55:00,2022-05-02 12:55:00,long,1.05207,1.0517077905966654,1.0517077905966654,1.0523597675226677,1.0,-1.1161632566155273,-1116.1632566155272,loss,stop_loss,2022-05-02
EURUSD,2022-05-10 11:05:00,2022-05-10 11:05:00,long,1.05412,1.0535473909699644,1.0535473909699644,1.0545780872240285,1.0,-1.073616098586828,-1073.616098586828,loss,stop_loss,2022-05-10
EURUSD,2022-05-11 11:50:00,2022-05-11 11:50:00,short,1.05463,1.0541185466490555,1.0552693166886806,1.0541185466490555,1.0,0.7340311636626029,734.0311636626029,win,take_profit,2022-05-11
EURUSD,2022-07-21 11:25:00,2022-07-21 11:25:00,short,1.01943,1.0193904999999999,1.0204522911780929,1.0193904999999999,1.0,-0.001248576603352035,-1.248576603352035,loss,take_profit,2022-07-21
EURUSD,2022-07-21 12:35:00,2022-07-21 12:40:00,long,1.0190299999999999,1.018330393213255,1.018330393213255,1.0193819653248442,1.0,-1.0582427506904166,-1058.2427506904166,loss,stop_loss,2022-07-21
EURUSD,2022-07-21 13:10:00,2022-07-21 13:35:00,long,1.0183,1.0177304691201863,1.0177304691201863,1.0187424257566335,1.0,-1.0714984825266956,-1071.4984825266956,loss,stop_loss,2022-07-21
EURUSD,2022-09-14 13:00:00,2022-09-14 13:00:00,short,1.0001200000000001,0.9999379600572998,1.0005495448521793,0.9999379600572998,1.0,0.33067267973122727,330.6726797312273,win,take_profit,2022-09-14
