pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-01,2,1,1,50.0,-0.500585023026128,-500.58502302612794,-0.250292511513064,1.202482394450375,0.5866436338757599
EURUSD,2022-02,9,4,5,44.44444444444444,-2.1369793378194952,-2136.979337819495,-0.2374421486466106,3.8796704750744113,0.5336156774311708
EURUSD,2022-03,3,1,2,33.33333333333333,-1.1208962234413047,-1120.8962234413048,-0.3736320744804349,1.093942460851033,0.004046722734381786
EURUSD,2022-04,2,2,0,100.0,0.2666706719920058,266.6706719920058,0.1333353359960029,0.0,inf
EURUSD,2022-05,3,1,2,33.33333333333333,-1.4557481915397523,-1455.748191539752,-0.48524939717991744,1.0857346700381205,0.33520781987405845
EURUSD,2022-07,4,0,4,0.0,-3.332009981821421,-3332.0099818214208,-0.8330024954553552,3.3308029928449443,0.0
EURUSD,2022-08,3,2,1,66.66666666666666,-0.41985368369749815,-419.85368369749807,-0.13995122789916606,0.0,0.6334610710170392
EURUSD,2022-09,4,2,2,50.0,-0.2082909627363012,-208.29096273630125,-0.0520727406840753,0.005264215642750976,0.8345880313293761
EURUSD,2022-10,3,3,0,100.0,1.596983564914019,1596.9835649140189,0.5323278549713396,0.0,inf
EURUSD,2022-12,3,2,1,66.66666666666666,-0.2929272622257324,-292.9272622257324,-0.0976424207419108,1.1939392949469054,0.7568718949088644
EURUSD,2023-01,6,2,4,33.33333333333333,-3.1764341875029354,-3176.4341875029354,-0.5294056979171559,2.8452030606493732,0.3035865109960702
EURUSD,2023-02,7,2,5,28.57142857142857,-3.3763585725932366,-3376.358572593237,-0.48233693894189095,3.4664125494397195,0.26682595015135235
EURUSD,2023-03,5,1,4,20.0,-2.7369906281453744,-2736.990628145375,-0.5473981256290749,2.690848422529428,0.20632459116844212
EURUSD,2023-04,4,2,2,50.0,0.8797804093021115,879.7804093021116,0.21994510232552789,0.0820630463910763,4.340599908519189
EURUSD,2023-05,6,1,5,16.666666666666664,-5.400432461949013,-5400.4324619490135,-0.9000720769915022,4.924043640784738,0.10778266885771667
EURUSD,2023-07,4,2,2,50.0,-1.490602541418896,-1490.6025414188957,-0.372650635354724,1.2738503301149127,0.37648262019073014
EURUSD,2023-08,7,2,5,28.57142857142857,-2.2002567004534925,-2200.2567004534926,-0.31432238577907035,2.2948656549691417,0.3533314131201624
EURUSD,2023-09,6,4,2,66.66666666666666,0.17647846992720562,176.47846992720565,0.029413078321200936,2.2144657009901847,1.0788337466564477
EURUSD,2023-10,2,1,1,50.0,-0.6981214834969871,-698.1214834969873,-0.34906074174849355,0.0,0.3539592991824855
EURUSD,2023-11,7,3,4,42.857142857142854,-3.259430801981718,-3259.4308019817177,-0.465632971711674,3.419126856477761,0.10761428215251109
EURUSD,2023-12,2,0,2,0.0,-2.4354071926242327,-2435.407192624233,-1.2177035963121163,1.1320110122481086,0.0
EURUSD,2024-01,2,1,1,50.0,-0.9216291058711081,-921.6291058711081,-0.46081455293555407,0.0,0.17786273579665507
EURUSD,2024-02,5,1,4,20.0,-1.6644954889005252,-1664.495488900525,-0.33289909778010507,1.6039493503841606,0.046336763905383764
