pair,month,trades,wins,losses,win_rate,total_pnl_r,total_pnl_usd,avg_pnl_r,max_drawdown_pct,profit_factor
EURUSD,2022-02,2,1,1,50.0,-0.036730457878978655,-36.730457878978655,-0.018365228939489327,0.0,0.6133472341819974
EURUSD,2022-03,3,1,2,33.33333333333333,-1.0940256599689357,-1094.025659968936,-0.36467521998964525,1.0730564469578052,0.00322740856318902
EURUSD,2022-04,2,1,1,50.0,-0.8691902431334761,-869.1902431334761,-0.4345951215667381,0.0,0.17978424524485195
EURUSD,2022-08,1,0,1,0.0,-1.113126599768146,-1113.1265997681462,-1.113126599768146,0.0,0.0
EURUSD,2022-09,1,0,1,0.0,-1.1975381056646568,-1197.5381056646568,-1.1975381056646568,0.0,0.0
EURUSD,2022-10,1,1,0,100.0,0.1432936760051068,143.29367600510682,0.1432936760051068,0.0,inf
EURUSD,2022-12,1,1,0,100.0,0.78630062692973,786.30062692973,0.78630062692973,0.0,inf
EURUSD,2023-01,1,1,0,100.0,0.758409087652488,758.4090876524881,0.758409087652488,0.0,inf
EURUSD,2023-02,1,0,1,0.0,-0.3768805072397923,-376.8805072397923,-0.3768805072397923,0.0,0.0
EURUSD,2023-03,1,1,0,100.0,0.018243360497168723,18.243360497168723,0.018243360497168723,0.0,inf
EURUSD,2023-09,1,1,0,100.0,0.6796138045988805,679.6138045988805,0.6796138045988805,0.0,inf
EURUSD,2023-10,1,0,1,0.0,-0.036939523795806777,-36.93952379580678,-0.036939523795806777,0.0,0.0
EURUSD,2023-11,1,1,0,100.0,0.20179501519350346,201.79501519350345,0.20179501519350346,0.0,inf
EURUSD,2023-12,1,0,1,0.0,-0.10689077555303882,-106.89077555303882,-0.10689077555303882,0.0,0.0
EURUSD,2024-02,4,1,3,25.0,-0.2557442475755173,-255.74424757551722,-0.06393606189387932,0.19725279414614544,0.3657968534959167
EURUSD,2024-03,1,1,0,100.0,0.39004278608134885,390.0427860813488,0.39004278608134885,0.0,inf
EURUSD,2024-05,1,1,0,100.0,0.14212620413456425,142.12620413456426,0.14212620413456425,0.0,inf
EURUSD,2024-06,1,0,1,0.0,-0.020406380971337002,-20.406380971337,-0.020406380971337002,0.0,0.0
EURUSD,2024-08,3,1,2,33.33333333333333,-1.298580055617659,-1298.580055617659,-0.4328600185392197,1.236310716219591,0.005713189718408782
EURUSD,2024-09,1,1,0,100.0,0.29632849313454906,296.3284931345491,0.29632849313454906,0.0,inf
EURUSD,2024-10,2,0,2,0.0,-1.132151101027342,-1132.151101027342,-0.566075550513671,0.011564442747672446,0.0
EURUSD,2024-11,2,1,1,50.0,-1.0238102730668504,-1023.8102730668505,-0.5119051365334252,1.1167121466257348,0.08405286120900594
EURUSD,2025-01,1,0,1,0.0,-1.1135168842439085,-1113.5168842439084,-1.1135168842439085,0.0,0.0
EURUSD,2025-03,2,2,0,100.0,1.5912257983201958,1591.2257983201957,0.7956128991600979,0.0,inf
EURUSD,2025-04,1,1,0,100.0,0.6524806656441665,652.4806656441665,0.6524806656441665,0.0,inf
EURUSD,2025-07,2,2,0,100.0,0.26855387026224975,268.5538702622497,0.13427693513112487,0.0,inf
EURUSD,2025-08,3,0,3,0.0,-0.22809069120324021,-228.09069120324023,-0.07603023040108008,0.12819149270341115,0.0
EURUSD,2025-09,1,1,0,100.0,0.3281839665821978,328.1839665821978,0.3281839665821978,0.0,inf
EURUSD,2025-12,3,1,2,33.33333333333333,-1.0955443722290226,-1095.5443722290227,-0.36518145740967417,1.2116985435392238,0.15929294167637945
