pair,entry_time_ny,exit_time_ny,direction,entry_price,exit_price,sl,tp,risk_r,pnl_r,pnl_usd,result,exit_reason,session_date
EURUSD,2022-01-06 11:30:00,2022-01-06 11:30:00,long,1.13016,1.1306936667507368,1.129510901962917,1.1306936667507368,1.0,0.7525050845554186,752.5050845554186,win,take_profit,2022-01-06
EURUSD,2022-02-04 13:25:00,2022-02-04 13:50:00,short,1.14562,1.1452144542922333,1.1460706063419632,1.1452144542922333,1.0,0.7983217898562248,798.3217898562248,win,take_profit,2022-02-04
EURUSD,2022-02-17 13:25:00,2022-02-17 13:30:00,long,1.13611,1.1362843385302699,1.1357507359550987,1.1362843385302699,1.0,0.3587629816797925,358.76298167979246,win,take_profit,2022-02-17
EURUSD,2022-03-07 13:05:00,2022-03-07 13:10:00,short,1.08746,1.088180064443492,1.088180064443492,1.0870975,1.0,-1.060428588770763,-1060.4285887707629,loss,stop_loss,2022-03-07
EURUSD,2022-04-06 11:50:00,2022-04-06 11:50:00,long,1.0909,1.0913294525393848,1.0904228305117947,1.0913294525393848,1.0,0.8085342492435769,808.5342492435768,win,take_profit,2022-04-06
EURUSD,2022-05-10 11:05:00,2022-05-10 11:05:00,long,1.05412,1.0533837883899542,1.0533837883899542,1.0546079071136665,1.0,-1.0572525696490112,-1057.252569649011,loss,stop_loss,2022-05-10
EURUSD,2022-05-11 11:35:00,2022-05-11 11:35:00,long,1.05487,1.0552875840829237,1.0539963726546813,1.0552875840829237,1.0,0.4296805337080588,429.6805337080588,win,take_profit,2022-05-11
EURUSD,2022-07-08 11:30:00,2022-07-08 12:05:00,short,1.01775,1.017315511267617,1.0186655194237082,1.017315511267617,1.0,0.43012455032448293,430.1245503244829,win,take_profit,2022-07-08
EURUSD,2022-07-21 13:10:00,2022-07-21 13:35:00,long,1.0183,1.017567746011668,1.017567746011668,1.0187424257566335,1.0,-1.0556052230268713,-1055.6052230268713,loss,stop_loss,2022-07-21
EURUSD,2022-09-14 13:00:00,2022-09-14 13:00:00,short,1.0001200000000001,0.9999379600572998,1.0006722719528018,0.9999379600572998,1.0,0.25718990935943786,257.1899093594379,win,take_profit,2022-09-14
EURUSD,2022-09-27 11:40:00,2022-09-27 12:05:00,long,0.96216,0.9610612926096542,0.9610612926096542,0.9631488366513112,1.0,-1.0350083002307542,-1035.0083002307542,loss,stop_loss,2022-09-27
EURUSD,2022-09-30 13:25:00,2022-09-30 13:25:00,short,0.9786,0.9785639999999999,0.9793692658811473,0.9785639999999999,1.0,-0.004086075403008884,-4.086075403008884,loss,take_profit,2022-09-30
EURUSD,2022-10-14 11:25:00,2022-10-14 11:30:00,short,0.9744900000000001,0.9742875,0.9756349495321179,0.9742875,1.0,0.14282225463009204,142.82225463009203,win,take_profit,2022-10-14
EURUSD,2022-11-16 11:45:00,2022-11-16 11:50:00,short,1.03925,1.0400407706891213,1.0400407706891213,1.0385383063797908,1.0,-1.0525888797134602,-1052.58887971346,loss,stop_loss,2022-11-16
EURUSD,2022-11-24 11:45:00,2022-11-24 12:05:00,long,1.04082,1.0402895351076815,1.0402895351076815,1.0412611043653888,1.0,-1.0784630995115032,-1078.4630995115033,loss,stop_loss,2022-11-24
EURUSD,2023-01-10 12:55:00,2023-01-10 13:20:00,short,1.07342,1.0729603025498322,1.073930774944631,1.0729603025498322,1.0,0.8159557517405307,815.9557517405307,win,take_profit,2023-01-10
