context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
mon_tue|early|balanced|deep|long,4,3,1,75.0,3.9357729792593243,1331.478606117493,0.5089704227680768
mon_tue|early|active|deep|long,2,2,0,100.0,inf,496.7283985883301,0.37451786045031166
mon_tue|late|active|deep|long,1,1,0,100.0,inf,464.59803545339753,1.290334920444259
wed_thu|core|active|mild|short,1,1,0,100.0,inf,327.46291967893774,0.4867086656919838
wed_thu|core|active|deep|long,2,2,0,100.0,inf,297.6390760330835,0.3605777083246401
mon_tue|early|balanced|mild|short,1,1,0,100.0,inf,170.01624070633085,0.29584660840848537
wed_thu|early|active|mild|long,1,1,0,100.0,inf,166.1890157040762,0.5232612479486936
mon_tue|core|balanced|deep|long,1,1,0,100.0,inf,156.75818265119955,0.37390669407700655
wed_thu|core|calm|deep|long,1,1,0,100.0,inf,126.43603609025796,0.3624621255748891
fri|core|active|deep|short,1,1,0,100.0,inf,61.987222218369546,0.1703580186326173
mon_tue|late|balanced|deep|long,1,1,0,100.0,inf,57.871741974812636,0.21346036079092745
fri|late|calm|deep|long,1,1,0,100.0,inf,56.822158038035035,0.19676193600211447
fri|core|balanced|deep|long,1,1,0,100.0,inf,49.524487381485706,0.1799733391320428
mon_tue|early|balanced|deep|short,3,2,1,66.66666666666666,1.0362482605113341,20.749751529981495,-0.0906959688241862
fri|core|balanced|mild|short,1,1,0,100.0,inf,14.863582231075682,0.0647341838346209
fri|core|balanced|deep|short,1,1,0,100.0,inf,4.402704540321523,0.01893795298211872
wed_thu|early|balanced|deep|short,3,2,1,66.66666666666666,0.9454970695005874,-42.37429684268818,0.07075546930931831
mon_tue|core|balanced|mild|long,3,2,1,66.66666666666666,0.7844366747632374,-94.08499215449814,-0.19535472723017078
wed_thu|core|active|deep|short,2,1,1,50.0,0.49170425770333953,-228.90215107617286,-0.5032277892374037
wed_thu|core|balanced|mild|long,2,1,1,50.0,0.39341873043251796,-278.633101155516,-0.532688198720968
mon_tue|late|balanced|deep|short,2,1,1,50.0,0.22496800590636748,-387.9771350650496,-0.5447858164094384
mon_tue|core|balanced|mild|short,2,1,1,50.0,0.20557928235597323,-420.8564455025886,-0.5224661447270282
wed_thu|core|balanced|deep|long,2,1,1,50.0,0.2896085542713069,-424.900931373252,-0.45170578839670916
fri|late|active|deep|short,1,0,1,0.0,0.0,-427.36126271962763,-1.4499578892007352
wed_thu|core|balanced|deep|short,2,1,1,50.0,0.2028815816933265,-451.01431277634646,-0.5171348932296642
mon_tue|core|active|deep|short,1,0,1,0.0,0.0,-481.70685541579576,-1.3776461473198534
wed_thu|late|balanced|deep|long,3,1,2,33.33333333333333,0.2317469058659889,-592.13902704081,-0.9838986526809572
wed_thu|late|active|deep|short,2,1,1,50.0,0.22446335466127404,-668.422324677604,-0.3884100059104053
wed_thu|early|balanced|deep|long,6,3,3,50.0,0.6529525404728974,-794.9677201009562,-0.1474456876122269
mon_tue|early|balanced|mild|long,1,0,1,0.0,0.0,-803.9505190651511,-1.142348872750781
mon_tue|core|balanced|deep|short,3,1,2,33.33333333333333,0.01813780389643971,-837.547842826735,-0.46756924657696125
fri|early|balanced|deep|long,1,0,1,0.0,0.0,-839.3632907355836,-1.1805294252977552
wed_thu|early|active|deep|short,2,0,2,0.0,0.0,-1240.111023746927,-1.3223443561564534
fri|early|active|deep|short,2,0,2,0.0,0.0,-1584.8725802785614,-1.2187730277014894
