pair,month,trades,wins,losses,net_pnl_usd,profit_factor
AUDUSD,2020-02,1,1,0,68.71545959965343,inf
AUDUSD,2020-05,1,0,1,-828.1681786361074,0.0
AUDUSD,2020-06,1,0,1,-817.2917004160736,0.0
AUDUSD,2020-07,1,0,1,-891.2463933732146,0.0
AUDUSD,2020-08,2,2,0,335.9152820361487,inf
AUDUSD,2020-10,3,2,1,-340.8939832320199,0.5991453007369082
AUDUSD,2020-11,1,1,0,263.55533185258207,inf
AUDUSD,2021-03,3,2,1,-469.7627962626965,0.4226955552490084
AUDUSD,2021-04,1,1,0,224.69036577252677,inf
AUDUSD,2021-05,2,1,1,-114.97874596682328,0.7016675941933395
AUDUSD,2021-06,2,1,1,-754.9989549958149,0.13194177747852054
AUDUSD,2021-07,1,0,1,-8.561278050102324,0.0
AUDUSD,2021-08,1,0,1,-896.641022602425,0.0
AUDUSD,2021-09,3,2,1,384.14433688146653,5.138308495978426
