pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason,strategy_family,context_key,context_trades_before,context_win_rate_before,context_expectancy_before
AUDUSD,long,2020-02-13 13:35:00-05:00,2020-02-13 14:25:00-05:00,0.67234,0.6723899999999999,2974000,148.69999999965344,68.71545959965343,0.11558793736325401,79.9845404,time_stop,adaptive_session_reversion,wed_thu|core|balanced|deep|long,0,0.0,0.0
AUDUSD,long,2020-05-06 12:20:00-04:00,2020-05-06 12:45:00-04:00,0.64232,0.6416462129571678,1184000,-797.7638587132816,-828.1681786361074,-1.1036299574154917,30.404319922825735,stop_loss,adaptive_session_reversion,wed_thu|early|balanced|deep|long,0,0.0,0.0
AUDUSD,long,2020-06-19 11:05:00-04:00,2020-06-19 11:10:00-04:00,0.6870900000000001,0.6863669717102184,1089000,-787.377807572225,-817.2917004160736,-1.0987794216485762,29.913892843848565,stop_loss,adaptive_session_reversion,fri|early|balanced|deep|long,0,0.0,0.0
AUDUSD,long,2020-07-16 14:35:00-04:00,2020-07-16 14:50:00-04:00,0.6972200000000001,0.6968528254310773,2256000,-828.3458274897644,-891.2463933732146,-1.2074777900133609,62.90056588345021,stop_loss,adaptive_session_reversion,wed_thu|late|balanced|deep|long,0,0.0,0.0
AUDUSD,long,2020-08-11 12:10:00-04:00,2020-08-11 12:25:00-04:00,0.7157600000000001,0.7159428128064307,1641000,299.9958153526493,253.00732903634224,0.34598269427218536,46.98848631630706,take_profit,adaptive_session_reversion,mon_tue|early|balanced|deep|long,0,0.0,0.0
AUDUSD,long,2020-08-13 12:10:00-04:00,2020-08-13 13:00:00-04:00,0.7162000000000001,0.71627,2005000,140.34999999980647,82.90795299980647,0.11305577281970651,57.442047,time_stop,adaptive_session_reversion,wed_thu|early|balanced|deep|long,1,0.0,-1.1036299574154917
AUDUSD,long,2020-10-06 12:15:00-04:00,2020-10-06 12:35:00-04:00,0.71504,0.7145680519436464,1699000,-801.8397477448408,-850.4178293498859,-1.1587972443213441,48.5780816050451,stop_loss,adaptive_session_reversion,mon_tue|early|balanced|deep|long,1,1.0,0.34598269427218536
AUDUSD,long,2020-10-23 11:05:00-04:00,2020-10-23 11:10:00-04:00,0.71064,0.7108212563856589,1644000,297.98549802306917,251.24785191310866,0.3453621464439291,46.737646109960465,take_profit,adaptive_session_reversion,fri|early|balanced|deep|long,1,0.0,-1.0987794216485762
AUDUSD,long,2020-10-26 11:10:00-04:00,2020-10-26 11:15:00-04:00,0.7115,0.7116946646617648,1554000,302.50888438244505,258.27599420475735,0.35412398104940507,44.23289017768765,take_profit,adaptive_session_reversion,mon_tue|early|calm|deep|long,0,0.0,0.0
AUDUSD,long,2020-11-12 13:40:00-05:00,2020-11-12 13:55:00-05:00,0.7238800000000001,0.7240871576743588,1479000,306.3862003765896,263.55533185258207,0.3604952418888243,42.83086852400754,take_profit,adaptive_session_reversion,wed_thu|core|balanced|deep|long,1,1.0,0.11558793736325401
