pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-02,1,0,1,-839.7995776107693,0.0
EURUSD,2020-03,1,1,0,307.80147026487776,inf
EURUSD,2020-04,1,0,1,-826.7175180622993,0.0
EURUSD,2020-08,1,0,1,-853.5580225470395,0.0
EURUSD,2020-09,2,1,1,-424.46301176777047,0.4837440345310954
EURUSD,2020-12,3,3,0,857.5564269468257,inf
EURUSD,2021-07,1,1,0,290.4784196607251,inf
EURUSD,2021-08,1,1,0,263.938836914513,inf
EURUSD,2021-09,1,1,0,125.71430750427882,inf
EURUSD,2021-10,2,1,1,-390.57736997898417,0.3409018270155367
EURUSD,2021-11,1,1,0,74.20135883487083,inf
EURUSD,2021-12,3,0,3,-2255.3471399923496,0.0
