pair,month,trades,wins,losses,net_pnl_usd,profit_factor
GBPUSD,2020-01,1,0,1,-870.9199008522485,0.0
GBPUSD,2020-02,1,0,1,-611.0268649205183,0.0
GBPUSD,2020-06,2,0,2,-1674.0709443253404,0.0
GBPUSD,2020-07,1,0,1,-613.9938527815641,0.0
GBPUSD,2020-09,1,1,0,694.1503920000154,inf
GBPUSD,2020-10,3,2,1,629.1800306170678,1.8158316377117936
GBPUSD,2020-11,1,1,0,403.68574655789826,inf
GBPUSD,2020-12,1,0,1,-858.7234806086655,0.0
GBPUSD,2021-02,1,1,0,421.56830487629907,inf
GBPUSD,2021-05,1,0,1,-818.9476974407572,0.0
GBPUSD,2021-10,1,0,1,-525.7752865573432,0.0
GBPUSD,2021-11,1,0,1,-847.5870817202259,0.0
GBPUSD,2021-12,1,1,0,386.9478401317684,inf
