pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2020-01,3,3,0,515.7442004424518,inf
USDCAD,2020-04,2,2,0,693.3309565196503,inf
USDCAD,2020-06,1,1,0,423.59197435846295,inf
USDCAD,2020-07,2,2,0,720.64463595495,inf
USDCAD,2020-08,1,0,1,-714.3192003161246,0.0
USDCAD,2020-09,3,1,2,-616.3675696631119,0.31284654805507894
USDCAD,2020-11,1,0,1,-697.3750719817365,0.0
USDCAD,2021-01,2,2,0,522.5047411840075,inf
USDCAD,2021-02,1,0,1,-843.5621501691928,0.0
USDCAD,2021-03,2,1,1,-467.4459404854912,0.4153617012435814
USDCAD,2021-04,3,2,1,-84.72744687590819,0.8701921910243664
USDCAD,2021-05,1,1,0,192.7342421529815,inf
USDCAD,2021-06,1,0,1,-531.0695049840015,0.0
USDCAD,2021-08,1,0,1,-511.24865494414973,0.0
USDCAD,2021-09,4,3,1,1514.4513007026399,2.7253447470513126
USDCAD,2021-10,1,0,1,-840.0054204117178,0.0
USDCAD,2021-11,1,0,1,-876.4954368342053,0.0
USDCAD,2021-12,2,1,1,-651.7406842023366,0.2636257642559351
