context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
fri|core|balanced|deep|long,5,5,0,100.0,inf,2819.306010630051,0.9309205383804958
wed_thu|core|balanced|mild|long,1,1,0,100.0,inf,992.9030930887191,1.4093153544534394
wed_thu|core|balanced|deep|long,7,6,1,85.71428571428571,2.2045799891145323,722.0615645992619,0.1891841381646551
fri|core|calm|deep|short,1,1,0,100.0,inf,414.90608994850436,0.5839534953165212
wed_thu|late|balanced|mild|long,1,1,0,100.0,inf,368.91691120004583,2.1444205874022555
wed_thu|core|calm|deep|long,2,2,0,100.0,inf,362.68863015982845,0.4087956937004864
mon_tue|core|balanced|mild|short,1,1,0,100.0,inf,256.43172139159554,0.4567506944947107
wed_thu|early|balanced|deep|short,3,2,1,66.66666666666666,1.3264025580967784,244.58878997384545,0.14949697246381108
fri|early|calm|deep|long,1,1,0,100.0,inf,193.8393108505768,0.38661106624104785
wed_thu|late|calm|deep|long,1,1,0,100.0,inf,167.25555962008184,0.4208914279789325
fri|core|balanced|deep|short,2,1,1,50.0,0.6280757015129806,-224.83077028981563,-0.3724035892158638
mon_tue|early|balanced|deep|short,4,3,1,75.0,0.6463698410274893,-286.58059706117604,-0.05743973503374181
mon_tue|late|balanced|deep|long,1,0,1,0.0,0.0,-430.90486269486115,-1.4702233914766385
wed_thu|late|balanced|deep|long,3,2,1,66.66666666666666,0.4702092831955178,-470.45564015350175,-0.1482301023094423
fri|late|balanced|deep|short,1,0,1,0.0,0.0,-590.4859765232175,-1.292938197509682
mon_tue|early|balanced|deep|long,5,3,2,60.0,0.6410973456818213,-590.4899255520593,-0.16025248518930907
fri|late|balanced|mild|short,1,0,1,0.0,0.0,-630.7003463407374,-1.2298392869422126
wed_thu|early|calm|deep|short,1,0,1,0.0,0.0,-660.2562137230152,-0.888154971433779
mon_tue|early|balanced|mild|long,1,0,1,0.0,0.0,-779.447342765559,-1.15886290048943
wed_thu|late|calm|deep|short,1,0,1,0.0,0.0,-790.2859169012719,-1.1073046197923089
wed_thu|early|balanced|deep|long,4,2,2,50.0,0.4530566402606634,-912.8744624009611,-0.3294072856633228
mon_tue|core|balanced|deep|long,3,1,2,33.33333333333333,0.05884156075943924,-1006.7437114071807,-0.8412087876868913
mon_tue|late|balanced|deep|short,3,1,2,33.33333333333333,0.08734508190671933,-1161.675836857412,-0.759450889583039
mon_tue|core|balanced|deep|short,3,1,2,33.33333333333333,0.01670540811422932,-1254.0637832590626,-0.8417269059126743
fri|early|balanced|deep|long,3,1,2,33.33333333333333,0.2447336030682013,-1313.9556328157537,-0.5872787969718657
mon_tue|core|balanced|mild|long,2,0,2,0.0,0.0,-1420.0042394619913,-1.2366664914285517
mon_tue|early|calm|deep|long,2,0,2,0.0,0.0,-1569.2374218217647,-1.1910713610913806
mon_tue|core|calm|deep|long,3,0,3,0.0,0.0,-2108.9161361654033,-1.2681345488364288
fri|early|balanced|deep|short,3,0,3,0.0,0.0,-2254.6158879998193,-1.2468701172657293
wed_thu|core|balanced|deep|short,3,0,3,0.0,0.0,-2480.46301382532,-1.1958638255043645
