context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
fri|core|balanced|deep|long,3,3,0,100.0,inf,835.2509088923607,0.49067820566709885
fri|early|balanced|deep|long,1,1,0,100.0,inf,690.3812496000153,0.961962329966983
wed_thu|late|balanced|mild|long,1,1,0,100.0,inf,410.19798200005096,2.144420587402255
wed_thu|early|balanced|deep|long,1,1,0,100.0,inf,389.9260108082195,0.5281352314816613
wed_thu|late|calm|deep|long,1,1,0,100.0,inf,186.0109736867766,0.4208914279789324
wed_thu|core|balanced|deep|long,1,1,0,100.0,inf,124.06612665649466,0.26125026015511943
wed_thu|core|calm|deep|long,1,1,0,100.0,inf,121.157267983874,0.3624621255748893
wed_thu|early|balanced|deep|short,2,1,1,50.0,0.765727272157352,-183.30219599369718,-0.0649032128584684
mon_tue|early|balanced|deep|long,1,0,1,0.0,0.0,-218.63157119986775,-0.304860398909077
fri|late|balanced|deep|short,1,0,1,0.0,0.0,-619.9704314913133,-1.2929381975096819
fri|late|balanced|mild|short,1,0,1,0.0,0.0,-670.4555881324056,-1.2298392869422123
wed_thu|core|balanced|deep|short,2,1,1,50.0,0.1417136159979295,-672.233378805565,-0.44217474253090255
mon_tue|core|balanced|deep|long,3,1,2,33.33333333333333,0.3422261248590559,-797.1385126205662,-0.7091504293164906
wed_thu|late|calm|deep|short,1,0,1,0.0,0.0,-823.6569153116902,-1.1073046197923087
mon_tue|core|calm|deep|long,1,0,1,0.0,0.0,-841.8475845422821,-1.1692285194883483
mon_tue|late|balanced|deep|short,2,0,2,0.0,0.0,-1348.6715880250633,-1.2793772680654323
mon_tue|early|balanced|deep|short,2,0,2,0.0,0.0,-1390.9455863136495,-1.2353001415787603
