pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-03,1,0,1,-823.6569153116902,0.0
EURUSD,2020-04,1,1,0,414.7346595235233,inf
EURUSD,2020-08,1,0,1,-783.2273601627395,0.0
EURUSD,2020-09,2,1,1,-279.2757393325645,0.5834537823593896
EURUSD,2020-12,3,2,1,377.5773844869598,2.727003023464473
GBPUSD,2020-06,2,0,2,-1698.5806881846856,0.0
GBPUSD,2020-07,1,0,1,-619.9704314913133,0.0
GBPUSD,2020-09,1,1,0,690.3812496000153,inf
GBPUSD,2020-10,1,0,1,-763.9861843187393,0.0
GBPUSD,2020-11,1,1,0,394.2977059402727,inf
GBPUSD,2020-12,1,0,1,-841.8475845422821,0.0
USDJPY,2020-02,1,1,0,49.77335415224695,inf
USDJPY,2020-03,1,0,1,-782.430792016108,0.0
USDJPY,2020-04,2,2,0,989.0546068306303,inf
USDJPY,2020-05,1,1,0,124.06612665649466,inf
USDJPY,2020-07,1,0,1,-447.8869878253502,0.0
USDJPY,2020-08,1,0,1,-487.79782701980776,0.0
USDJPY,2020-09,1,1,0,121.157267983874,inf
USDJPY,2020-10,2,1,1,-442.24467777704507,0.20062585924648224
