pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,10,3,7,-2425.187716120124,0.17858829393310854
EURUSD,2020-02,7,2,5,-1904.6089929982359,0.10754281726549741
EURUSD,2020-03,16,8,8,-2333.4284175298453,0.5715255656455659
EURUSD,2020-04,8,5,3,107.8407551026869,1.0816522246821607
EURUSD,2020-05,12,6,6,-2069.975756375503,0.4413130281819673
EURUSD,2020-06,13,7,6,-843.5832500179042,0.7150487126164985
EURUSD,2020-07,16,9,7,-1228.6980779534472,0.6497310768863376
EURUSD,2020-08,10,5,5,-1053.2229319866294,0.5213205114749564
EURUSD,2020-09,10,4,6,-1601.726340786374,0.30220511904580993
EURUSD,2020-10,13,6,7,-1719.7179220081753,0.31008992082100584
EURUSD,2020-11,9,3,6,-1381.0743394986773,0.30196932594938897
EURUSD,2020-12,16,9,7,-514.3864056317205,0.7592511748604552
GBPUSD,2020-01,9,4,5,-1354.763905095532,0.465508312412533
GBPUSD,2020-02,15,6,9,-3281.8883371064476,0.346202257053861
GBPUSD,2020-03,9,4,5,-1517.139601084591,0.544372089900274
GBPUSD,2020-04,11,4,7,-2853.226177091373,0.3008964511158055
GBPUSD,2020-05,9,6,3,220.38765643393344,1.1181890101151
GBPUSD,2020-06,13,6,7,-1946.0136549696742,0.5177262701138704
GBPUSD,2020-07,15,7,8,-1725.9327555427797,0.5382314055239444
GBPUSD,2020-08,11,4,7,-2390.3454308673213,0.3092170055889642
GBPUSD,2020-09,9,3,6,-1854.96870501233,0.2977039973766218
GBPUSD,2020-10,11,3,8,-2467.7161248690513,0.21853230652747666
GBPUSD,2020-11,12,4,8,-1889.8630791209118,0.3372934403896192
GBPUSD,2020-12,13,8,5,-200.93534932465036,0.8822522497393903
USDJPY,2020-01,15,8,7,-2382.246731510881,0.42812873307605875
USDJPY,2020-02,14,7,7,-1760.0261185691625,0.5194080889539251
USDJPY,2020-03,12,4,8,-3597.900291923139,0.3357141371175166
USDJPY,2020-04,10,5,5,-1290.6465220285722,0.5545882874389136
USDJPY,2020-05,13,6,7,-2688.8749962638813,0.31073297562539004
USDJPY,2020-06,8,2,6,-2110.803733921706,0.1819224565219541
USDJPY,2020-07,9,3,6,-1692.8551732857316,0.2625475832810092
USDJPY,2020-08,12,7,5,-689.5840545249575,0.7094596978510779
USDJPY,2020-09,15,9,6,-1210.17727632929,0.4985187497635178
USDJPY,2020-10,13,7,6,-1212.1708871150122,0.3529220760987826
USDJPY,2020-11,7,3,4,-865.3343894758827,0.3138630062231995
USDJPY,2020-12,13,4,9,-2144.1667417722606,0.19336525530069884
