pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,14,8,6,-1649.298920040831,0.35530417919303464
EURUSD,2020-02,10,4,6,-2452.0458461605967,0.16146153127971907
EURUSD,2020-03,17,10,7,-1687.6998699390742,0.6515801788589793
EURUSD,2020-04,10,6,4,-680.2218359354536,0.6360185089490134
EURUSD,2020-05,12,7,5,-1746.3845041671457,0.43935358294639465
EURUSD,2020-06,14,9,5,-778.6023107937084,0.6794998911889824
EURUSD,2020-07,16,8,8,-2471.59104030309,0.34672299057752776
EURUSD,2020-08,14,7,7,-1562.6334736041806,0.41500345395115357
EURUSD,2020-09,14,5,9,-2501.8368471884096,0.17672042467277588
EURUSD,2020-10,13,5,8,-1966.0281064845544,0.16048196760210726
EURUSD,2020-11,11,5,6,-798.929940330568,0.4402481540959073
EURUSD,2020-12,18,11,7,-847.9493785192178,0.5689745167644186
GBPUSD,2020-01,10,4,6,-2281.69509070849,0.247337577401166
GBPUSD,2020-02,15,8,7,-2686.0062686394267,0.37022406307689587
GBPUSD,2020-03,12,7,5,-1148.1948397646606,0.6589200019580507
GBPUSD,2020-04,13,5,8,-3910.803283571811,0.2274173393569588
GBPUSD,2020-05,10,7,3,-120.57415988812465,0.9328074969132018
GBPUSD,2020-06,15,8,7,-2045.723506356831,0.47143359247290767
GBPUSD,2020-07,18,9,9,-2282.2492557827695,0.41842429579089724
GBPUSD,2020-08,13,5,8,-2670.3528095568117,0.22963038343475817
GBPUSD,2020-09,11,5,6,-1495.0386529943698,0.35253966888859656
GBPUSD,2020-10,14,5,9,-2230.8648439421513,0.2422409957962329
GBPUSD,2020-11,14,7,7,-1070.9971459032042,0.4556774340858818
GBPUSD,2020-12,16,10,6,-559.2520022972026,0.6741820147537616
USDJPY,2020-01,16,10,6,-2150.5755279496834,0.39253706680380085
USDJPY,2020-02,17,11,6,-1551.569031045076,0.5639301261760116
USDJPY,2020-03,16,8,8,-2837.787044016572,0.489863870092898
USDJPY,2020-04,11,4,7,-3386.970394407366,0.19475399855445594
USDJPY,2020-05,16,7,9,-3758.7364396582752,0.20888336919128617
USDJPY,2020-06,13,6,7,-2398.5032819717894,0.22666527652928206
USDJPY,2020-07,12,6,6,-1420.6764529498928,0.32411324265719554
USDJPY,2020-08,15,7,8,-2376.530311051322,0.32150764718029795
USDJPY,2020-09,16,10,6,-1428.3883200152527,0.32463352305862553
USDJPY,2020-10,17,7,10,-1895.8806419546243,0.1415083985246038
USDJPY,2020-11,9,4,5,-978.8921814255865,0.2509341425692124
USDJPY,2020-12,14,5,9,-1890.455311648273,0.13827166431906518
