pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,13,4,9,-2453.483987181823,0.5150194865108004
EURUSD,2020-02,7,3,4,-951.1960186439088,0.6164378500317902
EURUSD,2020-03,15,5,10,-1514.5193996625403,0.7861465464904032
EURUSD,2020-04,7,5,2,2686.622353414315,3.0415257594352356
EURUSD,2020-05,11,5,6,-1.5685047183475262,0.9996308753840578
EURUSD,2020-06,12,2,10,-5207.392070344065,0.14537364164261668
EURUSD,2020-07,15,4,11,-3114.590568399493,0.4377495898838809
EURUSD,2020-08,8,0,8,-3675.5596637823405,0.0
EURUSD,2020-09,11,3,8,-1376.7895572648983,0.5485398045498782
EURUSD,2020-10,13,6,7,-687.488383182666,0.7257529418692422
EURUSD,2020-11,7,0,7,-2339.065576412456,0.0
EURUSD,2020-12,14,3,11,-2010.1811742439627,0.40381830840687843
GBPUSD,2020-01,8,3,5,-1118.750198562607,0.6941775801762016
GBPUSD,2020-02,13,5,8,108.83741510197342,1.0231782120380382
GBPUSD,2020-03,10,6,4,2876.1835691502793,2.002185751954096
GBPUSD,2020-04,8,1,7,-4461.72551085575,0.09273042964293036
GBPUSD,2020-05,9,3,6,-2301.3936587052867,0.44732300247969664
GBPUSD,2020-06,15,2,13,-5844.072607484268,0.23564005668354268
GBPUSD,2020-07,12,3,9,-2964.466126839885,0.035349746165839975
GBPUSD,2020-08,13,6,7,-513.3631307612852,0.8457581333012117
GBPUSD,2020-09,11,3,8,-2022.2290967443819,0.4037266432791823
GBPUSD,2020-10,14,3,11,-3524.252106174558,0.15714721640074805
GBPUSD,2020-11,13,8,5,2570.59613372848,2.482924006075202
GBPUSD,2020-12,12,4,8,-1072.3748589930915,0.5944342460234057
USDJPY,2020-01,16,2,14,-9212.892164327352,0.031256577116712016
USDJPY,2020-02,14,7,7,1697.5669416651285,1.3892884870632682
USDJPY,2020-03,10,4,6,465.53974188945745,1.113365066942573
USDJPY,2020-04,12,5,7,-114.18696607297136,0.9770834107428957
USDJPY,2020-05,11,4,7,-1957.5070359329648,0.5871244431463494
USDJPY,2020-06,13,2,11,-5712.305980298867,0.09478708348964354
USDJPY,2020-07,9,2,7,-2650.4649697486584,0.22291116008443704
USDJPY,2020-08,12,4,8,-1235.3734564591932,0.6748783249329383
USDJPY,2020-09,15,7,8,830.6389692619441,1.295676763606144
USDJPY,2020-10,15,5,10,-1814.2790304621772,0.41129927722369214
USDJPY,2020-11,10,2,8,-1951.041587087077,0.2498432700670498
USDJPY,2020-12,12,5,7,-70.92771425790124,0.9685335615321022
