pair,direction,entry_time,exit_time,entry_price,exit_price,units,gross_pnl_usd,net_pnl_usd,r_multiple,commission_usd,exit_reason
EURUSD,short,2020-01-02 18:40:00-05:00,2020-01-02 18:45:00-05:00,1.11704,1.11711,1790000,-125.30000000002595,-205.28257000002594,-0.838991319501299,79.98257000000001,session_close
EURUSD,short,2020-01-03 13:25:00-05:00,2020-01-03 14:25:00-05:00,1.11697,1.1164076201754263,1786000,1004.4103666887074,924.6341180960412,1.5731158477199727,79.77624859266624,take_profit
USDJPY,short,2020-01-03 15:45:00-05:00,2020-01-03 15:55:00-05:00,108.0615,108.09659629574331,2014000,-653.9057276195683,-734.4657276195683,-1.2472944620025501,80.56,stop_loss
GBPUSD,short,2020-01-06 11:50:00-05:00,2020-01-06 12:05:00-05:00,1.31588,1.3166899653937632,973000,-788.0963281316056,-839.3261396581681,-1.1203319007041155,51.229811526562635,stop_loss
USDJPY,short,2020-01-06 12:40:00-05:00,2020-01-06 12:45:00-05:00,108.3535,108.39032202629669,1982000,-673.3271468510617,-752.6071468510617,-1.2349186543772943,79.28,stop_loss
USDJPY,long,2020-01-08 18:05:00-05:00,2020-01-08 18:30:00-05:00,109.1165,109.07276096593876,1967000,-788.759030386815,-867.439030386815,-1.1958356860652768,78.68,stop_loss
USDJPY,long,2020-01-09 12:50:00-05:00,2020-01-09 13:10:00-05:00,109.4805,109.4489109774419,1947000,-561.9507791043831,-639.8307791043832,-1.2807887477588689,77.88000000000001,stop_loss
GBPUSD,short,2020-01-09 12:45:00-05:00,2020-01-09 18:40:00-05:00,1.3062799999999999,1.3069268170854385,1205000,-779.4145879534731,-842.3928722452322,-1.1520460424661125,62.97828429175907,stop_loss
USDJPY,long,2020-01-10 12:00:00-05:00,2020-01-10 12:10:00-05:00,109.5055,109.46352484529191,1920000,-736.0968255258244,-812.8968255258244,-1.205178081585719,76.80000000000001,stop_loss
EURUSD,short,2020-01-10 12:45:00-05:00,2020-01-12 17:05:00-05:00,1.11217,1.111529877963269,1712000,1095.8889268837097,1019.7494430622475,1.5718103400490016,76.13948382146233,take_profit
USDJPY,long,2020-01-12 17:05:00-05:00,2020-01-12 17:15:00-05:00,109.5433,109.51438588629536,1925000,-508.18217317593087,-585.1821731759309,-1.3500804448734434,77.0,stop_loss
EURUSD,short,2020-01-13 12:35:00-05:00,2020-01-13 12:55:00-05:00,1.11373,1.1140883657583531,1717000,-615.314007092133,-691.8172897722748,-1.2270528074823863,76.50328268014187,stop_loss
USDJPY,long,2020-01-13 15:35:00-05:00,2020-01-13 18:45:00-05:00,109.9195,109.9375,1899000,310.9122165525263,234.95221655252624,0.8372201694974394,75.96000000000001,session_close
USDJPY,long,2020-01-14 14:35:00-05:00,2020-01-14 15:20:00-05:00,110.00150000000001,109.95079654235944,1664000,-767.2421795273225,-833.8021795273224,-1.1677458100395772,66.56,stop_loss
GBPUSD,short,2020-01-14 15:00:00-05:00,2020-01-14 16:00:00-05:00,1.30263,1.302063992101152,1459000,825.8055244190343,749.8005537295227,1.5264573877156906,76.00497068951162,take_profit
USDJPY,long,2020-01-15 14:10:00-05:00,2020-01-15 15:20:00-05:00,109.9045,109.8727355092443,1906000,-551.0231663575944,-627.2631663575944,-1.2796387080881368,76.24000000000001,stop_loss
GBPUSD,short,2020-01-15 13:35:00-05:00,2020-01-15 16:30:00-05:00,1.30296,1.303440299752573,1460000,-701.2376387566111,-777.3445275093862,-1.2092392863196555,76.10688875277513,stop_loss
EURUSD,short,2020-01-16 16:35:00-05:00,2020-01-16 18:45:00-05:00,1.11361,1.11374,1683000,-218.78999999993854,-293.76260099993857,-1.2944872483488108,74.972601,session_close
USDJPY,long,2020-01-17 13:55:00-05:00,2020-01-17 14:05:00-05:00,110.1455,110.12061331626782,1868000,-422.1222665187211,-496.84226651872115,-1.369880604651666,74.72000000000001,stop_loss
USDJPY,long,2020-01-19 17:50:00-05:00,2020-01-19 18:00:00-05:00,110.14825,110.12403254528441,1858000,-408.5608388183289,-482.8808388183289,-1.4336275623022365,74.32000000000001,stop_loss
EURUSD,short,2020-01-20 12:50:00-05:00,2020-01-20 13:50:00-05:00,1.10837,1.1085743930097338,1668000,-340.9275402358762,-414.884805186681,-1.426272176698241,73.95726495080473,stop_loss
GBPUSD,short,2020-01-20 17:05:00-05:00,2020-01-20 17:15:00-05:00,1.300646,1.300950812214457,1415000,-431.30928345680553,-504.93447324247467,-1.4004201151103468,73.62518978566914,stop_loss
USDJPY,long,2020-01-21 12:00:00-05:00,2020-01-21 13:00:00-05:00,109.9615,109.9228496870684,1830000,-643.4569300487354,-716.6569300487355,-1.2250613866372773,73.2,stop_loss
USDJPY,long,2020-01-22 13:25:00-05:00,2020-01-22 14:00:00-05:00,109.89750000000001,109.87011622694334,1814000,-452.0641439057805,-524.6241439057804,-1.3307905218121263,72.56,stop_loss
EURUSD,short,2020-01-22 12:35:00-05:00,2020-01-22 14:15:00-05:00,1.1085,1.1088687129942971,1638000,-603.9518846586209,-676.5928836963142,-1.2194996221333196,72.64099903769318,stop_loss
GBPUSD,long,2020-01-22 14:20:00-05:00,2020-01-22 14:35:00-05:00,1.3125900000000001,1.3131289456396378,1365000,735.6607981053697,663.9786708894076,1.5123635266565214,71.68212721596211,take_profit
GBPUSD,long,2020-01-23 12:15:00-05:00,2020-01-23 15:25:00-05:00,1.31067,1.3118492170641727,999000,1178.0378471085046,1125.6399131515625,1.663510201173939,52.397933956942175,take_profit
USDJPY,short,2020-01-23 15:15:00-05:00,2020-01-23 17:50:00-05:00,109.48349999999999,109.51784303034745,1825000,-572.2688627317822,-645.2688627317822,-1.2864776290400677,73.0,stop_loss
EURUSD,short,2020-01-24 15:05:00-05:00,2020-01-24 16:45:00-05:00,1.10283,1.1024997636270735,1645000,543.2388334641037,470.68348424077294,1.4297101527900822,72.55534922333072,take_profit
EURUSD,short,2020-01-26 18:05:00-05:00,2020-01-26 18:10:00-05:00,1.10272,1.1030926684446336,1654000,-616.3936074241127,-689.3618904962613,-1.2162914459430099,72.9682830721485,stop_loss
EURUSD,short,2020-01-27 17:35:00-05:00,2020-01-27 18:00:00-05:00,1.101865,1.101705053919921,1643000,262.7914095701049,190.38209759829633,1.0699082644633668,72.40931197180862,take_profit
USDJPY,short,2020-01-28 11:05:00-05:00,2020-01-28 11:20:00-05:00,109.09349999999999,109.14548182770021,1531000,-729.1467306387963,-790.3867306387963,-1.161903133721203,61.24,stop_loss
EURUSD,short,2020-01-28 12:05:00-05:00,2020-01-28 12:20:00-05:00,1.10043,1.1007605695303078,1634000,-540.1506125228552,-612.0855203351057,-1.2462784944128682,71.93490781225046,stop_loss
EURUSD,short,2020-01-29 12:05:00-05:00,2020-01-29 12:55:00-05:00,1.10009,1.1004771826162465,1623000,-628.3973861680439,-699.8277969157673,-1.207208694616931,71.43041074772336,stop_loss
GBPUSD,short,2020-01-29 13:20:00-05:00,2020-01-29 13:55:00-05:00,1.30087,1.301327626622855,1362000,-623.287460328632,-694.1713236778386,-1.2203977129217736,70.88386334920658,stop_loss
EURUSD,short,2020-01-30 11:20:00-05:00,2020-01-30 12:45:00-05:00,1.10294,1.1033919180019323,1563000,-706.347837020072,-775.3177727768125,-1.1756896790858324,68.9699357567404,stop_loss
USDJPY,short,2020-01-30 17:30:00-05:00,2020-01-30 18:45:00-05:00,108.93075,108.9225,1743000,132.02242033076632,62.302420330766324,0.10942844301823003,69.72,session_close
GBPUSD,long,2020-02-02 18:05:00-05:00,2020-02-02 18:45:00-05:00,1.3181100000000001,1.31812,1323000,13.229999999792907,-56.5246458002071,-0.10795784779308912,69.7546458,session_close
USDJPY,short,2020-02-03 11:15:00-05:00,2020-02-03 11:45:00-05:00,108.6625,108.5660366130779,1279000,1136.5151199218928,1085.355119921893,1.6606056174580888,51.160000000000004,take_profit
EURUSD,long,2020-02-03 16:10:00-05:00,2020-02-03 18:45:00-05:00,1.1059999999999999,1.10625,1595000,398.7500000001332,328.17922500013316,1.0989550761295344,70.570775,session_close
