context_key,trades,wins,losses,win_rate_pct,profit_factor,net_pnl_usd,avg_r_multiple
compression_breakout|mon_tue|late|active|deep|long,5,5,0,100.0,inf,431.8699246223696,0.24221622644856416
compression_breakout|wed_thu|late|balanced|mild|short,2,2,0,100.0,inf,364.88534481177095,0.3444709347344615
compression_breakout|wed_thu|late|active|deep|short,1,1,0,100.0,inf,331.4419136122742,0.47683180742375164
compression_breakout|wed_thu|core|balanced|deep|short,1,1,0,100.0,inf,316.75644186385995,0.4663682938209164
compression_breakout|wed_thu|core|balanced|mild|short,2,2,0,100.0,inf,313.21762252433143,0.326543159887253
compression_breakout|mon_tue|core|balanced|mild|short,1,1,0,100.0,inf,270.8759571234475,0.4123024478853662
compression_breakout|wed_thu|late|balanced|deep|long,2,2,0,100.0,inf,252.82446596161031,0.3187522617903431
compression_breakout|wed_thu|core|calm|deep|short,1,1,0,100.0,inf,200.97999898973018,0.3945482548177393
compression_breakout|mon_tue|core|calm|mild|long,1,1,0,100.0,inf,186.97089874753573,0.3724220842163741
compression_breakout|fri|core|balanced|deep|long,1,1,0,100.0,inf,181.55315270789063,0.3813878542931928
compression_breakout|mon_tue|core|balanced|mild|long,3,2,1,66.66666666666666,1.5409802906287762,144.49766036757623,-0.3718222997943192
compression_breakout|fri|late|calm|mild|long,1,1,0,100.0,inf,103.4689000507237,0.298469702214641
compression_breakout|fri|late|balanced|deep|long,2,2,0,100.0,inf,91.42058933524612,0.13884998071261737
compression_breakout|wed_thu|late|balanced|deep|short,1,1,0,100.0,inf,83.71179698579445,0.26484654671962177
compression_breakout|wed_thu|core|active|deep|long,6,4,2,66.66666666666666,1.0881171393900582,74.7682672156676,0.030960817814580672
compression_breakout|wed_thu|late|balanced|mild|long,1,1,0,100.0,inf,67.45683359218901,0.23449075573759437
compression_breakout|wed_thu|core|active|mild|short,3,2,1,66.66666666666666,1.021687012858062,13.463902057873668,-0.12187513189579348
compression_breakout|fri|core|active|mild|long,3,2,1,66.66666666666666,1.0220712618311758,13.413816199814505,-0.11708090599150234
compression_breakout|wed_thu|core|balanced|deep|long,1,0,1,0.0,0.0,-52.878553178595325,-0.576520460877912
compression_breakout|wed_thu|core|active|deep|short,3,2,1,66.66666666666666,0.8802101057494353,-92.76354867017147,-0.055959164853740674
compression_breakout|wed_thu|core|balanced|mild|long,2,1,1,50.0,0.6549401737654187,-145.3069132504582,-0.24052280678475482
compression_breakout|wed_thu|late|active|mild|long,3,2,1,66.66666666666666,0.7505582963846562,-172.139590110443,-0.09642571713973884
compression_breakout|wed_thu|late|active|mild|short,1,0,1,0.0,0.0,-195.06351389868354,-2.095890253174083
compression_breakout|wed_thu|late|active|deep|long,3,2,1,66.66666666666666,0.5344859957288371,-257.45335746447813,-0.2069934591981791
compression_breakout|fri|core|active|mild|short,3,2,1,66.66666666666666,0.5058559078740839,-262.318697710367,-0.23659082933647912
compression_breakout|mon_tue|core|active|mild|long,3,2,1,66.66666666666666,0.5656132277987971,-269.5447260970469,-0.15429047077615987
compression_breakout|mon_tue|late|balanced|deep|long,2,0,2,0.0,0.0,-298.03012828629,-1.0601643328177057
compression_breakout|mon_tue|late|active|mild|short,2,1,1,50.0,0.153081644245778,-305.7577499761146,-0.6043460675076134
compression_breakout|mon_tue|late|balanced|mild|long,4,2,2,50.0,0.374342121534342,-313.7007306565488,-0.20913679331276694
compression_breakout|mon_tue|core|calm|deep|long,1,0,1,0.0,0.0,-325.3549792824572,-1.5233844804548031
compression_breakout|fri|core|balanced|mild|long,1,0,1,0.0,0.0,-402.444171287163,-1.1981160977127288
compression_breakout|wed_thu|core|active|mild|long,3,2,1,66.66666666666666,0.5007115637162808,-413.75545436629943,-0.14740541377045582
compression_breakout|fri|core|active|deep|long,3,2,1,66.66666666666666,0.47957421447442045,-430.29049532189504,-0.13917372997723285
compression_breakout|fri|late|active|mild|short,2,1,1,50.0,0.07206553612942171,-510.14382935278024,-0.6049229058106419
compression_breakout|fri|core|calm|mild|long,1,0,1,0.0,0.0,-535.477002276683,-1.302176683751609
compression_breakout|mon_tue|core|active|deep|short,1,0,1,0.0,0.0,-571.8561237918827,-1.2300024371483875
compression_breakout|mon_tue|late|active|deep|short,3,1,2,33.33333333333333,0.2507650526451795,-627.0663475368024,-0.8955273567779822
compression_breakout|mon_tue|late|balanced|mild|short,3,1,2,33.33333333333333,0.013872440945897449,-627.7267783625919,-0.47615470688609735
compression_breakout|fri|core|balanced|deep|short,2,1,1,50.0,0.1349977345617316,-694.569093179939,-0.4304195905440097
compression_breakout|mon_tue|core|active|deep|long,3,1,2,33.33333333333333,0.3139835672199052,-696.2903398880123,-0.7900117436270734
compression_breakout|mon_tue|core|balanced|deep|short,1,0,1,0.0,0.0,-802.259894206476,-1.1814475723683728
compression_breakout|mon_tue|core|active|mild|short,3,1,2,33.33333333333333,0.1003574254052048,-933.6306576766276,-0.8257310418738256
compression_breakout|fri|core|balanced|mild|short,2,0,2,0.0,0.0,-955.2513638593566,-1.328547541439619
compression_breakout|fri|late|balanced|mild|long,3,0,3,0.0,0.0,-999.7181616240728,-1.4758537545007222
compression_breakout|mon_tue|core|balanced|deep|long,3,0,3,0.0,0.0,-1463.5032810538548,-1.3061557637372347
compression_breakout|mon_tue|late|active|mild|long,3,0,3,0.0,0.0,-1549.5143707179386,-1.2989230022252976
compression_breakout|fri|late|active|deep|short,3,0,3,0.0,0.0,-1560.5527809391976,-1.077491554610448
compression_breakout|fri|late|active|deep|long,3,0,3,0.0,0.0,-1605.971000132146,-1.3465156976064012
compression_breakout|fri|late|active|mild|long,3,0,3,0.0,0.0,-1611.7004377299945,-1.3386438253471482
compression_breakout|fri|core|active|deep|short,3,0,3,0.0,0.0,-2105.169576331601,-1.1354058582301065
