pb_balanced_adx_max,pb_core_extension_atr,stop_atr_multiple,pb_take_profit_rr_cap,pb_max_hold_bars,validation_score,full_sample_goal_score,avg_validation_goal_score,avg_validation_robustness,avg_validation_return_pct,avg_validation_sharpe,worst_validation_drawdown_pct,profitable_window_ratio,full_sample_robustness,initial_capital,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,profit_factor,total_trades,wins,losses,break_even_trades,win_rate_pct,trades_per_month,profit_month_ratio,avg_monthly_net_pnl_usd,expectancy_usd,avg_trade_minutes,median_trade_minutes,max_consecutive_wins,max_consecutive_losses
16.0,0.3,0.6,0.8,4,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.3,0.6,0.8,6,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.4,0.6,0.8,4,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.4,0.6,0.8,6,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.5,0.6,0.8,4,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.5,0.6,0.8,6,-7.590101223995891,-9.325202820358696,-7.717965586489702,0.18696783573476533,-0.6725311014341262,-0.7804407155646302,1.000759295364128,0.0,0.17216948915499178,100000.0,98658.66345382057,-1.341336546179428,1.503936586859203,-0.7925177612973495,0.23617971022632953,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-223.5560910299079,-191.61950659706392,9.285714285714286,5.0,2,2
16.0,0.3,0.8,0.6,4,-9.121618959017576,-10.969342216302495,-9.315407028081781,0.15218071471878394,-0.8574486079780397,-0.8378852491443822,1.2488270085192983,0.0,0.14109842066297754,100000.0,98291.26160393616,-1.7087383960638358,1.870756945892102,-0.8493347467345179,0.1949824454687409,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-284.7897326773063,-244.10548515197684,12.142857142857142,10.0,2,2
16.0,0.3,0.8,0.6,6,-9.121618959017576,-10.969342216302495,-9.315407028081781,0.15218071471878394,-0.8574486079780397,-0.8378852491443822,1.2488270085192983,0.0,0.14109842066297754,100000.0,98291.26160393616,-1.7087383960638358,1.870756945892102,-0.8493347467345179,0.1949824454687409,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-284.7897326773063,-244.10548515197684,12.142857142857142,10.0,2,2
16.0,0.4,0.8,0.6,4,-9.121618959017576,-10.969342216302495,-9.315407028081781,0.15218071471878394,-0.8574486079780397,-0.8378852491443822,1.2488270085192983,0.0,0.14109842066297754,100000.0,98291.26160393616,-1.7087383960638358,1.870756945892102,-0.8493347467345179,0.1949824454687409,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-284.7897326773063,-244.10548515197684,12.142857142857142,10.0,2,2
16.0,0.4,0.8,0.6,6,-9.121618959017576,-10.969342216302495,-9.315407028081781,0.15218071471878394,-0.8574486079780397,-0.8378852491443822,1.2488270085192983,0.0,0.14109842066297754,100000.0,98291.26160393616,-1.7087383960638358,1.870756945892102,-0.8493347467345179,0.1949824454687409,7,4,3,0,57.14285714285714,1.1666666666666667,0.5,-284.7897326773063,-244.10548515197684,12.142857142857142,10.0,2,2
