pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022-02,1,0,1,-893.1481336743109,0.0
USDCAD,2022-03,1,1,0,393.43196328818345,inf
USDCAD,2022-05,1,1,0,432.59857474272235,inf
USDCAD,2022-06,2,1,1,-53.248671841808346,0.930171788429089
USDCAD,2022-07,1,1,0,372.8029170010894,inf
USDCAD,2022-11,1,1,0,501.5575745215457,inf
USDCAD,2023-01,1,0,1,-1121.0350671362942,0.0
USDCAD,2023-03,1,1,0,504.3524510487047,inf
USDCAD,2023-08,1,1,0,90.92567176590246,inf
USDCAD,2023-11,1,1,0,308.5820910256582,inf
USDCAD,2024-08,1,0,1,-558.1387781226525,0.0
