pair,month,trades,wins,losses,net_pnl_usd,profit_factor
USDCAD,2022-01,4,2,2,-303.192036163339,0.8549996156382422
USDCAD,2022-02,2,1,1,1247.3234101632518,2.9279594992129323
USDCAD,2022-03,3,0,3,-2717.584763382207,0.0
USDCAD,2022-04,3,3,0,3111.1251781489786,inf
USDCAD,2022-05,2,1,1,202.76979574490133,1.1941850337684143
USDCAD,2022-06,6,1,5,-3871.0003045520602,0.00718624566120047
USDCAD,2022-07,3,0,3,-1756.3003889743836,0.0
USDCAD,2022-08,2,0,2,-2245.974718312941,0.0
USDCAD,2022-09,3,2,1,4229.643177974739,5.394160360223381
USDCAD,2022-10,4,1,3,-3029.1169259858707,0.028435213184690666
USDCAD,2022-11,4,0,4,-3774.9561915384393,0.0
USDCAD,2023-01,1,0,1,-756.0060845466255,0.0
USDCAD,2023-02,2,0,2,-1321.2251737758256,0.0
USDCAD,2023-03,4,2,2,1006.086435960767,1.9309121609943178
USDCAD,2023-04,2,1,1,921.9754828769975,2.660467908077305
USDCAD,2023-05,4,0,4,-2231.436367476304,0.0
USDCAD,2023-06,3,1,2,-943.7391206536576,0.3067066469910018
USDCAD,2023-07,2,1,1,-39.797388058422314,0.9094845630086066
USDCAD,2023-08,7,6,1,5889.027730322264,9.538928599121997
USDCAD,2023-09,4,1,3,-371.4536576804767,0.6296580616908988
USDCAD,2023-10,2,0,2,-1625.6778572701755,0.0
USDCAD,2023-11,4,0,4,-2110.672335078355,0.0
USDCAD,2023-12,2,0,2,-1459.9799701480242,0.0
USDCAD,2024-01,5,2,3,-291.3050532118397,0.7105232333037537
USDCAD,2024-02,2,0,2,-570.6510721268405,0.0
USDCAD,2024-03,1,0,1,-489.2725294162274,0.0
USDCAD,2024-04,4,2,2,2119.3324754473933,6.9371136972537055
USDCAD,2024-05,2,1,1,318.9923359422538,2.1378865392836213
USDCAD,2024-06,2,0,2,-1120.7753509384888,0.0
USDCAD,2024-07,5,1,4,-706.66020086301,0.4886249564447289
USDCAD,2024-08,4,0,4,-1802.2078546124762,0.0
USDCAD,2024-09,3,1,2,-566.0597861551734,0.25642573346700465
USDCAD,2024-10,5,2,3,-461.18517911948413,0.6019135478134517
USDCAD,2024-11,3,1,2,-362.95029537813707,0.4648684501711724
USDCAD,2024-12,3,1,2,-968.5315261267879,0.3423239041164872
USDCAD,2025-01,3,1,2,-714.6547548730318,0.35797045662981947
USDCAD,2025-02,2,1,1,-234.0576633450924,0.6404313120256045
USDCAD,2025-04,4,2,2,-983.3266836204903,0.471898387551395
USDCAD,2025-05,2,0,2,-958.9603422598725,0.0
USDCAD,2025-06,3,0,3,-1408.4382506786988,0.0
USDCAD,2025-07,6,1,5,-1753.5674012200232,0.2500130279436693
USDCAD,2025-08,2,0,2,-999.2514731300855,0.0
USDCAD,2025-09,4,2,2,135.77768620108594,1.1622583732316418
USDCAD,2025-10,7,4,3,379.78884799593607,1.3475795806084545
USDCAD,2025-11,1,0,1,-446.93009595751545,0.0
USDCAD,2025-12,6,4,2,1529.791792568985,2.846665164176565
