pair,month,trades,wins,losses,net_pnl_usd,profit_factor
EURUSD,2020-01,14,4,10,-3099.951821208864,0.16094926052912775
EURUSD,2020-02,5,1,4,-1694.7752304677315,0.055604047967813174
EURUSD,2020-03,14,9,5,368.3634043360214,1.0709252604048876
EURUSD,2020-04,5,5,0,2480.0382381204586,inf
EURUSD,2020-05,9,5,4,-718.531118969998,0.7253863514548883
EURUSD,2020-06,11,8,3,327.59039192190824,1.1376126383959444
EURUSD,2020-07,17,6,11,-5930.37873490021,0.2215875151455689
EURUSD,2020-08,10,4,6,-3053.2003770950114,0.24443818066600229
EURUSD,2020-09,10,4,6,-3300.777349936806,0.1587174608243785
EURUSD,2020-10,13,6,7,-2345.372388183457,0.3631985500658258
EURUSD,2020-11,10,4,6,-1680.7370464656874,0.4275675142433006
EURUSD,2020-12,14,6,8,-3300.1288889166453,0.3556616222834535
EURUSD,2021-01,13,9,4,-386.30591209629256,0.8140151092510461
EURUSD,2021-02,16,5,11,-3648.66313029659,0.19320345070681533
EURUSD,2021-03,8,2,6,-3104.1369577660926,0.06401554685757548
EURUSD,2021-04,10,5,5,-1379.5138093062797,0.26341067526953943
EURUSD,2021-05,9,4,5,-1582.82675129677,0.18472797768795263
EURUSD,2021-06,10,5,5,-1419.8126708942577,0.30644659702349375
EURUSD,2021-07,11,5,6,-1542.538393152187,0.31462146233013777
EURUSD,2021-08,6,3,3,-858.9595464398722,0.35664673404205155
EURUSD,2021-09,13,5,8,-1845.985483825195,0.3095511343102875
EURUSD,2021-10,12,5,7,-1521.3765058698948,0.27052229862968646
EURUSD,2021-11,5,3,2,33.180585036067754,1.0450487323374502
EURUSD,2021-12,9,3,6,-943.1437672320446,0.4061019642412872
